geo,time,median_income
afg,1800,1.202
afg,1801,1.257
afg,1802,1.315
afg,1803,1.376
afg,1804,1.439
afg,1805,1.505
afg,1806,1.505
afg,1807,1.505
afg,1808,1.505
afg,1809,1.505
afg,1810,1.505
afg,1811,1.505
afg,1812,1.505
afg,1813,1.505
afg,1814,1.505
afg,1815,1.505
afg,1816,1.505
afg,1817,1.505
afg,1818,1.505
afg,1819,1.505
afg,1820,1.505
afg,1821,1.51
afg,1822,1.516
afg,1823,1.521
afg,1824,1.526
afg,1825,1.534
afg,1826,1.539
afg,1827,1.545
afg,1828,1.55
afg,1829,1.555
afg,1830,1.558
afg,1831,1.563
afg,1832,1.568
afg,1833,1.574
afg,1834,1.579
afg,1835,1.587
afg,1836,1.592
afg,1837,1.597
afg,1838,1.603
afg,1839,1.608
afg,1840,1.613
afg,1841,1.618
afg,1842,1.624
afg,1843,1.629
afg,1844,1.634
afg,1845,1.642
afg,1846,1.647
afg,1847,1.653
afg,1848,1.658
afg,1849,1.663
afg,1850,1.668
afg,1851,1.674
afg,1852,1.679
afg,1853,1.684
afg,1854,1.69
afg,1855,1.697
afg,1856,1.703
afg,1857,1.708
afg,1858,1.713
afg,1859,1.719
afg,1860,1.726
afg,1861,1.732
afg,1862,1.737
afg,1863,1.742
afg,1864,1.748
afg,1865,1.755
afg,1866,1.761
afg,1867,1.766
afg,1868,1.771
afg,1869,1.777
afg,1870,1.784
afg,1871,1.792
afg,1872,1.8
afg,1873,1.808
afg,1874,1.816
afg,1875,1.819
afg,1876,1.824
afg,1877,1.829
afg,1878,1.834
afg,1879,1.84
afg,1880,1.848
afg,1881,1.853
afg,1882,1.858
afg,1883,1.863
afg,1884,1.869
afg,1885,1.879
afg,1886,1.887
afg,1887,1.895
afg,1888,1.903
afg,1889,1.911
afg,1890,1.914
afg,1891,1.919
afg,1892,1.924
afg,1893,1.929
afg,1894,1.935
afg,1895,1.945
afg,1896,1.95
afg,1897,1.956
afg,1898,1.961
afg,1899,1.966
afg,1900,1.977
afg,1901,1.985
afg,1902,1.99
afg,1903,1.998
afg,1904,2.006
afg,1905,2.014
afg,1906,2.016
afg,1907,2.024
afg,1908,2.032
afg,1909,2.04
afg,1910,2.045
afg,1911,2.053
afg,1912,2.061
afg,1913,2.066
afg,1914,2.077
afg,1915,2.088
afg,1916,2.098
afg,1917,2.109
afg,1918,2.117
afg,1919,2.127
afg,1920,2.138
afg,1921,2.153
afg,1922,2.164
afg,1923,2.18
afg,1924,2.196
afg,1925,2.206
afg,1926,2.222
afg,1927,2.238
afg,1928,2.251
afg,1929,2.267
afg,1930,2.283
afg,1931,2.296
afg,1932,2.312
afg,1933,2.327
afg,1934,2.341
afg,1935,2.356
afg,1936,2.372
afg,1937,2.385
afg,1938,2.401
afg,1939,2.417
afg,1940,2.433
afg,1941,2.449
afg,1942,2.464
afg,1943,2.48
afg,1944,2.496
afg,1945,2.512
afg,1946,2.528
afg,1947,2.544
afg,1948,2.562
afg,1949,2.575
afg,1950,2.594
afg,1951,2.63
afg,1952,2.678
afg,1953,2.799
afg,1954,2.81
afg,1955,2.82
afg,1956,2.897
afg,1957,2.847
afg,1958,2.949
afg,1959,2.978
afg,1960,3.026
afg,1961,2.989
afg,1962,2.981
afg,1963,2.973
afg,1964,2.968
afg,1965,2.968
afg,1966,2.934
afg,1967,2.944
afg,1968,2.984
afg,1969,2.96
afg,1970,2.949
afg,1971,2.744
afg,1972,2.628
afg,1973,2.857
afg,1974,2.941
afg,1975,3.021
afg,1976,3.094
afg,1977,2.812
afg,1978,2.965
afg,1979,2.905
afg,1980,2.913
afg,1981,3.229
afg,1982,3.527
afg,1983,3.658
afg,1984,3.598
afg,1985,3.484
afg,1986,3.74
afg,1987,3.097
afg,1988,2.804
afg,1989,2.739
afg,1990,2.588
afg,1991,2.573
afg,1992,2.37
afg,1993,2.04
afg,1994,1.827
afg,1995,2.198
afg,1996,2.254
afg,1997,2.319
afg,1998,2.385
afg,1999,2.449
afg,2000,2.425
afg,2001,2.172
afg,2002,2.654
afg,2003,2.741
afg,2004,2.649
afg,2005,2.833
afg,2006,2.897
afg,2007,3.205
afg,2008,3.237
afg,2009,3.819
afg,2010,4.025
afg,2011,4.244
afg,2012,4.367
afg,2013,4.834
afg,2014,4.768
afg,2015,4.678
afg,2016,4.597
afg,2017,4.576
afg,2018,4.726
