geo;time;Deaths per 100.000 per year
World;1900;27,25
World;1910;19,02
World;1920;46,92
World;1930;22,71
World;1940;16,75
World;1950;7,65
World;1960;5,21
World;1970;2,38
World;1980;1,63
World;1990;0,91
World;2000;1,28
World;2010;1,33
