entity;indicator;2012q2;2012q3;2012q4;2013q1;2013q2;2013q3;2013q4;2014q1
a;indicator1;57;45.2;34;34;45.2;54;45.2;45.2
b;indicator1;75;34;45.2;45.2;75;24;45;45.2
c;indicator1;57;45.2;45.2;45.2;356;45.2;45.2;45
d;indicator1;57;45.2;45.2;5;45.2;34;35;45.2
e;indicator1;34;45.2;24;45.2;56;45.2;45.2;34
a;indicator2;34;34;45.2;234;45.2;45.2;45;45.2
b;indicator2;6;45.2;45;45.2;57;45.2;45.2;46
c;indicator2;35;45.2;6;57;5;57;57;57
d;indicator2;34;46;45.2;56;45.2;35;57;45.2
e;indicator2;45.2;45.2;45.2;34;64;45.2;45.2;45.2
