geo,time,GDP,LEX,POP,category
europe,2017-09-01,22267.39,72.54,1189222282,region
europe,2017-09-02,22111.7,72.52,1195056492,region
europe,2017-09-03,21641.77,72.5,1199088214,region
europe,2017-09-04,21262.96,72.03,1201874981,region
europe,2017-09-05,22065.55,72,1204010672,region
europe,2017-09-06,22843.63,72.21,1205708465,region
europe,2017-09-08,23577.34,72.69,1206784740,region
europe,2017-09-09,24551.85,73.15,1207418858,region
europe,2017-09-10,25856.49,73.46,1207989722,region
europe,2017-09-12,26962.07,73.41,1208338493,region
europe,2017-09-13,28068.67,73.59,1208853609,region
europe,2017-09-14,28394.36,73.84,1209726750,region
europe,2017-09-15,28496.79,73.96,1210871997,region
europe,2017-09-16,28563.26,74.1,1212483051,region
europe,2017-09-17,29382.55,74.58,1214476658,region
europe,2017-10-01,21331.78,74.69,1216791381,region
europe,2017-09-20,22052.59,75.24,1219384298,region
europe,2017-09-21,22804.38,75.49,1222202489,region
europe,2017-09-24,22629.31,75.72,1225115599,region
europe,2017-09-26,27766.36,75.81,815759891,region
europe,2017-09-27,27666.86,76.01,818075872,region
europe,2017-08-11,27660.17,76.19,820110684,region
europe,2017-10-02,25873.05,76.36,821936285,region
europe,2017-10-04,25846.45,76.52,823571242,region
