Funktion;indikator;2016
Ordförande;"Länsförening 
(antal)";20
Vice ordförande;"Länsförening 
(antal)";17
Kassör;"Länsförening 
(antal)";20
Sekreterare;"Länsförening 
(antal)";20
ord. ledamöter;"Länsförening 
(antal)";92
Styrelse ersättare;"Länsförening 
(antal)";81
Revisorer ordinarie;"Länsförening 
(antal)";30
Revisorer ersättare;"Länsförening 
(antal)";24
Valberedn ordinarie;"Länsförening 
(antal)";35
Valberedn ersättare;"Länsförening 
(antal)";7
Studieorganisatörer;"Länsförening 
(antal)";22
Hjärt-EVO;"Länsförening 
(antal)";23
Lung-EVO;"Länsförening 
(antal)";23
Motionsledare;"Länsförening 
(antal)";0
Vattengymnastikledare;"Länsförening 
(antal)";0
Cirkelledare;"Länsförening 
(antal)";0
HLR-huvudinstruktör;"Länsförening 
(antal)";28
HLR-instruktör;"Länsförening 
(antal)";5
Registeransvarig;"Länsförening 
(antal)";7
Webb-hemsid.ansvarig;"Länsförening 
(antal)";3
Totalt antal;"Länsförening 
(antal)";457
Ordförande;"Lokalförening
 + riksfören (antal)";150
Vice ordförande;"Lokalförening
 + riksfören (antal)";125
Kassör;"Lokalförening
 + riksfören (antal)";147
Sekreterare;"Lokalförening
 + riksfören (antal)";139
ord. ledamöter;"Lokalförening
 + riksfören (antal)";464
Styrelse ersättare;"Lokalförening
 + riksfören (antal)";321
Revisorer ordinarie;"Lokalförening
 + riksfören (antal)";241
Revisorer ersättare;"Lokalförening
 + riksfören (antal)";155
Valberedn ordinarie;"Lokalförening
 + riksfören (antal)";263
Valberedn ersättare;"Lokalförening
 + riksfören (antal)";56
Studieorganisatörer;"Lokalförening
 + riksfören (antal)";120
Hjärt-EVO;"Lokalförening
 + riksfören (antal)";162
Lung-EVO;"Lokalförening
 + riksfören (antal)";142
Motionsledare;"Lokalförening
 + riksfören (antal)";252
Vattengymnastikledare;"Lokalförening
 + riksfören (antal)";131
Cirkelledare;"Lokalförening
 + riksfören (antal)";149
HLR-huvudinstruktör;"Lokalförening
 + riksfören (antal)";30
HLR-instruktör;"Lokalförening
 + riksfören (antal)";174
Registeransvarig;"Lokalförening
 + riksfören (antal)";147
Webb-hemsid.ansvarig;"Lokalförening
 + riksfören (antal)";30
Totalt antal;"Lokalförening
 + riksfören (antal)";3398
Ordförande;"TOTALT
antal";170
Vice ordförande;"TOTALT
antal";142
Kassör;"TOTALT
antal";167
Sekreterare;"TOTALT
antal";159
ord. ledamöter;"TOTALT
antal";556
Styrelse ersättare;"TOTALT
antal";402
Revisorer ordinarie;"TOTALT
antal";271
Revisorer ersättare;"TOTALT
antal";179
Valberedn ordinarie;"TOTALT
antal";298
Valberedn ersättare;"TOTALT
antal";63
Studieorganisatörer;"TOTALT
antal";142
Hjärt-EVO;"TOTALT
antal";185
Lung-EVO;"TOTALT
antal";165
Motionsledare;"TOTALT
antal";252
Vattengymnastikledare;"TOTALT
antal";131
Cirkelledare;"TOTALT
antal";149
HLR-huvudinstruktör;"TOTALT
antal";58
HLR-instruktör;"TOTALT
antal";179
Registeransvarig;"TOTALT
antal";154
Webb-hemsid.ansvarig;"TOTALT
antal";33
Totalt antal;"TOTALT
antal";3855
