main_religion_2008,is--main_religion_2008,name,rank,income_mountain_50bracket_max_height_for_log
christian,TRUE,Christian,3,206272760
eastern_religions,TRUE,Eastern religions,1,439827317
muslim,TRUE,Muslim,2,301543280
