unhcr_region,name,is--unhcr_region,income_mountain_50bracket_max_height_for_log
unhcr_asia_pacific,Asia and the Pacific,TRUE,676278050.0
unhcr_europe,Europe,TRUE,109179460.0
unhcr_middle_east_north_africa,Middle East and North Africa,TRUE,101158717.0
unhcr_southern_africa,Southern Africa,TRUE,124534309.0
unhcr_americas,Americas,TRUE,96554437.0
unhcr_west_central_africa,West and Central Africa,TRUE,224608408.0
unhcr_east_horn_africa_great_lates,"East and Horn of Africa, and Great Lakes",TRUE,151467359.0
