un_sdg_ldc,name,is--un_sdg_ldc,income_mountain_50bracket_max_height_for_log
un_least_developed,Least Developed Countries (LDC),TRUE,369381971.0
un_not_least_developed,Other UN Countries,TRUE,872569262.0
