income_groups,is--income_groups,name,rank,income_mountain_50bracket_max_height_for_log
high_income,TRUE,High income,1,442731488
low_income,TRUE,Low income,4,604718051
lower_middle_income,TRUE,Lower middle income,3,542161208
upper_middle_income,TRUE,Upper middle income,2,657152443
