income_groups_wb,name,is--income_groups_wb,income_mountain_50bracket_max_height_for_log
lic,Low Income,TRUE,1257196548
hic,High Income,TRUE,1481596886
lmic,Lower Middle Income,TRUE,1406323507
umic,Upper Middle Income,TRUE,1639343640
