income_bracket_80,name
0,0.0078125 - 0.01030865555291324
1,0.01030865555291324 - 0.013602352551501938
2,0.013602352551501938 - 0.017948411796828673
3,0.017948411796828673 - 0.023683071351724965
4,0.023683071351724965 - 0.03125
5,0.03125 - 0.04123462221165296
6,0.04123462221165296 - 0.054409410206007786
7,0.054409410206007786 - 0.0717936471873147
8,0.0717936471873147 - 0.09473228540689989
9,0.09473228540689989 - 0.125
10,0.125 - 0.16493848884661183
11,0.16493848884661183 - 0.21763764082403114
12,0.21763764082403114 - 0.2871745887492588
13,0.2871745887492588 - 0.37892914162759966
14,0.37892914162759966 - 0.5
15,0.5 - 0.6597539553864473
16,0.6597539553864473 - 0.8705505632961246
17,0.8705505632961246 - 1.148698354997035
18,1.148698354997035 - 1.5157165665103987
19,1.5157165665103987 - 2.0
20,2.0 - 2.6390158215457893
21,2.6390158215457893 - 3.4822022531844983
22,3.4822022531844983 - 4.594793419988143
23,4.594793419988143 - 6.062866266041598
24,6.062866266041598 - 8.0
25,8.0 - 10.556063286183157
26,10.556063286183157 - 13.928809012737993
27,13.928809012737993 - 18.379173679952572
28,18.379173679952572 - 24.251465064166393
29,24.251465064166393 - 32.0
30,32.0 - 42.22425314473263
31,42.22425314473263 - 55.71523605095197
32,55.71523605095197 - 73.51669471981029
33,73.51669471981029 - 97.00586025666557
34,97.00586025666557 - 128.0
35,128.0 - 168.89701257893051
36,168.89701257893051 - 222.8609442038079
37,222.8609442038079 - 294.06677887924116
38,294.06677887924116 - 388.0234410266623
39,388.0234410266623 - 512.0
40,512.0 - 675.5880503157229
41,675.5880503157229 - 891.4437768152316
42,891.4437768152316 - 1176.2671155169633
43,1176.2671155169633 - 1552.0937641066491
44,1552.0937641066491 - 2048.0
45,2048.0 - 2702.3522012628914
46,2702.3522012628914 - 3565.7751072609262
47,3565.7751072609262 - 4705.068462067865
48,4705.068462067865 - 6208.3750564265965
49,6208.3750564265965 - 8192.0
50,8192.0 - 10809.408805051566
51,10809.408805051566 - 14263.100429043705
52,14263.100429043705 - 18820.27384827146
53,18820.27384827146 - 24833.500225706386
54,24833.500225706386 - 32768.0
55,32768.0 - 43237.63522020626
56,43237.63522020626 - 57052.40171617482
57,57052.40171617482 - 75281.09539308584
58,75281.09539308584 - 99334.00090282554
59,99334.00090282554 - 131072.0
60,131072.0 - 172950.54088082505
61,172950.54088082505 - 228209.60686469928
62,228209.60686469928 - 301124.38157234335
63,301124.38157234335 - 397336.0036113022
64,397336.0036113022 - 524288.0
65,524288.0 - 691802.1635233002
66,691802.1635233002 - 912838.4274587971
67,912838.4274587971 - 1204497.5262893734
68,1204497.5262893734 - 1589344.0144452087
69,1589344.0144452087 - 2097152.0
70,2097152.0 - 2767208.654093201
71,2767208.654093201 - 3651353.7098351885
72,3651353.7098351885 - 4817990.105157494
73,4817990.105157494 - 6357376.057780835
74,6357376.057780835 - 8388608.0
75,8388608.0 - 11068834.616372803
76,11068834.616372803 - 14605414.839340754
77,14605414.839340754 - 19271960.420629974
78,19271960.420629974 - 25429504.23112334
79,25429504.23112334 - 33554432.0
