income_3groups,is--income_3groups,name,rank,income_mountain_50bracket_max_height_for_log
high_income,TRUE,High income,4,805262507.0
low_income,TRUE,Low income,1,615769456.0
middle_income,TRUE,Middle income,2,845228920.0
