g77_and_oecd_countries,is--g77_and_oecd_countries,name,rank,income_mountain_50bracket_max_height_for_log
g77,TRUE,G77,1,909181202
oecd,TRUE,OECD,2,189766619
others,TRUE,Others,3,54545828
