wb_level,time,poverty_population
wb_lvl1,1800,795788674
wb_lvl1,1801,799054512
wb_lvl1,1802,801038000
wb_lvl1,1803,804260608
wb_lvl1,1804,806755392
wb_lvl1,1805,809688540
wb_lvl1,1806,812068477
wb_lvl1,1807,815040501
wb_lvl1,1808,818472459
wb_lvl1,1809,822163427
wb_lvl1,1810,827272842
wb_lvl1,1811,831734489
wb_lvl1,1812,844234068
wb_lvl1,1813,848588577
wb_lvl1,1814,853990863
wb_lvl1,1815,859538162
wb_lvl1,1816,865744416
wb_lvl1,1817,871108167
wb_lvl1,1818,877537347
wb_lvl1,1819,882571719
wb_lvl1,1820,885118314
wb_lvl1,1821,888466639
wb_lvl1,1822,892963365
wb_lvl1,1823,897442979
wb_lvl1,1824,902945331
wb_lvl1,1825,912018090
wb_lvl1,1826,914687631
wb_lvl1,1827,918953436
wb_lvl1,1828,924561166
wb_lvl1,1829,928759068
wb_lvl1,1830,933543057
wb_lvl1,1831,942131527
wb_lvl1,1832,946956879
wb_lvl1,1833,952269176
wb_lvl1,1834,955675928
wb_lvl1,1835,958585024
wb_lvl1,1836,961778785
wb_lvl1,1837,963594669
wb_lvl1,1838,966106893
wb_lvl1,1839,969254173
wb_lvl1,1840,970854695
wb_lvl1,1841,971955902
wb_lvl1,1842,976123047
wb_lvl1,1843,978730081
wb_lvl1,1844,980721242
wb_lvl1,1845,983873818
wb_lvl1,1846,987679711
wb_lvl1,1847,990328849
wb_lvl1,1848,993449068
wb_lvl1,1849,993868144
wb_lvl1,1850,994321847
wb_lvl1,1851,992369869
wb_lvl1,1852,987189213
wb_lvl1,1853,986332937
wb_lvl1,1854,985754845
wb_lvl1,1855,985850552
wb_lvl1,1856,983247435
wb_lvl1,1857,980602147
wb_lvl1,1858,985822889
wb_lvl1,1859,984667893
wb_lvl1,1860,985191027
wb_lvl1,1861,989921712
wb_lvl1,1862,990452853
wb_lvl1,1863,989792327
wb_lvl1,1864,990793498
wb_lvl1,1865,991454596
wb_lvl1,1866,992479430
wb_lvl1,1867,991166420
wb_lvl1,1868,991714816
wb_lvl1,1869,990304813
wb_lvl1,1870,999714194
wb_lvl1,1871,1000354389
wb_lvl1,1872,992211911
wb_lvl1,1873,993798521
wb_lvl1,1874,996936841
wb_lvl1,1875,999818739
wb_lvl1,1876,1004457061
wb_lvl1,1877,1005530647
wb_lvl1,1878,1005673610
wb_lvl1,1879,1015072080
wb_lvl1,1880,1013556048
wb_lvl1,1881,1015666438
wb_lvl1,1882,1018787833
wb_lvl1,1883,1022391877
wb_lvl1,1884,1026575933
wb_lvl1,1885,1030177724
wb_lvl1,1886,1036303347
wb_lvl1,1887,1033086296
wb_lvl1,1888,1027079987
wb_lvl1,1889,1045344036
wb_lvl1,1890,1038253120
wb_lvl1,1891,1064976412
wb_lvl1,1892,1054668373
wb_lvl1,1893,1045081871
wb_lvl1,1894,1041686317
wb_lvl1,1895,1048441941
wb_lvl1,1896,1069327672
wb_lvl1,1897,1044101566
wb_lvl1,1898,1040497342
wb_lvl1,1899,1052430685
wb_lvl1,1900,1059144195
wb_lvl1,1901,1062792327
wb_lvl1,1902,1054897079
wb_lvl1,1903,1048956562
wb_lvl1,1904,1048287803
wb_lvl1,1905,1074624277
wb_lvl1,1906,1080105590
wb_lvl1,1907,1099072236
wb_lvl1,1908,1099122273
wb_lvl1,1909,1086128565
wb_lvl1,1910,1091032437
wb_lvl1,1911,1100416034
wb_lvl1,1912,1095022659
wb_lvl1,1913,1094752713
wb_lvl1,1914,1092863002
wb_lvl1,1915,1114404552
wb_lvl1,1916,1103145126
wb_lvl1,1917,1132861208
wb_lvl1,1918,1192012695
wb_lvl1,1919,1175508364
wb_lvl1,1920,1195372326
wb_lvl1,1921,1188203965
wb_lvl1,1922,1177119409
wb_lvl1,1923,1177998580
wb_lvl1,1924,1167561206
wb_lvl1,1925,1154693052
wb_lvl1,1926,1137841313
wb_lvl1,1927,1143288010
wb_lvl1,1928,1143047319
wb_lvl1,1929,1144549663
wb_lvl1,1930,1158220198
wb_lvl1,1931,1173181392
wb_lvl1,1932,1193385732
wb_lvl1,1933,1227391337
wb_lvl1,1934,1226727284
wb_lvl1,1935,1219471618
wb_lvl1,1936,1227570371
wb_lvl1,1937,1227352195
wb_lvl1,1938,1237606148
wb_lvl1,1939,1251730842
wb_lvl1,1940,1264479991
wb_lvl1,1941,1280434776
wb_lvl1,1942,1295332998
wb_lvl1,1943,1320535299
wb_lvl1,1944,1354279404
wb_lvl1,1945,1385014583
wb_lvl1,1946,1410992467
wb_lvl1,1947,1404621066
wb_lvl1,1948,1384800248
wb_lvl1,1949,1388325833
wb_lvl1,1950,1397461013
wb_lvl1,1951,1397673344
wb_lvl1,1952,1401301876
wb_lvl1,1953,1382655888
wb_lvl1,1954,1411229387
wb_lvl1,1955,1407386040
wb_lvl1,1956,1409341920
wb_lvl1,1957,1428411194
wb_lvl1,1958,1429649823
wb_lvl1,1959,1464408363
wb_lvl1,1960,1487507306
wb_lvl1,1961,1537833924
wb_lvl1,1962,1544449471
wb_lvl1,1963,1527857809
wb_lvl1,1964,1530115697
wb_lvl1,1965,1557014746
wb_lvl1,1966,1589617952
wb_lvl1,1967,1596145847
wb_lvl1,1968,1662504441
wb_lvl1,1969,1653857084
wb_lvl1,1970,1653969235
wb_lvl1,1971,1686908794
wb_lvl1,1972,1750092967
