gm_level,time,poverty_population
gm_lvl1,1800,810636863
gm_lvl1,1801,813926212
gm_lvl1,1802,815976628
gm_lvl1,1803,819250814
gm_lvl1,1804,821786335
gm_lvl1,1805,824757776
gm_lvl1,1806,827185751
gm_lvl1,1807,830215464
gm_lvl1,1808,833697353
gm_lvl1,1809,837375169
gm_lvl1,1810,842547139
gm_lvl1,1811,847067209
gm_lvl1,1812,859044599
gm_lvl1,1813,863516015
gm_lvl1,1814,869022716
gm_lvl1,1815,874671127
gm_lvl1,1816,881004966
gm_lvl1,1817,886488282
gm_lvl1,1818,892936161
gm_lvl1,1819,898154130
gm_lvl1,1820,900988086
gm_lvl1,1821,904508655
gm_lvl1,1822,909159095
gm_lvl1,1823,913821083
gm_lvl1,1824,919497935
gm_lvl1,1825,928364553
gm_lvl1,1826,931317680
gm_lvl1,1827,935800442
gm_lvl1,1828,941644776
gm_lvl1,1829,945988555
gm_lvl1,1830,950790464
gm_lvl1,1831,959245991
gm_lvl1,1832,963987544
gm_lvl1,1833,969313832
gm_lvl1,1834,972842727
gm_lvl1,1835,975878384
gm_lvl1,1836,979167074
gm_lvl1,1837,981231627
gm_lvl1,1838,983913190
gm_lvl1,1839,987105670
gm_lvl1,1840,988896937
gm_lvl1,1841,990194079
gm_lvl1,1842,994390053
gm_lvl1,1843,996983248
gm_lvl1,1844,999090049
gm_lvl1,1845,1002363925
gm_lvl1,1846,1006246895
gm_lvl1,1847,1009075786
gm_lvl1,1848,1012184333
gm_lvl1,1849,1012729095
gm_lvl1,1850,1013369047
gm_lvl1,1851,1011620454
gm_lvl1,1852,1006883902
gm_lvl1,1853,1006089798
gm_lvl1,1854,1005566467
gm_lvl1,1855,1005812997
gm_lvl1,1856,1003129703
gm_lvl1,1857,1000716304
gm_lvl1,1858,1005619871
gm_lvl1,1859,1004606023
gm_lvl1,1860,1004984808
gm_lvl1,1861,1009776327
gm_lvl1,1862,1010298926
gm_lvl1,1863,1009584541
gm_lvl1,1864,1010643358
gm_lvl1,1865,1011443653
gm_lvl1,1866,1012607755
gm_lvl1,1867,1011871670
gm_lvl1,1868,1012414421
gm_lvl1,1869,1011176138
gm_lvl1,1870,1020323411
gm_lvl1,1871,1021043741
gm_lvl1,1872,1013595744
gm_lvl1,1873,1015286428
gm_lvl1,1874,1018548516
gm_lvl1,1875,1021676927
gm_lvl1,1876,1026503740
gm_lvl1,1877,1027886071
gm_lvl1,1878,1028451910
gm_lvl1,1879,1037640618
gm_lvl1,1880,1036374245
gm_lvl1,1881,1038564860
gm_lvl1,1882,1041885287
gm_lvl1,1883,1045539071
gm_lvl1,1884,1049941560
gm_lvl1,1885,1053807087
gm_lvl1,1886,1060150502
gm_lvl1,1887,1057360215
gm_lvl1,1888,1052629210
gm_lvl1,1889,1070123908
gm_lvl1,1890,1064082367
