global,time,gc_nld_totl_gd_zs
world,1998,-0.78216
world,2008,-2.21863
world,2009,-6.18625
world,2010,-5.49211
world,2011,-4.14196
world,2012,-3.5281
world,2013,-2.5097
world,2014,-2.5815
world,2015,-2.62408
world,2016,-2.56243
world,2017,-2.0306
world,2018,-2.19747
world,2019,-2.39362
