geo,time,sh_sta_wast_ma_zs
afg,2004,7.9
afg,2013,10.3
afg,2018,6.1
ago,1996,7.6
ago,2007,8.2
ago,2015,5.6
alb,2000,12.9
alb,2005,7.3
alb,2009,11.9
alb,2017,1.2
arg,2005,1.1
arg,2019,2.1
arm,1998,4.3
arm,2000,2.6
arm,2005,5.6
arm,2010,4.9
arm,2016,4
aze,2000,9.3
aze,2006,7.7
aze,2011,7.6
aze,2013,4
bdi,2000,9.2
bdi,2010,6.3
bdi,2016,5.6
bdi,2018,5.3
bdi,2019,5.6
bel,2014,0
ben,2001,10.2
ben,2008,5.9
ben,2014,5.3
ben,2018,5.6
bfa,1993,15.3
bfa,1999,17.1
bfa,2009,11.9
bfa,2010,16.6
bfa,2011,11.8
bfa,2012,12.6
bfa,2013,8.6
bfa,2014,9.4
bfa,2015,11.3
bfa,2016,8.6
bfa,2017,9.7
bfa,2018,9.4
bfa,2019,9
bgd,1997,22
bgd,2000,13.3
bgd,2004,15.7
bgd,2007,18.4
bgd,2011,16
bgd,2013,18.2
bgd,2014,15.1
bgd,2018,9.2
bgd,2019,10.4
bgr,2007,4.8
bgr,2014,8.3
bih,2000,8.3
bih,2006,3.8
bih,2012,2.3
blr,2005,2.8
blz,2006,2.4
blz,2011,3.2
blz,2015,2.1
bol,1998,1.8
bol,2003,1.9
bol,2008,2
bol,2012,2.1
bol,2016,2.5
bra,1989,2.8
bra,1996,3.1
bra,2007,2
brb,2012,8.3
brn,2009,2.7
btn,1999,3.3
btn,2008,4.9
btn,2010,6.2
bwa,2000,6.4
bwa,2007,7.5
caf,2000,11.5
caf,2006,13
caf,2010,8.9
caf,2012,8.7
caf,2014,7.2
caf,2018,7.2
caf,2019,5.8
chl,2008,0.3
chl,2013,0.3
chl,2014,0.3
chn,1990,4.7
chn,1992,4.1
chn,1995,5.7
chn,1998,2.6
chn,2000,2.8
chn,2002,3.3
chn,2005,3.2
chn,2010,2.4
chn,2013,1.9
civ,1986,8.6
civ,1998,7
civ,2007,15.3
civ,2012,9.3
civ,2016,6.6
cmr,1991,4.8
cmr,2004,5.8
cmr,2006,8.2
cmr,2011,6.5
cmr,2014,5.6
cmr,2018,5
cod,2001,17.2
cod,2007,11.9
cod,2010,9.5
cod,2013,9.3
cod,2017,7.1
cog,2005,8.4
cog,2011,6.3
cog,2014,8.7
col,1995,1.7
col,2000,1.1
col,2005,1.7
col,2010,0.9
col,2016,1.7
com,2000,14.4
com,2012,11.5
cri,2008,0.6
cri,2018,1.8
cub,2019,2
cze,2001,5.2
deu,2004,1.2
deu,2016,0.7
dji,2002,20.3
dji,2012,22.6
dom,1991,2.2
dom,1996,2.4
dom,2000,1.6
dom,2002,2.5
dom,2006,1.8
dom,2007,2.5
dom,2013,2.8
dza,1992,7
dza,1995,9.7
dza,2000,3.3
dza,2002,10
dza,2006,4
dza,2012,4.4
dza,2019,3
ecu,1999,2.2
ecu,2004,1.9
