global,time,ny_gdp_mktp_pp_kd
world,1990,51098843868799.39844
world,1991,51788697871322.09375
world,1992,52605112555565.50781
world,1993,53473350575172.39844
world,1994,54974098169354.09375
world,1995,56695596088650.70312
world,1996,58843464332315.39844
world,1997,61116801674215.50781
world,1998,62612756043919.79688
world,1999,64788142558635.20312
world,2000,67852579603423.60156
world,2001,69407189038828.70312
world,2002,71282186715611.90625
world,2003,73933489864888.70312
world,2004,77686773394091.01562
world,2005,81221188608429.29688
world,2006,85389555623809.29688
world,2007,89793547913822.20312
world,2008,92183559816527.28125
world,2009,91536363198024.07812
world,2010,96160711437224.79688
world,2011,99878126563755.20312
world,2012,102997713777989
world,2013,106373261453736
world,2014,110012983596064
world,2015,113747692707372
world,2016,117476624027930
world,2017,121893856370903
world,2018,126259416897724
world,2019,129828369127716
world,2020,125653507406126
