global,time,sh_dyn_ncom_fe_zs
world,2000,18.47802
world,2001,18.23341
world,2002,18.23052
world,2003,18.06452
world,2004,17.67523
world,2005,17.37407
world,2006,17.00653
world,2007,16.71945
world,2008,16.47709
world,2009,16.17558
world,2010,16.04365
world,2011,15.86188
world,2012,15.66294
world,2013,15.37062
world,2014,15.22909
world,2015,15.25635
world,2016,15.18211
world,2017,14.96673
world,2018,14.86161
world,2019,14.76512
