global,time,eg_elc_petr_zs
world,1971,18.04488
world,1972,19.82874
world,1973,21.18183
world,1974,19.85252
world,1975,18.74866
world,1976,19.54436
world,1977,19.13459
world,1978,18.94803
world,1979,17.5402
world,1980,15.78994
world,1981,14.4528
world,1982,12.90288
world,1983,11.97637
world,1984,10.86715
world,1985,9.16348
world,1986,9.25683
world,1987,8.84637
world,1988,9.10573
world,1989,9.4062
world,1990,10.20776
world,1991,10.04163
world,1992,9.72376
world,1993,9.10801
world,1994,8.84238
world,1995,8.48962
world,1996,8.09521
world,1997,8.03818
world,1998,8.20883
world,1999,7.78815
world,2000,7.30292
world,2001,7.05049
world,2002,6.73096
world,2003,6.57939
world,2004,6.17097
world,2005,5.75161
world,2006,5.06748
world,2007,4.87104
world,2008,4.59765
world,2009,4.1834
world,2010,3.8124
world,2011,4.02105
world,2012,4.15599
world,2013,3.78381
world,2014,3.54784
world,2015,3.27963
