geo,time,ms_mil_xpnd_cn
afg,1970,1282500000
afg,1973,1457750000
afg,1974,1562500000
afg,1975,1834000000
afg,1976,2353000000
afg,1977,2673250000
afg,2004,5986000000
afg,2005,6074333333.33333
afg,2006,6557500000
afg,2007,10970666666.6667
afg,2008,12086666666.6667
afg,2009,12675333333.3333
afg,2010,13849666666.6667
afg,2011,15230500000
afg,2012,12149000000
afg,2013,12027666666.6667
afg,2014,15356000000
afg,2015,12199166666.6667
afg,2016,12614833333.3333
afg,2017,13020833333.3333
afg,2018,14310000000
afg,2019,17637666666.6667
ago,1978,10.27
ago,1979,15.1
ago,1980,14.88
ago,1981,18.516
ago,1982,20
ago,1983,23.295
ago,1984,31.9
ago,1985,34.3
ago,1986,34.6
ago,1987,44.5
ago,1988,43.961
ago,1989,58.297
ago,1990,52.391
ago,1991,56.82
ago,1992,199.66
ago,1993,4720.2
ago,1994,35410.9
ago,1995,643124
ago,1996,20451600
ago,1997,104621000
ago,1998,66889400
ago,1999,2976540000
ago,2000,5859850000
ago,2001,8917990000
ago,2002,19096100000
ago,2003,49987800000
ago,2004,68297900000
ago,2005,118977000000
ago,2006,158350000000
ago,2007,155900000000
ago,2008,237375000000
ago,2009,262671000000
ago,2010,321743000000
ago,2011,341875000000
ago,2012,395680000000
ago,2013,587869000000
ago,2014,673000000000
ago,2015,433216000000
ago,2016,452356000000
ago,2017,508175000000
ago,2018,501224000000
ago,2019,536216000000
alb,1975,653000000
alb,1976,783000000
alb,1977,805000000
alb,1978,825000000
alb,1979,885000000
alb,1980,940000000
alb,1981,940000000
alb,1982,935000000
alb,1983,910000000
alb,1984,1010000000
alb,1985,953000000
alb,1986,978000000
alb,1987,1011000000
alb,1988,955000000
alb,1989,965000000
alb,1990,990000000
alb,1991,950000000
alb,1992,2368000000
alb,1993,4010000000
alb,1994,4698000000
alb,1995,4719000000
alb,1996,4777000000
alb,1997,4442000000
alb,1998,5067000000
alb,1999,5891000000
alb,2000,6519000000
alb,2001,7638000000
alb,2002,8220000000
alb,2003,9279000000
alb,2004,10372800000
alb,2005,10999800000
alb,2006,13831000000
alb,2007,17619000000
alb,2008,21450000000
alb,2009,17356000000
alb,2010,19321000000
alb,2011,19877000000
alb,2012,19820000000
alb,2013,19022000000
alb,2014,18788000000
alb,2015,16671000000
alb,2016,16250000000
alb,2017,17199000000
alb,2018,18995000000
alb,2019,21702000000
are,1997,12246000000
are,1998,14728000000
are,1999,15546000000
are,2000,21579000000
are,2001,21293000000
are,2002,19663000000
are,2003,21428000000
are,2004,25035000000
are,2005,24254000000
are,2006,26315000000
are,2007,31073000000
are,2008,42497000000
are,2009,50814000000
are,2010,64286000000
are,2011,70445000000
are,2012,69866000000
are,2013,86528000000
are,2014,83568000000
arg,1960,0.00155
arg,1961,0.00214
arg,1962,0.00266
arg,1963,0.00336
arg,1964,0.00345
arg,1965,0.00428
arg,1966,0.00584
arg,1967,0.0084
arg,1968,0.0118
arg,1969,0.0155
arg,1970,0.0169
arg,1971,0.0235
arg,1972,0.0383
arg,1973,0.0647
arg,1974,0.0813
arg,1975,0.292
arg,1976,2.87
arg,1977,8.39
arg,1978,24.7
arg,1979,66.6
arg,1980,119
arg,1981,259
arg,1982,591
arg,1983,2999
arg,1984,17100
arg,1985,122000
arg,1986,231000
arg,1987,533000
arg,1988,2360000
arg,1989,61000000
arg,1990,1000000000
arg,1991,2726000000
arg,1992,3224000000
arg,1993,3365000000
arg,1994,3751000000
arg,1995,3801000000
arg,1996,3378000000
arg,1997,3339000000
arg,1998,3397000000
arg,1999,3460000000
arg,2000,3265000000
arg,2001,3182000000
arg,2002,3413000000
arg,2003,3988000000
arg,2004,4285000000
arg,2005,4935000000
arg,2006,5643000000
arg,2007,7109000000
arg,2008,8769000000
arg,2009,11063000000
arg,2010,13541000000
arg,2011,16654000000
arg,2012,20703000000
arg,2013,28050000000
arg,2014,40209000000
arg,2015,50621000000
arg,2016,66586000000
arg,2017,90372600000
arg,2018,107976300000
arg,2019,151355500000
arm,1992,6500000
arm,1993,89500000
arm,1995,21200000000
arm,1996,21700000000
arm,1997,31444700000
arm,1998,33706900000
arm,1999,36509500000
arm,2000,36715900000
arm,2001,36772600000
arm,2002,36755600000
arm,2003,44326300000
arm,2004,52315800000
arm,2005,64414000000
arm,2006,78294200000
arm,2007,95819300000
arm,2008,121162000000
arm,2009,130600000000
arm,2010,147600000000
arm,2011,145600000000
arm,2012,152900000000
arm,2013,182100000000
arm,2014,190411000000
arm,2015,213811000000
arm,2016,207270000000
arm,2017,214218000000
arm,2018,294070000000
arm,2019,323500000000
aus,1960,410500000
aus,1961,420500000
aus,1962,437000000
aus,1963,494000000
aus,1964,585500000
aus,1965,703000000
aus,1966,881000000
aus,1967,1069500000
aus,1968,1180000000
aus,1969,1174000000
aus,1970,1140500000
aus,1971,1175500000
aus,1972,1245000000
aus,1973,1305500000
aus,1974,1482000000
aus,1975,1733000000
aus,1976,1997500000
aus,1977,2255000000
aus,1978,2460500000
aus,1979,2774000000
aus,1980,3212500000
aus,1981,3762500000
aus,1982,4396500000
aus,1983,5008000000
aus,1984,5612500000
aus,1985,6281500000
aus,1986,6891500000
aus,1987,7222500000
aus,1988,7470000000
aus,1989,7967000000
aus,1990,8588500000
aus,1991,9016500000
aus,1992,9371000000
aus,1993,9902500000
aus,1994,10203000000
aus,1995,10341500000
aus,1996,10482000000
aus,1997,10694000000
aus,1998,11314000000
aus,1999,12043500000
aus,2000,12546000000
aus,2001,13617500000
aus,2002,14626500000
aus,2003,15306000000
aus,2004,16310500000
aus,2005,17334500000
aus,2006,18910000000
aus,2007,20539000000
aus,2008,22214000000
aus,2009,24310500000
aus,2010,25311000000
aus,2011,25785000000
aus,2012,25320000000
aus,2013,25715000000
aus,2014,28603500000
aus,2015,32005500000
aus,2016,35495000000
aus,2017,36121950000
aus,2018,35933450000
aus,2019,37262000000
aut,1960,173000000
aut,1961,172000000
aut,1962,189000000
aut,1963,238000000
aut,1964,311000000
aut,1965,270000000
aut,1966,317000000
aut,1967,334000000
aut,1968,344000000
aut,1969,365000000
aut,1970,377000000
aut,1971,380000000
aut,1972,419000000
aut,1973,468000000
aut,1974,574000000
aut,1975,692000000
aut,1976,758000000
aut,1977,825000000
aut,1978,926000000
aut,1979,1020000000
aut,1980,1084000000
aut,1981,1122000000
aut,1982,1234000000
aut,1983,1295000000
aut,1984,1381000000
aut,1985,1559000000
aut,1986,1637000000
aut,1987,1596000000
aut,1988,1538000000
aut,1989,1561000000
aut,1990,1630000000
aut,1991,1692000000
aut,1992,1709000000
aut,1993,1788000000
aut,1994,1849000000
aut,1995,1874000000
aut,1996,1891000000
aut,1997,1920000000
aut,1998,1943000000
aut,1999,1994000000
aut,2000,2090000000
aut,2001,1999000000
aut,2002,1999450000
aut,2003,2110500000
aut,2004,2157800000
aut,2005,2160000000
aut,2006,2104600000
aut,2007,2557100000
aut,2008,2557800000
aut,2009,2400500000
aut,2010,2430000000
aut,2011,2452800000
aut,2012,2480600000
aut,2013,2432000000
aut,2014,2491200000
aut,2015,2403400000
aut,2016,2609600000
aut,2017,2797100000
aut,2018,2870400000
aut,2019,2892000000
aze,1992,120000
aze,1993,1550000
aze,1994,13800000
aze,1995,58400000
aze,1996,61600000
aze,1997,73400000
aze,1998,83000000
aze,1999,99100000
aze,2000,107000000
aze,2001,122900000
aze,2002,136000000
aze,2003,173400000
aze,2004,224300000
aze,2005,287901000
aze,2006,640700000
aze,2007,812300000
aze,2008,1321000000
aze,2009,1183900000
aze,2010,1185200000
aze,2011,2432300000
aze,2012,2550300000
aze,2013,2642000000
aze,2014,2688100000
aze,2015,2971800000
aze,2016,2228800000
aze,2017,2642100000
aze,2018,2842700000
aze,2019,3152200000
bdi,1962,421000000
bdi,1963,50600000
bdi,1964,58100000
bdi,1965,181700000
bdi,1966,200100000
bdi,1967,207900000
bdi,1968,226700000
bdi,1969,292000000
bdi,1971,230000000
bdi,1972,315000000
bdi,1973,474000000
bdi,1974,605000000
bdi,1975,672000000
bdi,1976,860000000
bdi,1977,1256000000
bdi,1978,1533000000
bdi,1979,1800000000
bdi,1980,2498700000
bdi,1981,2699600000
bdi,1982,3299900000
bdi,1983,3194600000
bdi,1984,3583900000
bdi,1985,3888700000
bdi,1986,3951200000
bdi,1987,3803900000
bdi,1988,4809300000
bdi,1989,6014000000
bdi,1990,6782100000
bdi,1991,7760000000
bdi,1992,8121000000
bdi,1993,8805000000
bdi,1994,10589000000
bdi,1995,10517000000
bdi,1996,15408000000
bdi,1997,21800000000
bdi,1998,26300000000
bdi,1999,28500000000
bdi,2000,30500000000
bdi,2001,44200000000
bdi,2002,41800000000
bdi,2003,47000000000
bdi,2004,49400000000
bdi,2005,53600000000
bdi,2006,46000000000
bdi,2007,50100000000
bdi,2008,52000000000
bdi,2012,85060000000
bdi,2013,94642000000
bdi,2014,96169000000
bdi,2015,104004000000
bdi,2016,109850000000
bdi,2017,109850000000
bdi,2018,116380000000
bdi,2019,119270000000
bel,1960,474990000
bel,1961,484904000
bel,1962,523330000
bel,1963,551070000
bel,1964,616090000
bel,1965,620630000
bel,1966,698290000
bel,1967,753497000
bel,1968,801170000
bel,1969,836740000
bel,1970,926820000
bel,1971,1007800000
bel,1972,1120100000
bel,1973,1252700000
