geo,time,sp_pop_tech_rd_p6
ago,2011,35.4243
ago,2016,5.20066
alb,2008,39.96433
are,2018,889.5377
arg,1997,159.91058
arg,1998,170.72683
arg,1999,156.49672
arg,2000,158.28249
arg,2001,166.62351
arg,2002,161.13902
arg,2003,168.76765
arg,2004,180.99878
arg,2005,200.24204
arg,2006,207.45801
arg,2007,194.83778
arg,2008,205.4882
arg,2009,227.03476
arg,2010,247.45846
arg,2011,272.47976
arg,2012,307.17135
arg,2013,320.69368
arg,2014,318.78033
arg,2015,326.07927
arg,2016,328.60276
arg,2017,349.52207
arg,2018,398.051
aus,1996,814.21598
aus,1998,795.87794
aus,2000,819.47485
aus,2002,961.32396
aus,2004,885.3275
aus,2006,1017.79166
aus,2008,1136.46069
aut,1998,984.82163
aut,2002,1253.18216
aut,2004,1468.56351
aut,2006,1788.90602
aut,2007,1957.95224
aut,2009,1995.61358
aut,2011,2168.99483
aut,2013,2373.68529
aut,2015,2579.54569
aut,2017,2648.10229
bdi,2012,17.60764
bdi,2018,6.58591
bel,1996,938.84187
bel,1997,971.23698
bel,1998,1004.89397
bel,1999,1061.92619
bel,2000,1403.22814
bel,2001,1457.2644
bel,2002,1481.71745
bel,2003,1467.82196
bel,2004,1404.7929
bel,2005,1426.6391
bel,2006,1348.9584
bel,2007,1384.87556
bel,2008,1461.58834
bel,2009,1471.85887
bel,2010,1316.48045
bel,2011,1377.89573
bfa,2010,37.13021
bgr,1996,985.16999
bgr,1997,554.07977
bgr,1998,597.46832
bgr,1999,474.64993
bgr,2000,479.24739
bgr,2001,477.38517
bgr,2002,472.01719
bgr,2003,478.58158
bgr,2004,480.46182
bgr,2005,491.48155
bgr,2006,503.60293
bgr,2007,480.15804
bgr,2008,496.80446
bgr,2009,538.30106
bgr,2010,498.85468
bgr,2011,442.22182
bhr,2014,17.2146
bih,2003,45.08538
bih,2004,52.35463
bih,2005,52.6299
bih,2006,65.04022
bih,2007,71.73355
bih,2012,39.66744
bih,2013,40.76095
bih,2014,52.12364
bih,2015,66.07645
bih,2016,63.72801
bih,2017,66.9546
bih,2018,50.93376
bol,2009,35.10447
bol,2010,25.62549
bra,2000,335.9403
bra,2001,324.4342
bra,2002,313.34843
bra,2003,371.29267
bra,2004,450.26914
bra,2005,497.05356
bra,2006,526.26259
bra,2007,566.52684
bra,2008,606.16456
bra,2009,681.02727
bra,2010,754.57696
bra,2011,809.69231
bra,2012,863.93363
bra,2013,917.32864
bra,2014,969.90222
bwa,2012,72.56481
bwa,2013,125.088
can,1996,1127.03531
can,1997,1107.84671
can,1998,1104.6539
can,1999,1118.78502
can,2000,1240.66709
can,2001,1312.82073
can,2002,1367.61949
can,2003,1463.09482
can,2004,1621.85129
can,2005,1642.34836
can,2006,1761.07271
can,2007,1982.64275
can,2008,1960.24685
can,2009,1789.24417
can,2010,1520.7527
can,2011,1555.04655
can,2012,1369.90891
can,2013,1378.32254
can,2014,1352.97622
can,2015,1455.58808
can,2016,1247.83745
can,2017,1268.37307
che,1996,2761.42496
che,2000,2320.90631
che,2004,2338.96985
che,2008,2854.92025
che,2012,2682.81316
che,2015,2935.19578
che,2017,2619.74154
chl,2007,244.94853
chl,2008,294.72043
chl,2009,213.66577
chl,2010,229.09842
chl,2011,268.65115
chl,2012,308.30247
chl,2013,272.4879
chl,2014,313.67807
chl,2015,284.7413
chl,2016,296.68053
chl,2017,303.46696
cod,2015,6.66802
cog,1996,43.79337
cog,1997,41.50275
