geo,time,ny_adj_nnat_cd
abw,1995,266133997.84964
abw,1996,192081040.62639
abw,1997,199921628.78206
abw,1998,265911836.39708
abw,1999,180826415.3203
abw,2000,253119496.31891
abw,2001,173400605.77864
abw,2002,34465129.79111
abw,2003,86768259.19996
abw,2004,153159137.45125
abw,2005,-274323911.60905
abw,2006,81844206.73224
abw,2007,-194236015.85874
abw,2008,109009483.75341
abw,2009,33861556.59267
abw,2010,-149185982.56925
abw,2011,-299434482.68103
abw,2012,-207218235.59065
abw,2013,-137345680.67573
abw,2014,-13753850.26291
abw,2015,112934554.18821
abw,2016,141008795.04621
abw,2017,132290558.93711
ago,2000,2902510581.73116
ago,2001,593191327.42618
ago,2002,3117952246.15017
ago,2003,3102819270.35623
ago,2004,5837302108.02238
ago,2005,12068383056.1367
ago,2006,18115628709.6598
ago,2007,20963865288.8017
ago,2008,25947317019.25529
ago,2009,11822536175.1857
ago,2010,22235602950.1706
ago,2011,30942740698.96749
ago,2012,34127330511.186
ago,2013,28736731050.7411
ago,2014,27014343898.442
ago,2015,15420761209.6032
ago,2016,12810883680.8992
ago,2017,14274077996.7037
ago,2018,14586863772.7973
ago,2019,10702806250.5782
alb,1984,252760338.99164
alb,1985,262662864.40929
alb,1986,291608804.13444
alb,1987,240265105.30851
alb,1988,175147851.47603
alb,1989,280436987.4955
alb,1990,74093771.85341
alb,1991,-309563794.72073
alb,1992,-198058638.82884
alb,1993,-47584930.38307
alb,1994,-190202573.87025
alb,1995,98691927.83069
alb,1996,156931803.4993
alb,1997,-149335021.7313
alb,1998,162955803.58248
alb,1999,143654517.05504
alb,2000,537623608.16145
alb,2001,744277474.34993
alb,2002,665334012.25215
alb,2003,902655861.72506
alb,2004,1342233539.36361
alb,2005,1578150456.84624
alb,2006,1662328365.89846
alb,2007,1234559766.56785
alb,2008,680057269.0751
alb,2009,544668964.12366
alb,2010,845097984.69636
alb,2011,821817057.27718
alb,2012,598906527.3249
alb,2013,396362254.0519
alb,2014,146879103.27615
alb,2015,-60553439.76686
alb,2016,-11030549.98082
alb,2017,-103293561.85477
alb,2018,-30066626.73944
alb,2019,-475952164.88961
arg,1976,13979745256.4258
arg,1977,14831137430.8231
arg,1978,13464977190.3861
arg,1979,12827150771.8559
arg,1980,12263485848.0128
arg,1981,9821060257.8191
arg,1982,9471150930.23478
arg,1983,12334429304.4858
arg,1984,8749390833.39955
arg,1985,9419195396.32677
arg,1986,8925412962.13334
arg,1987,9253098219.33334
arg,1988,13166760415.8834
arg,1989,3985835306.4333
arg,1990,10808560214.8033
arg,1991,10032835788.2555
arg,1992,12174202050.858
