geo,time,se_prm_uner_ma_zs
abw,1999,2.36125
abw,2000,1.37213
abw,2002,1.38733
abw,2003,2.02065
abw,2004,0.6079
abw,2005,0.30389
abw,2009,4.97288
afg,1974,55.43855
afg,1993,61.20497
ago,1982,53.07029
ago,1983,55.10273
ago,1998,51.23739
ago,2008,11.5325
ago,2009,12.74171
ago,2010,10.73592
ago,2011,8.15803
alb,1999,2.44378
alb,2000,4.60219
alb,2001,6.6844
alb,2003,8.79053
alb,2004,10.04136
alb,2008,11.53157
alb,2009,13.19732
alb,2010,13.10753
alb,2011,12.02898
alb,2012,9.00773
alb,2013,6.10668
alb,2020,5.54032
are,1978,20.41096
are,1980,24.29843
are,1981,27.01704
are,1982,21.51067
are,1983,25.25042
are,1984,25.30249
are,1985,25.83207
are,1986,25.45225
are,1987,13.63412
are,1988,9.68344
are,1989,4.84426
are,1990,1.32793
are,1991,1.06945
are,1992,4.0553
are,1993,9.28388
are,1994,11.70205
are,1995,11.0335
are,1996,13.99614
are,1997,17.5846
are,1998,17.42678
are,2007,6.00154
are,2012,7.17947
are,2013,8.17659
arg,1970,5.83665
arg,1974,3.08819
arg,1975,3.44181
arg,1991,3.65885
arm,2002,13.43565
arm,2003,14.70308
arm,2005,12.37742
arm,2006,8.79653
arm,2007,4.07229
arm,2011,5.36792
arm,2012,3.99361
arm,2013,3.71871
arm,2014,6.17616
arm,2015,5.74371
arm,2016,6.38336
arm,2017,6.18218
arm,2018,6.86174
arm,2019,8.91094
arm,2020,10.54438
atg,2012,4.66067
atg,2013,11.30989
atg,2014,5.70781
atg,2015,1.89417
atg,2016,2.26991
atg,2017,3.56481
atg,2019,1.58343
aus,1971,3.57268
aus,1973,5.28527
aus,1974,5.95731
aus,1975,2.92118
aus,1976,1.7487
aus,1982,0.87488
aus,1983,1.68031
aus,1984,3.57034
aus,1985,3.75555
aus,1986,3.20117
aus,1987,2.75249
aus,1988,2.14351
aus,1989,2.02771
aus,1990,2.31132
aus,1991,2.89073
aus,1992,3.12208
aus,1993,3.51675
aus,1994,3.83479
aus,1995,5.26508
aus,1996,4.97567
aus,1997,5.55918
aus,1998,5.96871
aus,1999,6.6228
aus,2000,6.92687
aus,2003,3.9985
aus,2004,3.49443
aus,2011,2.72291
aus,2012,2.36411
aus,2017,0.34059
aus,2018,0.39036
aus,2019,0.67543
aut,1989,6.13604
aut,2000,0.23126
aut,2001,1.26076
aut,2002,3.50754
aut,2003,4.09307
aut,2004,3.94778
aut,2005,3.20401
aut,2006,2.57324
aut,2007,2.41354
aut,2008,2.64387
aut,2009,2.51927
aut,2010,2.14924
aut,2011,2.81312
aut,2012,1.5743
aut,2013,0.90375
aut,2014,0.67732
aut,2015,0.60153
aut,2016,0.28884
aze,1991,2.4975
aze,1992,3.1775
aze,1993,11.02646
aze,1994,14.99324
aze,1995,20.85943
aze,1996,10.20292
aze,1997,8.96405
aze,1998,10.44964
aze,1999,4.65903
aze,2000,8.1755
aze,2001,10.56278
aze,2002,10.69439
aze,2003,10.89656
aze,2004,10.86889
aze,2005,10.55305
aze,2006,9.9174
aze,2007,12.77931
aze,2008,12.94055
aze,2009,11.19758
aze,2010,11.8087
aze,2011,8.71526
aze,2012,6.59258
aze,2013,0.06999
aze,2017,2.7839
aze,2018,3.72316
aze,2019,9.69104
aze,2020,12.06504
bdi,1973,76.59554
bdi,1978,79.37801
bdi,1980,77.60611
bdi,1981,75.33869
bdi,1982,70.74797
bdi,1983,63.59332
bdi,1984,58.50095
bdi,1985,54.21378
bdi,1986,52.25797
bdi,1987,47.57217
bdi,1988,46.11139
bdi,1993,47.05736
bdi,2000,54.74185
bdi,2001,44.88168
bdi,2002,45.32954
bdi,2003,42.26872
bdi,2004,42.24928
bdi,2005,39.32327
bdi,2006,24.15987
bdi,2007,17.16726
bdi,2008,7.01737
bdi,2009,9.91292
bdi,2010,5.48333
bdi,2017,5.93371
bdi,2018,7.78184
bdi,2019,9.17148
bdi,2021,11.77477
bel,1977,3.81982
bel,1979,2.66107
bel,1980,2.12376
bel,1981,3.40162
bel,1982,3.12379
bel,1983,6.71236
bel,1984,7.51037
bel,1985,7.99389
bel,1986,6.48289
bel,1987,5.30016
bel,1988,4.20247
bel,1991,4.78326
bel,1992,6.09295
bel,1993,2.62472
bel,1994,3.17802
bel,1995,3.05465
bel,1996,2.57758
bel,2000,0.97009
bel,2002,0.22274
bel,2003,1.09761
bel,2004,2.84145
bel,2005,3.14608
bel,2006,2.6745
bel,2007,1.81764
bel,2008,1.20335
bel,2009,1.32526
bel,2010,1.61246
bel,2011,1.48783
bel,2012,1.13128
bel,2013,1.17731
bel,2014,1.19551
bel,2015,0.79081
bel,2016,0.52463
bel,2017,0.26569
bel,2018,0.70063
bel,2019,1.29645
ben,1984,33.15774
ben,1985,32.32693
ben,1986,35.21454
ben,1988,35.99385
ben,1989,35.4967
ben,1990,48.17297
ben,1992,34.75423
ben,1993,30.08673
ben,1994,29.93597
ben,1995,27.71546
ben,1996,25.93232
ben,1997,22.90622
ben,2006,5.00619
ben,2008,3.48216
ben,2019,3.44978
ben,2020,3.90597
bfa,1971,87.40004
bfa,1972,86.98878
bfa,1977,84.31647
bfa,1978,83.7141
bfa,1979,83.14402
bfa,1980,82.28559
bfa,1981,80.94733
bfa,1982,78.99497
bfa,1983,77.61366
bfa,1984,75.78978
bfa,1985,73.20344
bfa,1986,70.86808
bfa,1987,68.69669
bfa,1988,68.22724
bfa,1989,68.09174
bfa,1991,67.17836
bfa,1992,66.60373
bfa,1993,65.50746
bfa,1994,64.03793
bfa,1995,62.07535
bfa,1998,58.53736
bfa,1999,58.18953
bfa,2000,57.06602
bfa,2001,56.19609
bfa,2002,57.7818
bfa,2003,55.47484
bfa,2004,53.71002
bfa,2005,48.89197
bfa,2006,45.43264
bfa,2007,40.19504
bfa,2008,34.60235
bfa,2009,32.27683
bfa,2010,37.29009
bfa,2011,32.95975
bfa,2012,32.30705
bfa,2013,31.61319
bfa,2014,30.33562
bfa,2015,28.78046
bfa,2016,23.08517
bfa,2017,22.09557
bfa,2018,19.78259
bfa,2019,21.32558
bfa,2020,24.4555
bgd,1970,31.96864
bgd,1973,7.5447
bgd,1977,8.8881
bgd,1978,10.06392
bgd,1981,18.79967
bgd,1983,18.57662
bgd,1984,24.37578
bgd,1985,26.06818
bgd,1986,27.27209
bgd,1987,28.26322
bgd,1988,20.98257
bgd,1989,21.2799
bgd,1990,19.34449
bgd,2008,5.45843
bgr,1996,4.90342
bgr,1997,4.21413
bgr,1998,1.13419
bgr,1999,1.08123
bgr,2000,1.54748
bgr,2001,1.56714
bgr,2002,3.14689
bgr,2003,3.2071
bgr,2004,2.65402
bgr,2005,3.9054
bgr,2006,2.74826
bgr,2012,2.58026
bgr,2013,4.4148
bgr,2014,5.96101
bgr,2015,7.72917
bgr,2016,10.05317
bgr,2017,11.71985
bgr,2018,13.3901
bgr,2019,14.60503
bhr,1971,14.47121
bhr,1972,12.15787
bhr,1973,11.75913
bhr,1974,8.58886
bhr,1975,5.12793
bhr,1976,9.52453
bhr,1977,9.35766
bhr,1978,12.77504
bhr,1979,13.77202
bhr,1980,13.49734
bhr,1981,14.5885
bhr,1982,15.86065
bhr,1983,14.27752
bhr,1984,12.31884
bhr,1985,9.24482
bhr,1986,3.5958
bhr,1987,4.98764
bhr,1988,1.35966
bhr,1989,0.6881
bhr,1992,3.88246
bhr,1993,2.71335
bhr,1994,3.08749
bhr,1995,1.66478
bhr,2001,7.46483
bhr,2002,7.07804
bhr,2003,8.85097
bhr,2004,9.17895
bhr,2005,11.26217
bhr,2006,10.43775
bhr,2011,8.62052
bhr,2012,7.49796
bhr,2013,5.98761
bhr,2014,3.96945
bhr,2015,1.56468
bhr,2016,1.92907
bhr,2018,0.05723
bhr,2019,1.86613
bhs,1992,11.77978
bhs,1993,12.00044
bhs,1999,8.24871
bhs,2004,10.73443
bhs,2005,9.5305
bih,2014,5.93714
bih,2015,8.12415
bih,2016,12.28011
bih,2017,11.59317
bih,2018,13.2238
blr,1995,10.02321
blr,2013,1.91476
blr,2014,1.55638
blr,2015,1.6473
blr,2016,0.05171
blr,2018,0.54732
blz,1999,0.32539
blz,2000,2.92625
blz,2001,6.12235
blz,2003,6.75777
blz,2004,5.17988
blz,2005,4.90516
blz,2006,4.49875
blz,2007,5.23587
blz,2008,3.3009
blz,2009,2.58062
blz,2010,1.8819
blz,2011,1.59287
blz,2012,0.96409
blz,2013,0.66175
blz,2014,0.52959
bmu,1978,19.10112
bmu,1979,20.93885
bmu,1984,15.20182
bmu,1985,12.24832
bmu,2011,4.39805
bmu,2012,5.21069
bol,2009,2.38886
bol,2010,5.32103
bol,2011,7.92572
bol,2012,10.60927
bol,2013,10.95706
bol,2014,11.06181
bol,2015,10.69377
bol,2016,9.81181
bol,2017,8.24082
bol,2018,6.67976
bol,2019,5.29971
bra,2009,3.18009
bra,2011,4.58908
bra,2012,2.94249
bra,2015,0.8555
brb,1971,12.65638
brb,1972,10.80442
brb,1973,11.01663
brb,1976,0.49702
brb,1981,6.08952
brb,1982,4.20677
brb,1983,0.75966
brb,1989,0.38911
brb,1990,1.5021
brb,1992,9.78834
brb,2000,2.10398
brb,2001,2.53585
brb,2002,5.51555
brb,2003,5.78389
brb,2004,7.02639
brb,2005,8.11387
brb,2006,4.43392
brb,2007,3.13773
brb,2008,1.56236
brb,2009,3.44142
brb,2010,2.86499
brb,2011,4.44539
brb,2014,7.09145
brb,2015,4.57158
brb,2016,2.46015
brb,2017,2.70882
brb,2018,0.77474
brb,2020,1.97899
brn,1977,9.32646
brn,1978,9.47493
brn,1979,19.46584
brn,1980,19.5193
brn,1981,24.35153
brn,1982,25.91279
brn,1983,24.64277
brn,1984,23.57376
brn,1986,19.97772
brn,1991,9.4038
brn,1992,8.47375
brn,1993,6.77586
brn,1994,6.31099
brn,1995,2.16752
brn,2020,1.8298
btn,1978,69.34089
btn,1979,66.09208
btn,1998,42.39922
btn,1999,41.88945
btn,2000,39.5729
btn,2001,37.23018
btn,2005,29.88429
btn,2006,26.1926
btn,2008,20.77579
btn,2009,16.15577
btn,2010,14.06404
btn,2011,12.55683
btn,2012,9.84762
btn,2013,10.2421
btn,2015,11.10904
btn,2016,11.22883
btn,2017,10.89224
btn,2018,8.86558
btn,2020,5.05943
bwa,1970,55.18438
bwa,1971,58.62685
bwa,1972,57.67923
bwa,1973,55.01657
bwa,1974,50.94001
bwa,1975,45.02689
bwa,1976,40.73892
bwa,1977,36.68567
bwa,1978,35.87444
bwa,1979,34.40509
bwa,1980,30.44171
bwa,1981,25.68406
bwa,1983,20.3916
bwa,1984,19.27105
bwa,1985,16.55638
bwa,1986,14.13967
bwa,1987,12.78214
bwa,1988,12.27352
bwa,1989,11.13711
bwa,1990,11.86726
bwa,1991,9.78219
bwa,1992,10.01491
bwa,1993,9.97366
bwa,1994,9.81387
bwa,1995,18.99655
bwa,1996,18.33688
bwa,1998,15.86601
bwa,1999,16.62184
bwa,2000,15.80307
bwa,2001,14.41056
bwa,2002,14.04561
bwa,2003,14.00363
bwa,2004,11.46888
bwa,2005,12.32207
bwa,2006,10.96063
bwa,2007,12.61899
bwa,2008,14.02711
bwa,2009,14.25972
bwa,2012,12.02505
bwa,2013,11.76014
bwa,2014,11.62061
bwa,2015,12.38309
bwa,2017,9.7893
caf,1971,33.61813
caf,1972,30.58428
caf,1973,28.60466
caf,1977,34.95624
caf,1978,34.84572
caf,1981,28.83457
caf,1982,26.10706
caf,1983,21.72983
caf,1986,23.31145
caf,1987,35.60442
caf,1988,38.8838
caf,1989,39.30355
caf,1990,28.50303
caf,1991,34.87032
caf,2005,45.24695
caf,2006,44.81507
caf,2007,35.73607
caf,2008,26.74572
caf,2009,26.63829
caf,2010,24.52704
caf,2011,27.7182
caf,2012,26.12365
can,1982,3.78198
can,1983,3.85929
can,1984,4.3539
can,1985,4.63433
can,1986,4.41239
can,1987,4.29338
can,1988,4.32183
can,1989,3.51373
can,1990,4.60126
can,1991,1.50398
can,1992,1.75933
can,1993,3.01022
can,1994,3.18488
can,1995,4.61402
can,1996,3.65374
can,1998,0.80408
che,1977,24.98317
che,1978,24.45738
che,1981,23.22124
che,1982,23.19726
che,1983,23.74928
che,1984,24.3833
che,1985,24.35406
che,1986,23.89603
che,1987,22.79563
che,1988,20.9644
che,1989,18.69775
che,1990,16.9471
che,1991,16.17107
che,1992,16.12702
che,1993,17.15065
che,1994,18.14135
che,1995,10.55092
che,1996,8.72174
che,2004,0.86729
che,2009,0.73649
che,2010,0.65075
che,2011,0.59135
che,2012,0.73391
chl,2007,2.66456
chl,2008,2.07327
chl,2009,3.83059
chl,2010,2.65926
chl,2011,3.08526
chl,2012,3.25296
chl,2013,3.70203
chl,2014,3.62927
chl,2015,3.42285
chl,2016,2.80456
chl,2017,1.98306
chl,2018,0.95869
chl,2019,0.0596
chn,1987,3.40415
chn,1989,0.3858
chn,1991,0.35169
chn,1992,1.57227
chn,1993,2.92104
chn,1994,4.81174
chn,1995,7.05762
chn,1996,8.67715
