geo,time,dt_tds_dect_cd
afg,2006,10894252.3
afg,2007,6154687.8
afg,2008,8030776.5
afg,2009,10739033.8
afg,2010,10431611.1
afg,2011,10326866.7
afg,2012,14838606.9
afg,2013,25140754.4
afg,2014,42203307.6
afg,2015,56555850.6
afg,2016,60167162.6
afg,2017,63637789.7
afg,2018,63291845.8
afg,2019,55563662.9
afg,2020,45887311.7
ago,1989,265880178.7
ago,1990,325934344.9
ago,1991,388320412.6
ago,1992,245467718.4
ago,1993,154548945.3
ago,1994,259132717.8
ago,1995,467577491.6
ago,1996,996248887.7
ago,1997,1010884498.9
ago,1998,1532043553.4
ago,1999,1442655895.2
ago,2000,1720893709.4
ago,2001,2239066883.9
ago,2002,1450100926.4
ago,2003,1488737668.4
ago,2004,1885180263.9
ago,2005,2614479250.7
ago,2006,4429036868.6
ago,2007,4495341012.8
ago,2008,1634736351.4
ago,2009,4031638044.5
ago,2010,2961607175.2
ago,2011,3956534532.4
ago,2012,5922632707.8
ago,2013,5744852304.8
ago,2014,7979649346.1
ago,2015,8446478960.2
ago,2016,10959517279.8
ago,2017,9146276484.2
ago,2018,11046328784.1
ago,2019,11635838931.9
ago,2020,8456965845.5
alb,1991,3568063.5
alb,1992,2020816.9
alb,1993,8070724.6
alb,1994,18281577.8
alb,1995,10417322.5
alb,1996,21276983.2
alb,1997,24143042.3
alb,1998,21425200.3
alb,1999,25623352.8
alb,2000,30021420.6
alb,2001,39590793.5
alb,2002,60804903.3
alb,2003,57279766.9
alb,2004,76021667
alb,2005,104901870.1
alb,2006,181184491.9
alb,2007,175635399.6
alb,2008,252899351.7
alb,2009,244199014.7
alb,2010,380521784.7
alb,2011,482510828.6
alb,2012,540687624.6
alb,2013,551609619.2
alb,2014,732660493.9
alb,2015,1179900721.4
alb,2016,590406592
alb,2017,513040675.9
alb,2018,1086080378.2
alb,2019,649306814.6
alb,2020,1149299976.8
arg,1970,1118123169.7
arg,1971,1078263471.6
arg,1972,1140313787.2
arg,1973,1389252864.9
arg,1974,1663056502.6
arg,1975,1620914086.5
