geo,time,bx_grt_tech_cd_wd
abw,1986,1770000
abw,1987,3710000
abw,1988,4360000
abw,1989,1950000
abw,1990,2210000
abw,1991,10000
abw,1992,3010000
abw,1993,260000
abw,1994,120000
abw,1995,160000
abw,1996,130000
abw,1997,310000
abw,1998,600000
abw,1999,20000
abw,2000,150000
abw,2001,-110000
abw,2002,480000
afg,1960,1510000
afg,1961,1620000
afg,1962,1870000
afg,1963,1990000
afg,1964,2150000
afg,1965,2760000
afg,1966,20270000
afg,1967,18150000
afg,1968,13750000
afg,1969,19220000
afg,1970,20140000
afg,1971,23290000
afg,1972,23500000
afg,1973,22970000
afg,1974,20630000
afg,1975,22460000
afg,1976,17420000
afg,1977,25990000
afg,1978,28740000
afg,1979,35440000
afg,1980,21300000
afg,1981,14600000
afg,1982,13870000
afg,1983,14940000
afg,1984,12230000
afg,1985,14960000
afg,1986,12640000
afg,1987,29260000
afg,1988,46200000
afg,1989,64430000
afg,1990,52490000
afg,1991,90370000
afg,1992,102250000
afg,1993,93540000
afg,1994,52820000
afg,1995,46150000
afg,1996,43450000
afg,1997,30410000
afg,1998,26970000
afg,1999,24820000
afg,2000,15590000
afg,2001,15510000
afg,2002,221390000
afg,2003,401810000
afg,2004,452790000
afg,2005,1062410000
afg,2006,843810000
afg,2007,526320000
afg,2008,710960000
afg,2009,957300000
afg,2010,893130000
afg,2011,849840000
afg,2012,896900000
afg,2013,823980000
afg,2014,655640000
afg,2015,467490000
afg,2016,490400000
afg,2017,311920000
afg,2018,300130000
afg,2019,299690000
ago,1960,-50000
ago,1961,80000
ago,1963,20000
ago,1967,10000
ago,1968,10000
ago,1969,10000
ago,1970,90000
ago,1971,70000
ago,1972,60000
ago,1973,80000
ago,1974,90000
ago,1975,200000
ago,1976,5560000
ago,1977,18550000
ago,1978,10460000
ago,1979,14410000
ago,1980,15500000
ago,1981,17300000
ago,1982,18760000
ago,1983,24050000
ago,1984,21950000
ago,1985,24300000
ago,1986,27490000
ago,1987,33340000
ago,1988,41680000
ago,1989,46010000
ago,1990,33860000
ago,1991,55400000
ago,1992,87560000
ago,1993,67810000
ago,1994,67670000
ago,1995,71070000
ago,1996,99620000
ago,1997,56870000
ago,1998,52000000
ago,1999,57600000
ago,2000,47310000
ago,2001,56940000
ago,2002,61020000
ago,2003,79860000
ago,2004,70250000
ago,2005,80670000
ago,2006,72810000
ago,2007,46330000
ago,2008,67750000
ago,2009,64060000
ago,2010,43730000
ago,2011,33580000
ago,2012,34220000
ago,2013,25680000
ago,2014,34670000
ago,2015,24460000
ago,2016,30380000
ago,2017,26710000
ago,2018,47060000
ago,2019,46980000
alb,1988,5560000
alb,1989,8710000
alb,1990,9170000
alb,1991,3800000
alb,1992,11440000
alb,1993,23280000
alb,1994,25630000
alb,1995,31240000
alb,1996,53050000
alb,1997,34250000
alb,1998,33620000
alb,1999,68920000
alb,2000,54420000
alb,2001,61480000
alb,2002,81380000
alb,2003,145240000
alb,2004,92110000
alb,2005,90450000
alb,2006,99710000
alb,2007,86250000
alb,2008,109250000
alb,2009,95930000
alb,2010,102880000
alb,2011,98220000
alb,2012,95710000
alb,2013,57100000
alb,2014,75080000
alb,2015,182200000
alb,2016,75600000
alb,2017,86490000
alb,2018,93510000
alb,2019,102990000
are,1964,250000
are,1967,50000
are,1968,10000
are,1969,20000
are,1970,10000
are,1971,20000
are,1972,250000
are,1973,250000
are,1974,590000
are,1975,550000
are,1976,1040000
are,1977,1130000
are,1978,1690000
are,1979,2510000
are,1980,4010000
are,1981,4190000
are,1982,4190000
are,1983,4030000
are,1984,3130000
are,1985,3320000
are,1986,4720000
are,1987,4650000
are,1988,4850000
are,1989,4250000
are,1990,3650000
are,1991,3530000
are,1992,4280000
are,1993,3180000
are,1994,5510000
are,1995,6340000
are,1996,6700000
are,1997,1050000
are,1998,3010000
are,1999,3330000
are,2000,3030000
are,2001,2090000
are,2002,3470000
are,2003,4510000
are,2004,4410000
arg,1960,840000
arg,1961,840000
arg,1962,1470000
arg,1963,1140000
arg,1964,1600000
arg,1965,2000000
arg,1966,6830000
arg,1967,6970000
arg,1968,4430000
arg,1969,7480000
arg,1970,12350000
arg,1971,10110000
arg,1972,10730000
arg,1973,12740000
arg,1974,12070000
arg,1975,12860000
arg,1976,16090000
arg,1977,17580000
arg,1978,19610000
arg,1979,29220000
arg,1980,33740000
arg,1981,29870000
arg,1982,26780000
arg,1983,27840000
arg,1984,28140000
arg,1985,31730000
arg,1986,62830000
arg,1987,73940000
arg,1988,81330000
arg,1989,78900000
arg,1990,69360000
arg,1991,75530000
arg,1992,83310000
arg,1993,80560000
arg,1994,79360000
arg,1995,83480000
arg,1996,77330000
arg,1997,69620000
