global,time,se_sec_cmpt_lo_ma_zs
world,1987,56.29464
world,1988,56.83974
world,1989,57.0952
world,1990,57.22933
world,1991,57.72614
world,1992,58.78606
world,1993,59.95171
world,1994,60.36351
world,1995,61.11769
world,1996,61.913
world,1997,63.48475
world,1998,64.24501
world,1999,65.01657
world,2000,66.01095
world,2001,67.20358
world,2002,68.83129
world,2003,70.219
world,2004,71.17044
world,2005,71.58772
world,2006,71.83737
world,2007,72.45842
world,2008,73.32559
world,2009,73.74752
world,2010,74.41246
world,2011,75.25939
world,2012,74.8294
world,2013,74.47832
world,2014,74.88912
world,2015,75.58042
world,2016,75.99893
world,2017,75.44094
world,2018,75.33844
world,2019,75.97306
world,2020,76.73383
