geo,time,dt_tds_dppg_gn_zs
afg,2009,0.07811
afg,2010,0.05461
afg,2011,0.05481
afg,2012,0.04971
afg,2013,0.05779
afg,2014,0.10368
afg,2015,0.142
afg,2016,0.16544
afg,2017,0.16104
afg,2018,0.17913
afg,2019,0.17164
afg,2020,0.14135
ago,1989,2.40677
ago,1990,2.8206
ago,1991,3.16416
ago,1992,5.46788
ago,1993,2.73506
ago,1994,10.50455
ago,1995,8.69398
ago,1996,16.24831
ago,1997,14.33054
ago,1998,26.85359
ago,1999,28.9388
ago,2000,22.54823
ago,2001,29.95211
ago,2002,10.43774
ago,2003,9.17728
ago,2004,8.86699
ago,2005,7.72831
ago,2006,9.36995
ago,2007,7.56521
ago,2008,2.10717
ago,2009,5.56328
ago,2010,3.0242
ago,2011,2.77864
ago,2012,3.56402
ago,2013,3.8193
ago,2014,4.95623
ago,2015,5.78752
ago,2016,9.79154
ago,2017,7.11021
ago,2018,9.95756
ago,2019,13.23301
ago,2020,12.88272
alb,1991,0.33103
alb,1992,0.31082
alb,1993,0.58488
alb,1994,0.90771
alb,1995,0.20318
alb,1996,0.32795
alb,1997,0.59156
alb,1998,0.63668
alb,1999,0.4213
alb,2000,0.46065
alb,2001,0.44481
alb,2002,0.83856
alb,2003,0.71585
alb,2004,0.78159
alb,2005,0.77046
alb,2006,0.89454
alb,2007,0.78784
alb,2008,0.78374
alb,2009,1.2765
alb,2010,2.03628
alb,2011,2.29446
alb,2012,2.37382
alb,2013,1.51416
alb,2014,1.91121
alb,2015,5.11444
alb,2016,2.28086
alb,2017,2.3384
alb,2018,4.44934
alb,2019,2.42378
alb,2020,4.37806
arg,1970,1.55421
arg,1971,1.31639
arg,1972,1.42521
arg,1973,1.28684
arg,1974,1.11562
arg,1975,1.51754
arg,1976,1.73807
arg,1977,1.88584
arg,1978,3.70483
arg,1979,2.17095
arg,1980,2.70792
arg,1981,2.82879
arg,1982,2.95424
arg,1983,2.51534
arg,1984,3.46845
arg,1985,5.12458
arg,1986,4.46222
arg,1987,4.38479
arg,1988,3.13022
arg,1989,3.97747
arg,1990,3.57793
arg,1991,2.05396
arg,1992,1.43871
arg,1993,1.90256
arg,1994,1.42413
arg,1995,2.07331
arg,1996,2.62333
arg,1997,3.25682
arg,1998,3.29574
arg,1999,4.25277
arg,2000,5.08979
arg,2001,3.82978
arg,2002,3.85636
arg,2003,5.58048
arg,2004,1.76513
arg,2005,1.80427
arg,2006,1.78112
