global,time,eg_elc_fosl_zs
world,1971,61.68181
world,1972,61.65472
world,1973,62.17182
world,1974,59.62995
world,1975,58.46291
world,1976,59.62044
world,1977,58.98698
world,1978,57.8912
world,1979,57.75799
world,1980,57.68451
world,1981,56.29769
world,1982,55.06256
world,1983,54.07661
world,1984,53.23029
world,1985,52.08947
world,1986,51.47331
world,1987,51.86389
world,1988,51.6232
world,1989,52.42268
world,1990,61.94448
world,1991,61.74024
world,1992,61.74029
world,1993,61.19749
world,1994,61.28845
world,1995,61.01918
world,1996,61.25269
world,1997,62.05089
world,1998,62.57382
world,1999,62.8839
world,2000,63.68507
world,2001,64.08784
world,2002,64.61518
world,2003,65.82722
world,2004,65.49596
world,2005,65.75768
world,2006,66.08459
world,2007,67.20416
world,2008,66.82777
world,2009,66.11511
world,2010,66.31246
world,2011,66.99386
world,2012,66.82356
world,2013,66.31944
world,2014,65.63349
world,2015,65.23604
