geo,time,se_sec_enrl
abw,1999,6159
abw,2000,6178
abw,2001,6428
abw,2002,6757
abw,2003,6869
abw,2004,6973
abw,2005,7116
abw,2006,7439
abw,2007,7853
abw,2008,7270
abw,2009,7439
abw,2010,7342
abw,2011,7378
abw,2012,8377
afg,1970,116174
afg,1971,134069
afg,1972,153060
afg,1973,165346
afg,1974,172797
afg,1975,185723
afg,1976,204889
afg,1977,223379
afg,1978,238674
afg,1980,293308
afg,1981,332935
afg,1982,178423
afg,1984,198337
afg,1985,206381
afg,1986,187745
afg,1988,205392
afg,1989,202572
afg,1990,182340
afg,1991,281928
afg,1993,332170
afg,1994,497762
afg,1995,512851
afg,2001,362415
afg,2003,406895
afg,2004,594306
afg,2005,651453
afg,2006,1006841
afg,2007,1035782
afg,2008,1425009
afg,2009,1716190
afg,2010,2044157
afg,2011,2208963
afg,2012,2415884
afg,2013,2538420
afg,2014,2602734
afg,2015,2651459
afg,2016,2725421
afg,2017,2899453
afg,2018,3063889
ago,1971,57829
ago,1972,67230
ago,1973,79055
ago,1978,105368
ago,1980,143556
ago,1981,190702
ago,1982,139784
ago,1983,131918
ago,1984,170545
ago,1985,151759
ago,1986,178910
ago,1987,179338
ago,1988,156200
ago,1989,178868
ago,1990,171156
ago,1991,187436
ago,1992,218987
ago,1998,291708
ago,1999,300480
ago,2000,354984
ago,2001,413695
ago,2002,461825
ago,2008,646180
ago,2009,711232
ago,2010,850334
ago,2011,884982
ago,2016,2034150
alb,1976,396099
alb,1978,415601
alb,1979,428218
alb,1980,440617
alb,1981,447501
alb,1982,428750
alb,1983,405293
alb,1984,408591
alb,1985,426837
alb,1986,446794
alb,1987,449699
alb,1988,459880
alb,1989,465958
alb,1990,475074
alb,1991,478285
alb,1992,404904
alb,1993,362439
alb,1994,350912
alb,1995,349430
alb,1996,346945
alb,1997,350157
alb,1998,359509
alb,1999,363502
alb,2000,365664
alb,2001,377936
alb,2002,382205
alb,2003,396095
alb,2004,393503
alb,2005,407403
alb,2006,408980
alb,2007,410444
alb,2008,406553
alb,2009,354587
alb,2010,355871
alb,2011,355158
alb,2012,349269
alb,2013,346365
alb,2014,333291
alb,2015,315079
alb,2016,294315
alb,2017,280378
alb,2018,268872
alb,2019,256072
alb,2020,242242
and,1971,724
and,1972,723
and,1973,698
and,1974,890
and,1975,1339
and,1976,1753
and,1983,2516
and,2002,3132
and,2003,3194
and,2004,3250
and,2005,3737
and,2006,3843
and,2007,3819
and,2008,3851
and,2009,3914
and,2010,4059
and,2011,4159
and,2012,4208
and,2013,4239
and,2014,4319
and,2015,4395
and,2016,4425
and,2017,4492
and,2018,4513
and,2019,4567
and,2020,4636
are,1971,4622
are,1972,5905
are,1973,6422
are,1974,6210
are,1975,7971
are,1976,12562
are,1977,16244
are,1978,18905
are,1979,22668
are,1980,27264
are,1981,32362
are,1982,39868
are,1983,45957
are,1984,51892
are,1985,56733
are,1986,62082
are,1987,68259
are,1988,76404
are,1989,85586
are,1990,95669
are,1991,107881
are,1992,118011
are,1993,129683
are,1994,145143
are,1995,159840
are,1997,180764
are,1998,190576
are,2016,441510
are,2017,528480
are,2019,556259
are,2020,675864
arg,1970,976979
arg,1971,1011566
arg,1972,1061616
arg,1973,1125715
arg,1974,1197729
arg,1975,1243058
arg,1976,1283056
arg,1977,1288107
arg,1978,1293073
arg,1979,1296839
arg,1980,1326680
arg,1981,1366444
arg,1982,1425648
arg,1983,1466424
arg,1984,1635654
arg,1985,1800049
arg,1986,1848815
arg,1987,1897711
arg,1988,1974119
arg,1990,2160410
arg,1991,2263263
arg,1994,2307821
arg,1996,2594329
arg,1997,2463608
arg,1998,3201468
arg,1999,3665865
arg,2000,3829421
arg,2001,3904915
arg,2002,3905207
arg,2003,3902011
arg,2004,3919748
arg,2005,3884317
arg,2006,3872929
arg,2007,3897005
arg,2008,3963715
arg,2009,4106048
arg,2010,4213136
arg,2011,4279426
arg,2012,4346391
arg,2013,4406046
arg,2014,4450741
arg,2015,4501734
arg,2016,4583002
arg,2017,4612663
arg,2018,4582184
arg,2019,4620000
arm,1991,394879
arm,1992,394701
arm,1993,402394
arm,1994,343096
arm,1996,330577
arm,1997,334922
arm,1998,347474
arm,1999,351392
arm,2000,409423
arm,2001,393420
arm,2004,373693
arm,2005,369736
arm,2006,362542
arm,2007,345830
arm,2008,318606
arm,2009,313249
arm,2010,305765
arm,2011,255835
arm,2013,252428
arm,2014,244543
arm,2015,240291
arm,2018,234983
arm,2019,248972
arm,2020,257153
asm,1972,2305
asm,1973,2484
asm,1974,2392
asm,1975,2373
asm,1976,2500
asm,1977,2602
asm,1978,2679
asm,1979,2679
asm,1980,2679
asm,1981,3000
asm,1982,2960
asm,1983,2999
asm,1984,3051
asm,1985,3287
asm,1986,3342
asm,1987,3295
asm,1988,3210
asm,1989,3335
asm,1990,3437
asm,1991,3565
asm,1992,3643
atg,1972,7248
atg,1973,4996
atg,1974,6904
atg,1975,6430
atg,1976,6827
atg,1977,6927
atg,1978,5706
atg,1992,5845
atg,2000,5276
atg,2007,7838
atg,2008,8628
atg,2009,8557
atg,2010,8436
atg,2011,8449
atg,2012,8383
atg,2014,8077
atg,2015,8048
atg,2017,7839
atg,2018,7856
aus,1970,1136960
aus,1993,2029407
aus,1994,2003504
aus,1995,2182085
aus,1996,2280274
aus,1997,2367692
aus,2015,2709319
aus,2016,2662318
aus,2017,2650486
aus,2018,2379962
aus,2019,2572153
aut,1971,775335
aut,1976,914475
aut,1981,937484
aut,1982,907378
aut,1983,893143
aut,1984,864510
aut,1985,850653
aut,1986,847188
aut,1987,818885
aut,1988,790819
aut,1989,764145
aut,1990,753964
aut,1991,746272
aut,1992,756385
aut,1993,768176
aut,1994,778006
aut,1995,786156
aut,1996,791453
aut,1997,793485
aut,1998,741558
aut,1999,747681
aut,2000,748659
aut,2001,749135
aut,2002,755581
aut,2003,764426
aut,2004,770391
aut,2005,781292
aut,2006,782981
aut,2007,777792
aut,2008,770792
aut,2009,762981
aut,2010,743709
aut,2011,723523
aut,2012,709910
aut,2013,706501.625
aut,2014,697388.4375
aut,2015,691071.25
aut,2016,687126
aut,2017,687361.75
aut,2018,687386.125
aut,2019,691044
aze,1981,1008831
aze,1986,930557
aze,1989,902723
aze,1990,867185
aze,1991,867386
aze,1992,880096
aze,1993,887952
aze,1994,873936
aze,1995,877809
aze,1996,805382
aze,1997,819625
aze,2018,945226
aze,2019,967454
aze,2020,984192
bdi,1971,8169
bdi,1972,8678
bdi,1973,7868
bdi,1974,9926
bdi,1975,12297
bdi,1976,13623
bdi,1977,13736
bdi,1978,14891
bdi,1979,15886
bdi,1980,16410
bdi,1981,19013
bdi,1982,20398
bdi,1983,19917
bdi,1984,21424
bdi,1985,23984
bdi,1986,25939
bdi,1987,29027
bdi,1988,31045
bdi,1989,34899
bdi,1990,38194
bdi,1991,44207
bdi,1992,48398
bdi,1993,55713
bdi,2001,113427
bdi,2002,122469
bdi,2003,129204
bdi,2004,152251
bdi,2005,171110
bdi,2006,192296
bdi,2007,209945
bdi,2009,288956
bdi,2010,337577
bdi,2011,381041
bdi,2012,420117
bdi,2013,490858
bdi,2014,583308
bdi,2015,664243
bdi,2016,723357
bdi,2017,665116
bdi,2018,674855
bdi,2019,650269
bdi,2021,741249
bel,1971,723703
bel,1972,752093
bel,1973,769865
bel,1974,784654
bel,1975,788773
bel,1976,795203
bel,1977,811608
bel,1978,832600
bel,1979,840326
bel,1980,839002
bel,1981,835524
bel,1982,835177
bel,1983,818611
bel,1984,825108
bel,1985,827839
bel,1986,824997
bel,1987,812991
bel,1988,805647
bel,1989,794023
bel,1990,781488
bel,1991,769438
bel,1992,765672
bel,1993,1040586
bel,1994,1053445
bel,1995,1061790
bel,1996,1058998
bel,1999,1033484
bel,2000,1057536
bel,2001,1125256
bel,2002,1149329
bel,2003,1176372
bel,2004,1143982
bel,2005,1200324
bel,2006,1218946
bel,2007,1220793
bel,2008,1221848
bel,2009,1206211
bel,2010,1202775
bel,2011,1190846
bel,2012,1191573
bel,2013,1206574
bel,2014,1210112
bel,2015,1217912
bel,2016,1196383
bel,2017,1186830
bel,2018,1179334
bel,2019,1193795
ben,1971,17889
ben,1972,22132
ben,1973,27992
ben,1974,33397
ben,1975,40088
ben,1976,43123
ben,1977,47370
ben,1978,53519
ben,1979,59461
ben,1980,69982
ben,1981,89969
ben,1982,106908
ben,1983,126485
ben,1984,123884
ben,1985,120582
ben,1986,107172
ben,1987,102171
ben,1999,213474
ben,2000,229228
ben,2001,256744
ben,2002,287292
ben,2003,312427
ben,2004,344890
ben,2011,723727
ben,2013,868990
ben,2014,896763
ben,2015,963787
ben,2016,992999
ben,2020,886445
bfa,1971,10717
bfa,1972,11179
bfa,1973,12132
bfa,1974,14416
bfa,1975,15470
bfa,1976,16227
bfa,1977,18081
bfa,1978,19319
bfa,1979,21018
bfa,1980,25113
bfa,1981,27539
bfa,1982,31398
bfa,1983,32605
bfa,1984,35966
bfa,1985,43843
bfa,1986,53565
bfa,1987,62582
bfa,1988,72207
bfa,1989,84511
bfa,1990,91022
bfa,1991,98929
bfa,1992,105542
bfa,1993,115753
bfa,1994,125191
bfa,1999,173205
bfa,2000,189689
bfa,2001,199278
bfa,2003,236914
bfa,2004,266538
bfa,2005,295412
bfa,2006,319749
bfa,2007,352376
bfa,2008,423543
bfa,2009,467658
bfa,2010,537988
bfa,2011,604168
bfa,2012,676337
bfa,2013,762445
bfa,2014,841886
bfa,2015,965550
bfa,2016,1058163
bfa,2017,1162297
bfa,2018,1281007
bfa,2019,1342143
bfa,2020,1361214
bgd,1973,2265469
bgd,1976,2183413
bgd,1977,2238186
bgd,1979,2349920
bgd,1980,2659208
bgd,1981,2407888
bgd,1983,2959437
bgd,1984,3111267
bgd,1985,3125219
bgd,1986,3136454
bgd,1987,3272858
bgd,1988,3340120
bgd,1989,3406520
bgd,1990,3592995
bgd,1998,9133579
bgd,1999,9912318
bgd,2000,10329065
bgd,2001,10690742
bgd,2002,11024326
bgd,2003,11051234
bgd,2004,10354760
bgd,2005,10109395
bgd,2006,10250862
bgd,2007,10444714
bgd,2008,10036889
bgd,2009,10907065
bgd,2010,11334055
bgd,2011,11542964
bgd,2012,12187154
bgd,2013,13314077
bgd,2015,14566771
bgd,2016,15787818
bgd,2017,15314757
bgd,2018,15869820
bgd,2019,15710974
bgd,2020,15954852
bgr,1971,843894
bgr,1972,845445
bgr,1973,848718
bgr,1974,854039
bgr,1975,856582
bgr,1976,809823
bgr,1977,828214
bgr,1978,809785
bgr,1979,782951
bgr,1980,782819
bgr,1981,785615
bgr,1982,792343
bgr,1983,802465
bgr,1984,809919
bgr,1985,828736
bgr,1986,887929
bgr,1987,907595
bgr,1988,930465
bgr,1989,940260
bgr,1990,910101
bgr,1991,896343
bgr,1992,864882
bgr,1993,822109
bgr,1994,778739
bgr,1995,771800
bgr,1996,756549
bgr,1997,733362
bgr,1998,711634
bgr,1999,699957
bgr,2000,696073
bgr,2001,695474
bgr,2002,693289
bgr,2003,707251
bgr,2004,704678
bgr,2005,685640
bgr,2006,662510
bgr,2007,633343
bgr,2008,593321
bgr,2009,554835
bgr,2010,531980
bgr,2011,523355
bgr,2012,503786
bgr,2013,519569
bgr,2014,518914
bgr,2015,501398
bgr,2016,487087
bgr,2017,485586
bgr,2018,489665
bgr,2019,480957
bhr,1971,13652
bhr,1972,14432
bhr,1973,15423
bhr,1974,16832
bhr,1975,18074
bhr,1976,18617
bhr,1977,19554
bhr,1978,21485
bhr,1979,22853
bhr,1980,24233
bhr,1981,26528
bhr,1982,28710
bhr,1983,33629
bhr,1984,33476
bhr,1985,35901
bhr,1986,38577
bhr,1987,39951
bhr,1988,40540
bhr,1989,41038
bhr,1990,40238
bhr,1991,47005
bhr,1992,48600
bhr,1993,51513
bhr,1994,54193
bhr,1995,56057
bhr,1996,57222
bhr,1997,57184
bhr,1998,58547
bhr,1999,58664
bhr,2000,61058
bhr,2001,62221
bhr,2002,64439
bhr,2003,67160
bhr,2004,69638
bhr,2005,71645
bhr,2006,73767
bhr,2008,77928
bhr,2009,79162
bhr,2010,79919
bhr,2011,81857
bhr,2012,83141
bhr,2013,88866
bhr,2014,90092
bhr,2015,92454
bhr,2016,95666
bhr,2017,97733
bhr,2018,99026
bhr,2019,102003
bhs,1971,21422
bhs,1972,22536
bhs,1973,23317
bhs,1974,26351
bhs,1975,29438
bhs,1976,30610
bhs,1980,30224
bhs,1981,28136
bhs,1982,27731
bhs,1983,27649
bhs,1984,29496
bhs,1985,27147
bhs,1986,27604
bhs,1987,29765
bhs,1990,26835
bhs,1991,26861
bhs,1992,29559
bhs,1993,29863
bhs,1994,28532
bhs,1995,28435
bhs,1997,27970
bhs,1999,26614
bhs,2002,31713
bhs,2004,30857
