geo,time,sl_tlf_basc_ma_zs
afg,2014,58.9
afg,2017,67.44
afg,2020,63.19
ago,2004,78.23
ago,2009,72.92
ago,2011,74.21
ago,2014,47.21
alb,2007,54.07
alb,2008,56.28
alb,2009,59.33
alb,2010,59.89
alb,2011,61.95
alb,2012,59.91
alb,2013,55.52
alb,2014,56.56
alb,2015,57.31
alb,2016,58.94
alb,2017,60.06
alb,2018,30.24
alb,2019,31.13
are,2017,90.67
are,2018,91.07
arg,2004,71.52
arg,2005,71.1
arg,2006,70.09
arg,2008,68.41
arg,2009,68.31
arg,2010,67.61
arg,2011,67.95
arg,2012,67.31
arg,2013,66.12
arg,2014,65.71
arg,2017,63.6
arg,2018,62.85
arg,2019,62.6
arg,2020,57.82
arm,2007,35.17
arm,2008,47.43
arm,2009,40.71
arm,2010,50.17
arm,2011,40.19
arm,2012,36.4
arm,2013,40.4
arm,2014,41.31
arm,2015,49.24
arm,2016,47.52
arm,2017,40.07
arm,2018,44.93
arm,2019,40.05
arm,2020,31.19
aus,2009,75.23
aus,2010,73.71
aus,2011,72.96
aus,2012,73.36
aus,2013,60.54
aus,2014,59.3
aus,2015,57.17
aus,2016,56.6
aus,2017,57.09
aut,1995,60.36
aut,1996,57.53
aut,1997,55.8
aut,1998,50.5
aut,1999,50.62
aut,2000,49.72
aut,2001,47.81
aut,2002,48.91
aut,2003,47.78
aut,2004,44.98
aut,2005,47.27
aut,2006,48.41
aut,2007,49.7
aut,2008,48.76
aut,2009,48.58
aut,2010,47.95
aut,2011,48.94
aut,2012,47.37
aut,2013,46.63
aut,2014,46.75
aut,2015,46.73
aut,2016,48.58
aut,2017,47.7
aut,2018,47.77
aut,2019,47.96
aut,2020,48.65
bdi,2014,38.35
bel,1992,52.85
bel,1993,51.4
bel,1994,51.08
bel,1995,49.8
bel,1996,48.53
bel,1997,48.04
bel,1998,44.96
bel,1999,45.41
bel,2000,45.33
bel,2001,43.45
bel,2002,43.2
bel,2003,42.35
bel,2004,41.79
bel,2005,44
bel,2006,42.88
bel,2007,42
bel,2008,41.37
bel,2009,40.43
bel,2010,41.98
bel,2011,40.56
bel,2012,40.03
bel,2013,39.53
bel,2014,39.22
bel,2015,37.91
bel,2016,36.71
bel,2017,36.71
bel,2018,35.08
bel,2019,35.55
bel,2020,34.29
ben,2011,82.71
ben,2018,80.64
bfa,2014,65.87
bfa,2018,44.58
bgd,2006,91.45
bgd,2010,85.84
bgd,2013,86.15
bgd,2016,82.2
bgd,2017,86.51
bgr,2000,35.38
bgr,2001,34.35
bgr,2002,33.68
bgr,2003,32.84
bgr,2004,32.8
bgr,2005,31.63
bgr,2006,30.34
bgr,2007,29.51
bgr,2008,31.48
bgr,2009,31.33
bgr,2010,31.34
bgr,2011,30.2
bgr,2012,30.5
bgr,2013,32.29
bgr,2014,34.5
bgr,2015,33.38
bgr,2016,32.96
bgr,2017,34.91
bgr,2018,35.86
bgr,2019,38.95
bgr,2020,36.37
bih,2006,69.44
bih,2007,39.18
bih,2008,43.53
bih,2009,41.78
bih,2010,40.69
bih,2011,39.03
bih,2012,38.34
bih,2013,37.61
bih,2014,34.59
bih,2015,36
bih,2016,34.25
bih,2017,31.3
bih,2018,31.13
bih,2019,29.86
bih,2020,34.1
blr,2020,22.17
blz,2012,81.45
blz,2013,76.33
blz,2014,77.24
blz,2015,76.46
blz,2016,76.16
blz,2017,76.23
blz,2019,78.88
bol,1999,76.88
bol,2000,78.88
bol,2001,82.66
bol,2002,80.35
bol,2004,91.4
bol,2005,71.36
bol,2006,75.09
bol,2007,75.35
bol,2008,74.75
bol,2009,73.69
bol,2011,78.82
bol,2012,71.98
bol,2013,72.93
bol,2014,77.54
bol,2015,73.83
bol,2016,71.6
bol,2017,72.81
bol,2018,76.66
bol,2019,75.18
bol,2020,74.53
bra,1995,83.9
bra,1996,81.24
bra,1997,82.12
bra,1998,81.27
bra,1999,81.43
bra,2001,80.06
bra,2002,79.91
bra,2003,79.5
bra,2004,79.88
bra,2005,79.81
bra,2006,79.12
bra,2007,78.32
bra,2008,78
bra,2009,77.69
bra,2011,75.57
bra,2012,84.54
bra,2013,84.28
bra,2014,83.61
bra,2015,78.31
bra,2016,63.18
bra,2017,62.84
bra,2018,62.09
bra,2019,61.62
bra,2020,55.75
brb,2015,62.74
brb,2016,65.34
brb,2017,62.9
brb,2018,62.16
brb,2019,60.36
brn,2014,68.39
brn,2017,62.94
brn,2018,68.75
brn,2019,66.3
btn,2009,65.39
btn,2010,70.19
btn,2014,72.08
btn,2015,68.1
bwa,2006,75.35
bwa,2009,67.49
bwa,2010,64.01
bwa,2019,59.93
bwa,2020,60.74
can,1990,69.93
can,1991,67.55
can,1992,65.34
can,1993,63.84
can,1994,64.52
can,1995,62.61
can,1996,61.83
can,1997,61.1
can,1998,59.91
can,1999,60.89
can,2000,60.5
can,2001,59.49
can,2002,60.87
can,2003,61.05
can,2004,59.9
can,2005,59.2
can,2006,58.3
can,2007,58.56
can,2008,59.08
can,2009,56.45
can,2010,54.8
can,2011,54.72
can,2012,54.18
can,2013,53.73
can,2014,52.57
can,2015,51.93
can,2016,51.32
can,2017,51.3
can,2018,50.18
can,2019,50.3
can,2020,47.82
can,2021,48.17
che,1996,70.56
che,1997,70.86
che,1998,65.6
che,1999,65.75
che,2000,63.99
che,2001,63.86
che,2002,63.74
che,2003,64.4
che,2004,62.24
che,2005,60.64
che,2006,59.68
che,2007,61.03
che,2008,60.67
che,2009,60.47
che,2010,61.27
che,2011,62.23
che,2012,61.51
che,2013,62.34
che,2014,63.23
che,2015,63.12
che,2016,63.01
che,2017,63.36
che,2018,63.29
che,2019,62.99
che,2020,62.69
chl,1998,68.74
chl,2000,67.09
chl,2003,66.12
chl,2006,64.5
chl,2009,62.11
chl,2010,64.63
chl,2011,65.13
chl,2012,63.7
chl,2013,63.32
chl,2014,62.77
chl,2015,61.95
chl,2016,61.28
chl,2017,61.2
chl,2018,60.28
chl,2019,59.79
chl,2020,54.31
civ,2012,69.16
civ,2013,71.06
civ,2016,60.08
civ,2017,77.45
cmr,2007,81.87
cmr,2014,80.86
cod,2005,69.58
cod,2012,73.93
cog,2005,64.81
cog,2009,44.87
col,2002,78.3
col,2003,78.13
col,2004,76.47
col,2005,76.08
col,2007,78.21
col,2008,77.86
col,2009,79.99
col,2010,80.13
col,2011,80.15
col,2012,80.2
col,2013,79.47
col,2014,79.22
col,2015,78.89
col,2016,77.98
col,2017,77.97
col,2018,77.7
col,2019,76.28
com,2004,55.19
com,2014,38.55
cpv,2015,70.91
cpv,2017,72.9
cpv,2018,68.6
cpv,2019,69.15
cri,2001,80.15
cri,2002,79.93
cri,2003,80.21
cri,2004,78.94
cri,2005,79.72
cri,2006,79
cri,2007,79.98
cri,2008,78.77
cri,2009,77.82
cri,2010,75.32
cri,2011,73.26
cri,2012,76
cri,2013,74.49
cri,2014,74.76
cri,2015,74.45
cri,2016,71.83
cri,2017,72.31
cri,2018,75.18
cri,2019,73.84
cri,2020,69.99
cub,2009,55.98
cub,2010,54.56
cym,2011,68.94
cym,2012,74.27
cym,2014,63.71
cym,2015,64.8
cyp,2000,58.31
cyp,2001,60.6
cyp,2002,60.21
cyp,2003,61.8
cyp,2004,62.57
cyp,2005,61.34
cyp,2006,59.03
cyp,2007,59.03
cyp,2008,57.4
cyp,2009,55.93
cyp,2010,54.83
cyp,2011,53.39
cyp,2012,49.85
cyp,2013,48.3
cyp,2014,49.13
cyp,2015,45.99
cyp,2016,46.75
cyp,2017,43.39
cyp,2018,44.28
cyp,2019,47.18
cyp,2020,47.56
cze,1998,34.43
cze,1999,34.14
cze,2000,32.08
cze,2001,31.41
cze,2002,27.35
cze,2003,26.02
cze,2004,25.61
cze,2005,25.41
cze,2006,26.77
cze,2007,27.06
cze,2008,26.11
cze,2009,27.19
cze,2010,26.52
cze,2011,25.39
cze,2012,26.84
cze,2013,27.91
cze,2014,28.1
cze,2015,27.83
cze,2016,28.51
cze,2017,28.45
cze,2018,28.4
cze,2019,29.52
cze,2020,30.87
deu,1992,60.63
deu,1993,62.35
deu,1994,60.93
deu,1995,58.64
deu,1996,54.86
deu,1997,54.35
deu,1999,64.59
deu,2000,64.29
deu,2001,51.24
deu,2002,50.74
deu,2003,50.07
deu,2004,49.09
deu,2005,50.98
deu,2006,52.08
deu,2007,51.47
deu,2008,51.8
deu,2009,51.75
deu,2010,51.09
deu,2011,57.46
deu,2012,57.22
deu,2013,57.42
deu,2014,50.47
deu,2015,49.94
deu,2016,50.45
deu,2017,51.11
deu,2018,51.97
deu,2019,53.22
deu,2020,52.8
dji,2017,37.71
dnk,1992,63.5
dnk,1993,58.34
dnk,1994,58.59
dnk,1995,59.38
dnk,1996,63.89
dnk,1997,58.54
dnk,1998,50.33
dnk,1999,71.34
dnk,2000,58.09
dnk,2001,55.56
dnk,2002,56.85
dnk,2003,59.07
dnk,2004,57.76
dnk,2005,58.63
dnk,2006,57.63
dnk,2007,61.63
dnk,2008,60.53
dnk,2009,58.35
dnk,2010,56.21
dnk,2011,54.6
dnk,2012,52.43
dnk,2013,50.54
dnk,2014,51.29
dnk,2015,50.79
dnk,2016,50.69
dnk,2017,51.33
dnk,2018,50.26
dnk,2019,51.22
dnk,2020,51.14
dom,2000,75.25
dom,2001,73.18
dom,2002,70.91
dom,2003,70.33
dom,2004,71.1
dom,2005,70.39
dom,2006,71.41
dom,2007,71.1
dom,2008,69.12
dom,2009,67.83
dom,2010,68.1
dom,2011,69.2
dom,2012,69.83
dom,2013,68.96
dom,2014,70.33
dom,2015,73.34
dom,2016,72.31
dom,2017,71.81
dom,2018,73.31
dom,2019,73.27
dom,2020,70.27
dza,2017,73.96
ecu,2000,87.68
ecu,2001,89.73
ecu,2003,82.08
ecu,2004,83.06
ecu,2005,82.91
ecu,2006,84.78
ecu,2007,80.16
ecu,2008,79.8
ecu,2009,76.93
ecu,2010,75.74
ecu,2011,74.05
ecu,2012,74.38
ecu,2013,73.43
ecu,2014,74.85
ecu,2015,76.44
ecu,2016,77
ecu,2017,76.78
ecu,2018,75.07
ecu,2019,74.18
egy,2008,40.45
egy,2009,42.64
egy,2010,46.4
egy,2011,43.76
egy,2012,44.63
egy,2013,44.56
egy,2014,45.06
egy,2015,44.83
egy,2016,40.56
egy,2017,38.13
egy,2018,46.2
egy,2019,59.56
egy,2020,48.45
esp,1992,68.4
esp,1993,67.55
esp,1994,66.52
esp,1995,65.39
esp,1996,65.19
esp,1997,65.28
esp,1998,61.5
esp,1999,60.84
esp,2000,60.83
esp,2001,61.26
esp,2002,60.05
esp,2003,62.02
esp,2004,61.68
esp,2005,61.25
esp,2006,61.22
esp,2007,61.06
esp,2008,61.28
esp,2009,60.29
esp,2010,59.55
esp,2011,58.61
esp,2012,57.54
esp,2013,56.76
esp,2014,60.36
esp,2015,60.15
esp,2016,59.47
esp,2017,58.48
esp,2018,57.55
esp,2019,56.27
esp,2020,54.42
est,1997,42.3
est,1998,41.4
est,1999,39.97
est,2000,36.2
est,2001,37.6
est,2002,34.39
est,2003,39.36
est,2004,41.09
est,2005,35.9
est,2006,41.39
est,2007,41.96
est,2008,41.94
est,2009,41.42
est,2010,40.85
est,2011,45.3
est,2012,44.49
est,2013,44.46
est,2014,48.11
est,2015,46.3
est,2016,49.51
est,2017,52.4
est,2018,51.11
est,2019,46.51
est,2020,46.65
eth,1999,74.14
eth,2005,85.6
eth,2013,85.76
fin,1995,50.42
fin,1996,50.03
fin,1997,48.91
fin,1998,49.41
fin,1999,58.6
fin,2000,58.2
fin,2001,47.31
fin,2002,47.11
fin,2003,45.73
fin,2004,43.5
fin,2005,40.94
fin,2006,40.94
fin,2007,40.34
fin,2008,40.36
fin,2009,37.96
fin,2010,37.75
fin,2011,37.91
fin,2012,35.78
fin,2013,35.06
fin,2014,35.14
fin,2015,33.75
fin,2016,33.48
fin,2017,34.75
fin,2018,34.7
fin,2019,33.92
fin,2020,32.84
fji,2005,80.16
fji,2011,79.26
fji,2014,78.32
fji,2016,75.47
fra,1993,53.59
fra,1994,52.8
fra,1995,52.03
fra,1996,52.99
fra,1997,51.97
fra,1998,46.21
fra,1999,46.11
fra,2000,45.4
fra,2001,44.75
fra,2002,44.73
fra,2003,45.36
fra,2004,44.89
fra,2005,44.18
fra,2006,43.84
fra,2007,43.56
fra,2008,43.21
fra,2009,43.33
fra,2010,43.17
fra,2011,42.68
fra,2012,42.7
fra,2013,40.75
fra,2014,38.92
fra,2015,37.91
fra,2016,37.49
fra,2017,37.61
fra,2018,36.87
fra,2019,36.02
fra,2020,35.4
fsm,2014,70.82
gbr,1992,80.19
gbr,1993,78.44
gbr,1994,77.78
gbr,1995,76.82
gbr,1996,76.16
gbr,1997,75.98
gbr,1999,76.52
gbr,2000,76.82
gbr,2001,75.71
gbr,2002,74.82
gbr,2003,75.67
gbr,2004,74.27
gbr,2005,74.84
gbr,2006,74.69
gbr,2007,74.78
gbr,2008,69.87
gbr,2009,69.07
gbr,2010,67.71
gbr,2011,70.39
gbr,2012,68.02
gbr,2013,68.07
gbr,2014,67.52
gbr,2015,67.09
gbr,2016,68.23
gbr,2017,68.32
gbr,2018,69.38
gbr,2019,68.94
geo,2009,78.9
geo,2010,78.68
geo,2011,40.79
geo,2012,39.74
geo,2013,40.95
geo,2014,40.16
geo,2015,39.96
geo,2016,44.36
geo,2017,42.66
geo,2018,41.85
geo,2019,42.39
geo,2020,30.2
gha,1991,74.36
gha,2000,71.26
gha,2006,69.89
gha,2010,68.69
gha,2013,78.61
gha,2015,75.31
gha,2017,62.33
gin,2002,37.38
gin,2019,49.3
gmb,2012,57.4
gmb,2018,42.12
gnb,2018,57.64
grc,1992,65.2
grc,1993,64.29
grc,1994,63.84
grc,1995,63.54
grc,1996,62.87
grc,1997,61.22
grc,1998,56.52
grc,1999,54.59
grc,2000,54.46
grc,2001,53.74
grc,2002,53.03
grc,2003,54.14
grc,2004,52.29
grc,2005,52.05
grc,2006,53.6
grc,2007,53.18
grc,2008,55.35
grc,2009,55.44
grc,2010,53.68
grc,2011,51.02
grc,2012,49.15
grc,2013,47.88
grc,2014,46.34
grc,2015,45.29
grc,2016,44.28
grc,2017,43.16
grc,2018,41.99
grc,2019,39.06
grc,2020,36.83
gtm,2003,83.61
gtm,2004,83.8
gtm,2006,83.13
gtm,2010,79.83
gtm,2011,80.53
gtm,2012,84.48
gtm,2013,76.84
gtm,2014,79.43
gtm,2015,80.44
gtm,2016,80.4
gtm,2017,82.46
gtm,2018,82.33
gtm,2019,80.96
guy,2018,72.04
guy,2019,68.8
hkg,2009,61.59
hkg,2010,56.8
hkg,2011,55.87
hkg,2012,55.84
hkg,2013,56.72
hkg,2014,55.71
hkg,2015,54.07
hkg,2016,53.82
hkg,2017,53.01
hkg,2018,52.89
hkg,2019,51.07
hkg,2020,49.58
hnd,2005,79.19
hnd,2006,79.31
hnd,2007,78.34
hnd,2008,79.46
hnd,2009,80.25
hnd,2010,79.48
hnd,2011,78.42
hnd,2012,77.37
hnd,2013,82.14
hnd,2014,83.61
hnd,2015,82.58
hnd,2016,82.34
hnd,2017,83.66
hnd,2018,84.2
hnd,2019,84.7
hrv,2002,40.17
hrv,2003,39.98
hrv,2004,41.45
hrv,2005,36.3
hrv,2006,34.21
hrv,2007,37.3
hrv,2008,38.07
hrv,2009,38.26
hrv,2010,38.21
hrv,2011,37.66
hrv,2012,33.63
hrv,2013,33.03
hrv,2014,30.08
hrv,2015,30.01
hrv,2016,29.34
hrv,2017,26.94
hrv,2018,24.88
hrv,2019,25.06
hrv,2020,24.98
hti,2012,65.88
hun,1997,32.18
hun,1998,31.56
hun,1999,31.22
hun,2000,31.18
hun,2001,30.37
hun,2002,29.38
hun,2003,29.85
hun,2004,28.68
hun,2005,29.72
hun,2006,29.89
hun,2007,30.09
hun,2008,30.72
hun,2009,30.29
hun,2010,31.15
hun,2011,31.73
hun,2012,33.18
hun,2013,33.96
hun,2014,31.52
hun,2015,34.6
hun,2016,36.43
hun,2017,36.96
hun,2018,38.09
hun,2019,38.14
hun,2020,37.97
idn,1990,79.48
idn,1991,80.29
idn,1992,79.92
idn,1993,79.62
idn,1994,81.35
idn,1996,81.15
idn,1997,80.39
idn,1998,80.47
idn,1999,81.36
idn,2000,81.97
idn,2001,84.37
idn,2002,82.22
idn,2003,83.62
idn,2004,83.82
idn,2005,81.24
idn,2006,80.91
idn,2007,82.01
idn,2008,80.6
idn,2009,79.79
idn,2010,79.07
idn,2011,79.67
idn,2012,80.22
idn,2013,79.26
idn,2014,79
idn,2015,78.67
idn,2016,77.58
idn,2017,77.17
idn,2018,78.22
idn,2019,78.75
idn,2020,78.25
ind,1994,78.31
ind,2000,78.43
ind,2005,79.73
ind,2010,78.25
ind,2012,76.55
ind,2018,74.78
ind,2019,74.91
ind,2020,75.89
irl,1992,65.71
irl,1993,64.49
irl,1994,64.48
irl,1995,62.83
irl,1996,62.94
irl,1997,62.66
irl,1999,67.47
irl,2000,63.73
irl,2001,67.05
irl,2002,56.61
