global,time,se_ter_enrr
world,1970,10.06562
world,1971,9.93197
world,1972,10.12741
world,1973,10.35441
world,1974,10.67475
world,1975,11.16437
world,1976,11.67563
world,1977,11.75895
world,1978,12.047
world,1979,12.20551
world,1980,12.39039
world,1981,12.65999
world,1982,12.83417
world,1983,13.02067
world,1984,13.35845
world,1985,13.41694
world,1986,13.31228
world,1987,13.42113
world,1988,13.28587
world,1989,13.41239
world,1990,13.62078
world,1991,13.80296
world,1992,14.04697
world,1993,14.4191
world,1994,14.94984
world,1995,15.53932
world,1996,16.11398
world,1997,16.87928
world,1998,17.33343
world,1999,18.3915
world,2000,19.07762
world,2001,20.31008
world,2002,21.67291
world,2003,22.82068
world,2004,23.67964
world,2005,24.33853
world,2006,25.18876
world,2007,26.04674
world,2008,27.05836
world,2009,28.13271
world,2010,29.39562
world,2011,31.18902
world,2012,32.54989
world,2013,33.44695
world,2014,35.79353
world,2015,36.87249
world,2016,37.40452
world,2017,37.85279
world,2018,38.42632
world,2019,39.41299
world,2020,40.24406
