geo,time,sh_sta_owgh_fe_zs
afg,2004,2.6
afg,2013,5.8
afg,2018,4.2
ago,1996,1.3
ago,2015,3.6
alb,2000,30.7
alb,2005,25.2
alb,2009,23.3
alb,2017,15.4
arg,2005,9.5
arg,2019,14.1
arm,1998,11.4
arm,2000,10.7
arm,2005,9
arm,2010,14.4
arm,2016,12.7
aze,2000,5.7
aze,2006,12.7
aze,2011,9.3
aze,2013,12.8
bdi,2000,1.3
bdi,2010,2.7
bdi,2016,1.2
bdi,2018,1.6
bdi,2019,2.6
bel,2014,5.4
ben,2001,2.7
ben,2008,1.4
ben,2014,1.3
ben,2018,1.9
bfa,1993,2.8
bfa,1999,1.6
bfa,2010,2.9
bfa,2011,0.6
bfa,2012,0.4
bfa,2013,0.6
bfa,2014,1
bfa,2015,0.8
bfa,2016,1.3
bfa,2017,1.3
bfa,2018,1
bfa,2019,1.7
bgd,1997,2.6
bgd,2000,0.8
bgd,2004,1.1
bgd,2007,1
bgd,2011,2.1
bgd,2013,2
bgd,2014,1.5
bgd,2018,1.8
bgd,2019,2.3
bgr,2007,6.1
bgr,2014,4.1
bih,2000,15.9
bih,2006,24
bih,2012,18
blr,2005,8.1
blz,2006,11.8
blz,2011,7.1
blz,2015,6.5
bol,1998,9.9
bol,2003,9.3
bol,2008,8.1
bol,2012,6.8
bol,2016,9.2
bra,1989,6.9
bra,1996,5.3
bra,2007,6.8
brb,2012,13.3
brn,2009,7.8
btn,1999,3.3
btn,2008,4.9
btn,2010,7.6
bwa,2000,10.1
bwa,2007,10.3
caf,2000,11
caf,2006,9
caf,2010,1.7
caf,2012,1.8
caf,2014,1.9
caf,2018,0.7
caf,2019,1.5
chl,2008,9.1
chl,2013,9.5
chl,2014,8.7
chn,1990,5.4
chn,1992,6.9
chn,1995,13.8
chn,1998,4.8
chn,2000,2.8
chn,2002,8.2
chn,2005,5.2
chn,2010,5.6
civ,1986,5.8
civ,1998,4
civ,2007,4.9
civ,2012,3
civ,2016,1.1
cmr,1991,3.4
cmr,2004,7.2
cmr,2006,10.8
cmr,2011,5.3
cmr,2014,6.2
cmr,2018,9.7
cod,2001,6.6
cod,2007,7.4
cod,2010,4.7
cod,2013,4.4
cod,2017,3.8
cog,2005,8.6
cog,2011,3.5
cog,2014,7
col,1995,4.1
col,2000,4.3
col,2005,4.1
col,2010,4.2
col,2016,4.7
com,2000,22.2
com,2012,10
cri,2008,7.9
cri,2018,6.9
cub,2019,8.7
cze,2001,4.1
deu,2004,3.3
deu,2016,5.9
dji,2002,8.8
dji,2012,8.5
dom,1991,4.4
dom,1996,6.2
dom,2000,7.1
dom,2002,8.1
dom,2006,5.4
dom,2007,7.5
dom,2013,7.3
dza,1992,8.4
dza,1995,12.5
dza,2000,15.4
dza,2002,14.6
dza,2006,12.4
dza,2012,12
dza,2019,12.1
ecu,1999,2
ecu,2004,4.9
ecu,2006,5
ecu,2012,7.1
ecu,2014,7.6
ecu,2019,11.7
egy,1991,13.8
egy,1992,13.7
egy,1995,14.5
egy,2003,9.4
egy,2005,13.8
egy,2008,21.2
egy,2014,15
eri,2002,1.4
eri,2010,2.3
est,2014,4.1
eth,2000,2
eth,2005,4.4
eth,2011,2.1
eth,2014,3.4
eth,2016,2.8
eth,2019,2.2
fji,2004,4.8
gab,2000,5.1
gab,2012,6.2
geo,2005,20.5
geo,2009,18.1
geo,2018,4.8
gha,1997,1.6
gha,1998,2.5
gha,2003,3.6
gha,2006,2.6
gha,2008,5.9
gha,2011,2.5
gha,2014,1.6
gha,2017,1.3
gin,1999,4.2
gin,2005,5.1
gin,2007,6.2
gin,2012,3
gin,2016,3.4
gin,2018,5.6
gmb,2000,3
gmb,2006,2.5
gmb,2010,1.5
gmb,2012,1.6
gmb,2013,3.3
gmb,2018,2.1
gmb,2020,2.3
gnb,2000,4.8
gnb,2010,2.5
gnb,2012,1.8
gnb,2014,1.9
gnb,2019,1.3
gnq,1997,1.5
gnq,2000,13.6
gnq,2004,4
gnq,2011,7.9
grc,2003,13.9
gtm,1995,5.6
gtm,1999,6.2
gtm,2000,6.2
gtm,2002,4.3
gtm,2009,4.5
gtm,2015,4.8
guy,1993,1.7
guy,2000,5.6
guy,2006,7.3
guy,2009,8.5
guy,2014,4.8
hnd,1991,2.6
hnd,2001,2.7
hnd,2006,5.2
hnd,2012,4.8
hti,1994,4.8
hti,2000,2.3
hti,2006,3.5
hti,2012,3.1
hti,2017,2.8
idn,2000,1.3
idn,2001,1.3
idn,2004,4.8
idn,2007,11.2
idn,2010,13
idn,2013,11.3
idn,2018,7.7
ind,2006,1.7
ind,2015,2.4
ind,2017,1.5
irq,2000,5.4
irq,2006,14.3
irq,2011,10.8
irq,2018,5.7
jam,1989,2.4
jam,1991,2.3
jam,1992,2.7
jam,1994,5.7
jam,1995,4.1
jam,1996,4.1
jam,1997,4.7
jam,1998,4.7
jam,1999,5.5
jam,2000,4.8
jam,2001,4.2
jam,2002,8.3
jam,2004,7.2
jam,2006,3.2
jam,2007,9.7
jam,2008,7.6
jam,2010,4.8
jam,2012,10
jam,2014,9
jam,2016,6.6
jor,1990,7.5
jor,1997,3.7
jor,2002,4.3
jor,2009,5.2
jor,2012,3.8
jpn,2010,1.1
kaz,1999,3.2
kaz,2006,16.2
kaz,2010,11.8
kaz,2015,10
ken,1993,5.9
ken,1994,5.5
ken,2000,8.5
ken,2003,5.6
ken,2005,8.6
ken,2008,5.3
ken,2014,3.5
kgz,2006,8.6
kgz,2012,8.1
kgz,2014,6.1
kgz,2018,7.1
khm,1996,7.7
khm,2000,3.9
khm,2005,1.2
khm,2008,2.1
khm,2010,1.9
khm,2014,1.8
kir,2018,0.9
kor,2003,4.2
kwt,2001,11
kwt,2002,6.4
kwt,2003,6
kwt,2004,6.3
kwt,2005,7.1
kwt,2006,8.4
kwt,2007,9.2
kwt,2008,9.5
kwt,2009,8
kwt,2010,7.9
kwt,2011,8
kwt,2012,8.9
kwt,2013,7.6
kwt,2014,8.6
lao,2000,2.9
lao,2006,1
lao,2011,2.1
lao,2015,2.3
lao,2017,3.1
lbn,1996,20.2
lbn,2004,18
lbr,2000,4.6
lbr,2007,3.5
lbr,2010,2.7
lbr,2013,3.3
lbr,2016,1.9
lbr,2019,4.2
lby,1995,12.9
lby,2007,21.6
lby,2014,29.1
lca,2012,3.8
lka,1993,0.6
lka,2000,1.4
lka,2007,1.6
lka,2009,1
lka,2012,0.4
lka,2016,1.8
lso,2004,6.3
lso,2009,7
lso,2014,6.9
lso,2018,5.8
mar,1987,5.4
mar,1992,10.6
mar,1997,11.9
mar,2003,12.4
mar,2011,8.9
mar,2017,9.3
mda,2005,8.9
mda,2012,3.7
mdg,1992,1.5
mdg,2004,6.1
mdg,2012,1.1
mdg,2018,1.2
mdv,1994,1
mdv,2001,4.2
mdv,2009,6
mdv,2017,3
mex,1988,5.5
mex,1998,7.4
mex,2006,6.6
mex,2012,9
mex,2015,5.3
mex,2016,5.3
mex,2019,6.2
mhl,2017,3.2
mkd,1999,8.8
mkd,2005,15.8
mkd,2011,11.4
mkd,2019,9
mli,2001,2.9
mli,2006,4.5
mli,2010,0.8
mli,2011,0.6
mli,2014,0.9
mli,2015,1.9
mli,2016,0.4
mli,2017,1.4
mli,2018,1.8
mli,2019,0.6
mmr,2000,2.6
mmr,2003,6.8
mmr,2009,2.6
mmr,2016,1.1
mmr,2018,0.5
mne,2005,12.8
mne,2013,19.6
mne,2018,8
mng,1999,5.7
mng,2000,12.2
mng,2004,6
mng,2005,12.6
mng,2010,9.8
mng,2013,10
mng,2016,10.4
mng,2018,9.8
moz,2001,8.4
moz,2003,5.4
moz,2008,3.2
moz,2011,7.6
moz,2015,6.4
mrt,2000,3.7
mrt,2007,2.2
mrt,2008,0.6
mrt,2011,3.5
mrt,2012,1.2
mrt,2015,1.4
mrt,2018,1.6
mwi,1992,9.4
mwi,1998,18.1
mwi,2000,7.9
mwi,2002,9
mwi,2004,9.9
mwi,2006,10.7
mwi,2009,3.7
mwi,2010,8
mwi,2014,4.5
mwi,2015,3.3
mwi,2016,1.4
mwi,2017,0.9
mwi,2018,2.4
mwi,2019,3.6
mys,2006,5.5
mys,2015,6.5
mys,2016,6.6
mys,2019,4.6
nam,1992,3.9
