geo,time,fx_own_totl_so_zs
afg,2011,29.97042
afg,2014,22.60093
afg,2017,30.55885
ago,2011,44.34687
ago,2014,70.25464
alb,2011,36.24445
alb,2014,56.21789
alb,2017,55.82902
are,2011,61.33257
are,2014,84.64912
are,2017,88.87637
arg,2011,36.86528
arg,2014,48.90295
arg,2017,52.27819
arm,2011,20.30664
arm,2014,20.54506
arm,2017,47.44179
aus,2011,99.15609
aus,2014,99.1179
aus,2017,99.67117
aut,2011,98.34378
aut,2014,96.87563
aut,2017,98.5471
aze,2011,16.90973
aze,2014,31.65081
aze,2017,29.904
bdi,2011,29.37618
bdi,2014,28.94537
bel,2011,98.63459
bel,2014,97.84509
bel,2017,98.8398
ben,2011,19.93125
ben,2014,31.97303
ben,2017,55.67043
bfa,2011,35.0653
bfa,2014,37.87276
bfa,2017,63.38873
bgd,2011,42.50516
bgd,2014,37.20673
bgd,2017,57.23129
bgr,2011,68.09436
bgr,2014,76.84514
bgr,2017,84.53192
bhr,2011,65.60239
bhr,2014,81.98063
bhr,2017,83.50649
bih,2011,67.85105
bih,2014,63.01554
bih,2017,69.25803
blr,2011,67.39015
blr,2014,78.87399
blr,2017,89.44199
blz,2014,50.80902
bol,2011,34.34444
bol,2014,48.16039
bol,2017,60.68768
bra,2011,63.83004
bra,2014,74.78528
bra,2017,74.38775
btn,2014,46.38432
bwa,2011,39.10949
bwa,2014,61.72503
bwa,2017,59.88373
caf,2011,13.27753
caf,2017,28.64535
can,2011,97.9657
can,2014,99.57382
can,2017,99.86519
che,2014,98.93876
che,2017,99.32391
chl,2011,51.08189
chl,2014,71.30997
chl,2017,80.92382
chn,2011,81.87264
chn,2014,89.51853
chn,2017,94.61382
civ,2014,47.7121
civ,2017,60.3151
cmr,2011,17.44453
cmr,2014,21.72764
cmr,2017,46.46651
cod,2011,5.95685
cod,2014,23.38075
cod,2017,29.9145
cog,2011,12.85329
cog,2014,23.3453
cog,2017,33.50706
col,2011,35.02748
col,2014,46.13237
col,2017,53.33713
com,2011,31.95783
cri,2011,59.48167
cri,2014,73.35622
cri,2017,73.26147
cyp,2011,91.59093
cyp,2014,91.83067
cyp,2017,91.31889
cze,2011,90.15546
cze,2014,89.30939
cze,2017,91.21737
deu,2011,98.61967
deu,2014,98.79655
deu,2017,99.29906
dji,2011,21.53673
dnk,2011,99.71912
dnk,2014,100
dnk,2017,99.90965
dom,2011,62.31946
dom,2014,72.81782
dom,2017,72.532
dza,2011,40.27552
dza,2014,55.32005
dza,2017,48.95937
ecu,2011,41.30429
ecu,2014,51.30964
ecu,2017,55.0055
egy,2011,13.39169
egy,2014,18.8579
egy,2017,33.3985
esp,2011,95.16329
esp,2014,98.09335
esp,2017,95.84022
est,2011,98.97038
est,2014,99.59729
est,2017,99.0482
eth,2014,37.20362
eth,2017,65.04379
fin,2011,99.85738
fin,2014,100
