geo,time,sh_sta_brtw_zs
ago,2000,18.04396
ago,2001,17.90875
ago,2002,17.68943
ago,2003,17.52718
ago,2004,17.32111
ago,2005,17.1174
ago,2006,16.90187
ago,2007,16.69951
ago,2008,16.47867
ago,2009,16.28517
ago,2010,16.09488
ago,2011,15.93923
ago,2012,15.76963
ago,2013,15.59667
ago,2014,15.43082
ago,2015,15.25659
alb,2000,4.86557
alb,2001,4.84667
alb,2002,4.82615
alb,2003,4.80555
alb,2004,4.78131
alb,2005,4.75819
alb,2006,4.73403
alb,2007,4.71288
alb,2008,4.69321
alb,2009,4.67576
alb,2010,4.6573
alb,2011,4.64112
alb,2012,4.62757
alb,2013,4.61461
alb,2014,4.59988
alb,2015,4.58783
and,2000,7.52687
and,2001,7.50879
and,2002,7.49482
and,2003,7.4825
and,2004,7.47039
and,2005,7.45946
and,2006,7.44937
and,2007,7.44243
and,2008,7.44032
and,2009,7.4414
and,2010,7.44422
and,2011,7.4478
and,2012,7.45284
and,2013,7.45382
and,2014,7.4509
and,2015,7.44541
are,2000,13.01215
are,2001,12.98064
are,2002,12.95773
are,2003,12.93434
are,2004,12.91271
are,2005,12.88331
are,2006,12.86083
are,2007,12.84789
are,2008,12.82727
are,2009,12.81017
are,2010,12.78529
are,2011,12.76624
are,2012,12.74362
are,2013,12.72105
are,2014,12.69877
are,2015,12.68004
arg,2000,7.37441
arg,2001,7.47595
arg,2002,7.52998
arg,2003,7.54406
arg,2004,7.52575
arg,2005,7.48258
arg,2006,7.42214
arg,2007,7.35195
arg,2008,7.2796
arg,2009,7.21261
arg,2010,7.15857
arg,2011,7.12501
arg,2012,7.11949
arg,2013,7.14958
arg,2014,7.22281
arg,2015,7.34676
arm,2000,8.15567
arm,2001,7.99488
arm,2002,7.84479
arm,2003,7.71006
arm,2004,7.59531
arm,2005,7.50519
arm,2006,7.44433
arm,2007,7.41739
arm,2008,7.42899
arm,2009,7.48376
arm,2010,7.58636
arm,2011,7.74142
arm,2012,7.95359
arm,2013,8.22751
arm,2014,8.56779
arm,2015,8.9791
atg,2000,9.44771
atg,2001,9.40753
atg,2002,9.37031
atg,2003,9.33243
atg,2004,9.29843
atg,2005,9.26708
atg,2006,9.23727
atg,2007,9.21251
atg,2008,9.18432
atg,2009,9.16106
atg,2010,9.13934
atg,2011,9.12461
atg,2012,9.1037
atg,2013,9.08496
atg,2014,9.06896
atg,2015,9.05412
aus,2000,6.28821
aus,2001,6.33647
aus,2002,6.36006
aus,2003,6.3636
aus,2004,6.35169
aus,2005,6.32894
aus,2006,6.29996
aus,2007,6.26937
aus,2008,6.24177
aus,2009,6.22176
aus,2010,6.21397
aus,2011,6.22299
aus,2012,6.25344
aus,2013,6.30994
aus,2014,6.39707
aus,2015,6.51946
aut,2000,6.3717
