geo,time,dt_nfl_mibr_cd
ago,2015,450000000
ago,2016,0
ago,2017,14640000
ago,2018,31744000
ago,2019,612571000
ago,2020,118503000
alb,2007,5427000
alb,2008,11736000
alb,2009,6874000
alb,2010,3107000
alb,2011,27640000
alb,2012,7760000
alb,2013,4826000
alb,2014,232490000
alb,2015,21426000
alb,2016,34240000
alb,2017,262687000
alb,2018,81535000
alb,2019,90180000
alb,2020,52387000
arg,1970,27096000
arg,1971,37342000
arg,1972,37455000
arg,1973,46030000
arg,1974,65252000
arg,1975,1301000
arg,1976,1269000
arg,1977,361000
arg,1978,8877000
arg,1979,15251000
arg,1980,36691000
arg,1981,73689000
arg,1982,26275000
arg,1983,29799000
arg,1984,19432000
arg,1985,75097000
arg,1986,273259000
arg,1987,661684000
arg,1988,298902000
arg,1989,95645000
arg,1990,171676000
arg,1991,109131000
arg,1992,-211373000
arg,1993,1172817000
arg,1994,122676000
arg,1995,682402000
arg,1996,794775000
arg,1997,497832000
arg,1998,1678358000
arg,1999,1127878000
arg,2000,480708000
arg,2001,653301000
arg,2002,-928290000
arg,2003,-1005171000
arg,2004,-61027000
arg,2005,-566378000
arg,2006,-674600000
arg,2007,-531603000
arg,2008,-604636000
arg,2009,235604000
arg,2010,46158000
arg,2011,210658000
arg,2012,67999000
arg,2013,490702000
arg,2014,-93524000
arg,2015,-142008000
arg,2016,198157000
arg,2017,238743000
arg,2018,556697000
arg,2019,249406000
arg,2020,593717000
arm,1993,506000
arm,1994,1017000
arm,1995,3351000
arm,1996,5448000
arm,1997,928000
arm,1998,-169000
arm,1999,-380000
arm,2000,-392000
arm,2001,-419000
arm,2002,-445000
arm,2003,-513000
arm,2004,-586000
arm,2005,-646000
arm,2006,-663000
arm,2007,-742000
arm,2008,-855000
arm,2009,48565000
arm,2010,52360000
arm,2011,44944000
arm,2012,85108000
arm,2013,75042000
arm,2014,100021000
arm,2015,100044000
arm,2016,132414000
arm,2017,32882000
arm,2018,49117000
arm,2019,84820000
arm,2020,18777000
aze,2005,0
aze,2006,5394000
aze,2007,16009000
aze,2008,56328000
aze,2009,121558000
aze,2010,101207000
aze,2011,168205000
aze,2012,339736000
aze,2013,234633000
aze,2014,305487000
aze,2015,229228000
aze,2016,158560000
aze,2017,424956000
aze,2018,-67155000
aze,2019,-79664000
aze,2020,-237374000
bdi,1970,-288000
bdi,1971,-304000
bdi,1972,-322000
bdi,1973,-339000
bdi,1974,-359000
bdi,1975,-380000
bdi,1976,-401000
bdi,1977,-424000
bgd,1985,-924000
bgd,1986,-1363000
bgd,1987,-1238000
bgd,1988,-1335000
bgd,1989,-1933000
bgd,1990,-1568000
bgd,1991,-1249000
bgd,1992,-3366000
bgd,1993,-3551000
bgd,1994,-3944000
bgd,1995,-4606000
bgd,1996,-4539000
bgd,1997,-4479000
bgd,1998,-4448000
bgd,1999,-4947000
bgd,2000,-5330000
bgd,2001,-5211000
bgd,2002,-5537000
bgd,2003,-6302000
bgd,2004,-7278000
bgr,1991,58182000
bgr,1992,92051000
bgr,1993,2732000
bgr,1994,245554000
bgr,1995,14526000
bgr,1996,39884000
bgr,1997,85032000
bgr,1998,176413000
bgr,1999,198919000
bgr,2000,44279000
bgr,2001,55785000
bgr,2002,2055000
bgr,2003,134643000
bgr,2004,123733000
bgr,2005,114767000
bgr,2006,-237324000
bgr,2007,136630000
bgr,2008,-406544000
bgr,2009,284973000
bgr,2010,-69886000
bgr,2011,-56238000
bgr,2012,-55589000
bgr,2013,-58578000
bgr,2014,-103059000
bgr,2015,-86851000
bgr,2016,150493000
bgr,2017,-80095000
bgr,2018,-59658000
bgr,2019,-87322000
bgr,2020,-85128000
bih,1996,-25053000
bih,1999,0
bih,2000,0
bih,2001,-5327000
bih,2002,-23107000
bih,2003,-24097000
bih,2004,-24381000
bih,2005,-23603000
bih,2006,-23618000
bih,2007,-23801000
bih,2008,-24630000
bih,2009,-24695000
bih,2010,25747000
bih,2011,15612000
bih,2012,1111000
bih,2013,-13603000
bih,2014,34668000
bih,2015,57662000
bih,2016,-12794000
bih,2017,-24307000
bih,2018,111621000
bih,2019,23355000
bih,2020,53205000
blr,1993,100000
blr,1994,100142000
blr,1995,11228000
blr,1996,13881000
blr,1997,13343000
blr,1998,3567000
blr,1999,1267000
blr,2000,-8754000
blr,2001,-7325000
blr,2002,-9788000
blr,2003,-14348000
blr,2004,-13512000
blr,2005,-8925000
blr,2006,-10284000
blr,2007,-8669000
blr,2008,-866000
blr,2009,213481000
blr,2010,35705000
blr,2011,26212000
blr,2012,106781000
blr,2013,132329000
blr,2014,33156000
blr,2015,51997000
blr,2016,82810000
blr,2017,98216000
blr,2018,83336000
blr,2019,39441000
blr,2020,-9688000
blz,1983,945000
blz,1984,1336000
blz,1985,2439000
blz,1986,373000
blz,1987,665000
blz,1988,510000
blz,1989,4764000
blz,1990,2785000
blz,1991,708000
blz,1992,1103000
blz,1993,485000
blz,1994,4127000
blz,1995,3069000
blz,1996,5232000
blz,1997,10291000
blz,1998,1320000
blz,1999,-58000
blz,2000,-1292000
blz,2001,3270000
blz,2002,1202000
blz,2003,-2762000
blz,2004,-1737000
blz,2005,-3569000
blz,2006,-4852000
blz,2007,-5018000
blz,2008,-4939000
blz,2009,-4577000
blz,2010,-4500000
blz,2011,-2102000
blz,2012,853000
blz,2013,1046000
blz,2014,362000
blz,2015,1438000
blz,2016,2587000
blz,2017,-202000
blz,2018,2302000
blz,2019,462000
blz,2020,8783000
bol,1971,15315000
bol,1972,7694000
bol,1973,-387000
bol,1974,-1884000
bol,1975,198000
bol,1976,10371000
bol,1977,20345000
bol,1978,22799000
bol,1979,30844000
bol,1980,70013000
bol,1981,27383000
bol,1982,9492000
bol,1983,537000
bol,1984,161000
bol,1985,-1164000
bol,1986,-14566000
bol,1987,-16643000
bol,1988,-22664000
bol,1989,-18796000
bol,1990,-20905000
bol,1991,-25320000
bol,1992,-21544000
bol,1993,-23072000
bol,1994,-24177000
bol,1995,-26499000
bol,1996,-25354000
bol,1997,-19444000
bol,1998,-12772000
bol,1999,-13451000
bol,2000,-11895000
bol,2001,-243000
bol,2004,150000
bol,2005,0
bol,2006,0
bol,2007,0
bol,2008,0
bol,2009,-8000
bol,2010,-8000
bol,2011,-8000
bol,2012,-8000
bol,2013,-8000
bol,2014,-8000
bol,2015,99992000
bol,2016,407000
bol,2017,492000
bol,2018,16806000
bol,2019,59715000
bol,2020,308471000
bra,1970,46914000
bra,1971,86780000
bra,1972,138199000
bra,1973,164893000
bra,1974,225445000
bra,1975,223463000
bra,1976,127662000
bra,1977,198258000
bra,1978,191031000
bra,1979,227735000
bra,1980,245178000
bra,1981,251184000
bra,1982,408406000
bra,1983,933944000
bra,1984,968457000
bra,1985,359208000
