global,time,ag_lnd_frst_zs
world,1990,31.62451
world,1991,31.56882
world,1992,31.62047
world,1993,31.56551
world,1994,31.5125
world,1995,31.45734
world,1996,31.40159
world,1997,31.32902
world,1998,31.27944
world,1999,31.22196
world,2000,31.17069
world,2001,31.13582
world,2002,31.1012
world,2003,31.06609
world,2004,31.03136
world,2005,30.99624
world,2006,30.97123
world,2007,30.94503
world,2008,30.92261
world,2009,30.89675
world,2010,30.86996
world,2011,30.84439
world,2012,30.81985
world,2013,30.79467
world,2014,30.76957
world,2015,30.74426
world,2016,30.71642
