geo,time,sh_hiv_1524_fe_zs
afg,1990,0.1
afg,1991,0.1
afg,1992,0.1
afg,1993,0.1
afg,1994,0.1
afg,1995,0.1
afg,1996,0.1
afg,1997,0.1
afg,1998,0.1
afg,1999,0.1
afg,2000,0.1
afg,2001,0.1
afg,2002,0.1
afg,2003,0.1
afg,2004,0.1
afg,2005,0.1
afg,2006,0.1
afg,2007,0.1
afg,2008,0.1
afg,2009,0.1
afg,2010,0.1
afg,2011,0.1
afg,2012,0.1
afg,2013,0.1
afg,2014,0.1
afg,2015,0.1
afg,2016,0.1
afg,2017,0.1
afg,2018,0.1
afg,2019,0.1
afg,2020,0.1
ago,1990,0.2
ago,1991,0.2
ago,1992,0.3
ago,1993,0.4
ago,1994,0.4
ago,1995,0.5
ago,1996,0.6
ago,1997,0.7
ago,1998,0.8
ago,1999,0.9
ago,2000,1
ago,2001,1.1
ago,2002,1.1
ago,2003,1.2
ago,2004,1.3
ago,2005,1.3
ago,2006,1.4
ago,2007,1.4
ago,2008,1.4
ago,2009,1.4
ago,2010,1.4
ago,2011,1.4
ago,2012,1.3
ago,2013,1.3
ago,2014,1.2
ago,2015,1.2
ago,2016,1.2
ago,2017,1.1
ago,2018,1.1
ago,2019,1
ago,2020,1
alb,1990,0.1
alb,1991,0.1
alb,1992,0.1
alb,1993,0.1
alb,1994,0.1
alb,1995,0.1
alb,1996,0.1
alb,1997,0.1
alb,1998,0.1
alb,1999,0.1
alb,2000,0.1
alb,2001,0.1
alb,2002,0.1
alb,2003,0.1
alb,2004,0.1
alb,2005,0.1
alb,2006,0.1
alb,2007,0.1
alb,2008,0.1
alb,2009,0.1
alb,2010,0.1
alb,2011,0.1
alb,2012,0.1
alb,2013,0.1
alb,2014,0.1
alb,2015,0.1
alb,2016,0.1
alb,2017,0.1
alb,2018,0.1
alb,2019,0.1
alb,2020,0.1
are,1990,0.1
are,1991,0.1
are,1992,0.1
are,1993,0.1
are,1994,0.1
are,1995,0.1
are,1996,0.1
are,1997,0.1
are,1998,0.1
are,1999,0.1
are,2000,0.1
are,2001,0.1
are,2002,0.1
are,2003,0.1
are,2004,0.1
are,2005,0.1
are,2006,0.1
are,2007,0.1
are,2008,0.1
are,2009,0.1
are,2010,0.1
are,2011,0.1
are,2012,0.1
are,2013,0.1
are,2014,0.1
are,2015,0.1
are,2016,0.1
are,2017,0.1
are,2018,0.1
are,2019,0.1
are,2020,0.1
arg,1990,0.1
arg,1991,0.1
arg,1992,0.1
arg,1993,0.1
arg,1994,0.1
arg,1995,0.1
arg,1996,0.1
arg,1997,0.1
arg,1998,0.1
arg,1999,0.1
arg,2000,0.1
arg,2001,0.1
arg,2002,0.1
arg,2003,0.1
arg,2004,0.1
arg,2005,0.1
arg,2006,0.1
arg,2007,0.1
arg,2008,0.1
arg,2009,0.1
arg,2010,0.1
arg,2011,0.1
arg,2012,0.1
arg,2013,0.1
arg,2014,0.1
arg,2015,0.1
arg,2016,0.1
arg,2017,0.1
arg,2018,0.1
arg,2019,0.1
arg,2020,0.1
arm,1990,0.1
arm,1991,0.1
arm,1992,0.1
arm,1993,0.1
arm,1994,0.1
arm,1995,0.1
arm,1996,0.1
arm,1997,0.1
arm,1998,0.1
arm,1999,0.1
arm,2000,0.1
arm,2001,0.1
arm,2002,0.1
arm,2003,0.1
arm,2004,0.1
arm,2005,0.1
arm,2006,0.1
arm,2007,0.1
arm,2008,0.1
arm,2009,0.1
arm,2010,0.1
arm,2011,0.1
arm,2012,0.1
arm,2013,0.1
arm,2014,0.1
arm,2015,0.1
arm,2016,0.1
arm,2017,0.1
arm,2018,0.1
arm,2019,0.1
arm,2020,0.1
aus,1990,0.1
aus,1991,0.1
aus,1992,0.1
aus,1993,0.1
aus,1994,0.1
aus,1995,0.1
aus,1996,0.1
aus,1997,0.1
aus,1998,0.1
aus,1999,0.1
aus,2000,0.1
aus,2001,0.1
aus,2002,0.1
aus,2003,0.1
aus,2004,0.1
aus,2005,0.1
aus,2006,0.1
aus,2007,0.1
aus,2008,0.1
aus,2009,0.1
aus,2010,0.1
aus,2011,0.1
aus,2012,0.1
aus,2013,0.1
aus,2014,0.1
aus,2015,0.1
aus,2016,0.1
aus,2017,0.1
aus,2018,0.1
aus,2019,0.1
aus,2020,0.1
aze,1990,0.1
aze,1991,0.1
aze,1992,0.1
aze,1993,0.1
aze,1994,0.1
aze,1995,0.1
aze,1996,0.1
aze,1997,0.1
aze,1998,0.1
aze,1999,0.1
aze,2000,0.1
aze,2001,0.1
aze,2002,0.1
aze,2003,0.1
aze,2004,0.1
aze,2005,0.1
aze,2006,0.1
aze,2007,0.1
aze,2008,0.1
aze,2009,0.1
aze,2010,0.1
aze,2011,0.1
aze,2012,0.1
aze,2013,0.1
aze,2014,0.1
aze,2015,0.1
aze,2016,0.1
aze,2017,0.1
aze,2018,0.1
aze,2019,0.1
aze,2020,0.1
bdi,1990,3.6
bdi,1991,3.8
bdi,1992,3.9
bdi,1993,3.7
bdi,1994,3.4
bdi,1995,3.1
bdi,1996,2.7
bdi,1997,2.3
bdi,1998,2
bdi,1999,1.8
bdi,2000,1.5
bdi,2001,1.4
bdi,2002,1.2
bdi,2003,1.1
bdi,2004,1
bdi,2005,1
bdi,2006,0.9
bdi,2007,0.9
bdi,2008,0.9
bdi,2009,0.9
bdi,2010,0.9
bdi,2011,0.9
bdi,2012,0.9
bdi,2013,0.9
bdi,2014,0.9
bdi,2015,0.9
bdi,2016,0.8
bdi,2017,0.8
bdi,2018,0.7
bdi,2019,0.6
bdi,2020,0.6
ben,1990,0.8
ben,1991,0.9
ben,1992,1
ben,1993,1.1
ben,1994,1.2
ben,1995,1.2
ben,1996,1.2
ben,1997,1.2
ben,1998,1.2
ben,1999,1.1
ben,2000,1.1
ben,2001,1
ben,2002,1
ben,2003,0.9
ben,2004,0.9
ben,2005,0.8
ben,2006,0.8
ben,2007,0.8
ben,2008,0.8
ben,2009,0.7
ben,2010,0.7
ben,2011,0.7
ben,2012,0.7
ben,2013,0.6
ben,2014,0.6
ben,2015,0.6
ben,2016,0.6
ben,2017,0.6
ben,2018,0.5
ben,2019,0.5
ben,2020,0.5
bfa,1990,2.4
bfa,1991,2.4
bfa,1992,2.3
bfa,1993,2.2
bfa,1994,2
bfa,1995,1.8
bfa,1996,1.6
bfa,1997,1.4
bfa,1998,1.2
bfa,1999,1.1
bfa,2000,1
bfa,2001,0.9
bfa,2002,0.8
bfa,2003,0.8
bfa,2004,0.7
bfa,2005,0.7
bfa,2006,0.7
bfa,2007,0.7
bfa,2008,0.7
bfa,2009,0.7
bfa,2010,0.7
bfa,2011,0.7
bfa,2012,0.7
bfa,2013,0.7
bfa,2014,0.7
bfa,2015,0.6
bfa,2016,0.6
bfa,2017,0.6
bfa,2018,0.5
bfa,2019,0.5
bfa,2020,0.5
bhs,1990,0.5
bhs,1991,0.6
bhs,1992,0.6
bhs,1993,0.6
bhs,1994,0.6
bhs,1995,0.5
bhs,1996,0.5
bhs,1997,0.5
bhs,1998,0.4
bhs,1999,0.4
bhs,2000,0.4
bhs,2001,0.4
bhs,2002,0.4
bhs,2003,0.4
bhs,2004,0.4
bhs,2005,0.4
bhs,2006,0.4
bhs,2007,0.4
bhs,2008,0.4
bhs,2009,0.5
bhs,2010,0.5
bhs,2011,0.5
bhs,2012,0.5
bhs,2013,0.5
bhs,2014,0.5
bhs,2015,0.5
bhs,2016,0.4
bhs,2017,0.4
bhs,2018,0.4
bhs,2019,0.4
bhs,2020,0.3
blr,1990,0.1
blr,1991,0.1
blr,1992,0.1
blr,1993,0.1
blr,1994,0.1
blr,1995,0.1
blr,1996,0.1
blr,1997,0.1
blr,1998,0.1
blr,1999,0.1
blr,2000,0.1
blr,2001,0.1
blr,2002,0.1
blr,2003,0.1
blr,2004,0.1
blr,2005,0.1
blr,2006,0.1
blr,2007,0.1
blr,2008,0.1
blr,2009,0.1
blr,2010,0.1
blr,2011,0.1
blr,2012,0.1
blr,2013,0.1
blr,2014,0.1
blr,2015,0.1
blr,2016,0.1
blr,2017,0.1
blr,2018,0.1
blr,2019,0.1
blr,2020,0.1
blz,1990,0.1
blz,1991,0.1
blz,1992,0.1
blz,1993,0.1
blz,1994,0.1
blz,1995,0.1
blz,1996,0.2
blz,1997,0.3
blz,1998,0.3
blz,1999,0.4
blz,2000,0.4
blz,2001,0.4
blz,2002,0.4
blz,2003,0.4
blz,2004,0.4
blz,2005,0.3
blz,2006,0.3
blz,2007,0.3
blz,2008,0.3
blz,2009,0.3
blz,2010,0.3
blz,2011,0.3
blz,2012,0.3
blz,2013,0.3
blz,2014,0.3
blz,2015,0.3
blz,2016,0.3
blz,2017,0.3
blz,2018,0.3
blz,2019,0.3
blz,2020,0.3
bol,1990,0.1
bol,1991,0.1
bol,1992,0.1
bol,1993,0.1
bol,1994,0.1
bol,1995,0.1
bol,1996,0.1
bol,1997,0.1
bol,1998,0.1
bol,1999,0.1
bol,2000,0.1
bol,2001,0.1
bol,2002,0.1
bol,2003,0.1
bol,2004,0.1
bol,2005,0.1
bol,2006,0.1
bol,2007,0.1
bol,2008,0.1
bol,2009,0.1
bol,2010,0.1
bol,2011,0.1
bol,2012,0.1
bol,2013,0.1
bol,2014,0.1
bol,2015,0.1
bol,2016,0.1
bol,2017,0.1
bol,2018,0.1
bol,2019,0.1
bol,2020,0.1
btn,1990,0.1
btn,1991,0.1
btn,1992,0.1
btn,1993,0.1
btn,1994,0.1
btn,1995,0.1
btn,1996,0.1
btn,1997,0.1
btn,1998,0.1
btn,1999,0.1
btn,2000,0.1
btn,2001,0.1
btn,2002,0.1
btn,2003,0.1
btn,2004,0.1
btn,2005,0.1
btn,2006,0.1
btn,2007,0.1
btn,2008,0.1
btn,2009,0.1
btn,2010,0.1
btn,2011,0.1
btn,2012,0.1
btn,2013,0.1
btn,2014,0.1
btn,2015,0.1
btn,2016,0.1
btn,2017,0.1
btn,2018,0.1
btn,2019,0.1
btn,2020,0.1
bwa,1990,6.7
bwa,1991,9.7
bwa,1992,13
bwa,1993,16.3
bwa,1994,19.3
bwa,1995,21.6
bwa,1996,23
bwa,1997,23.6
bwa,1998,23.6
bwa,1999,23
bwa,2000,22
bwa,2001,20.7
bwa,2002,19.3
bwa,2003,17.8
bwa,2004,16.4
bwa,2005,15.1
bwa,2006,13.9
bwa,2007,13
bwa,2008,12.2
bwa,2009,11.6
bwa,2010,11.2
bwa,2011,10.9
bwa,2012,10.6
bwa,2013,10.4
bwa,2014,10.3
bwa,2015,10.2
bwa,2016,10.1
bwa,2017,9.9
bwa,2018,9.6
bwa,2019,9.3
bwa,2020,8.8
caf,1990,3.3
caf,1991,4.1
caf,1992,4.7
caf,1993,4.9
caf,1994,4.9
caf,1995,4.8
caf,1996,4.6
caf,1997,4.3
caf,1998,3.9
caf,1999,3.6
caf,2000,3.3
caf,2001,3
caf,2002,2.8
caf,2003,2.6
caf,2004,2.5
caf,2005,2.4
caf,2006,2.3
caf,2007,2.2
caf,2008,2.2
caf,2009,2.1
caf,2010,2
caf,2011,1.9
caf,2012,1.9
caf,2013,1.8
caf,2014,1.7
caf,2015,1.6
caf,2016,1.5
caf,2017,1.4
caf,2018,1.4
caf,2019,1.3
caf,2020,1.2
che,1990,0.1
che,1991,0.1
che,1992,0.1
che,1993,0.1
che,1994,0.1
che,1995,0.1
che,1996,0.1
che,1997,0.1
che,1998,0.1
che,1999,0.1
che,2000,0.1
che,2001,0.1
che,2002,0.1
che,2003,0.1
che,2004,0.1
che,2005,0.1
che,2006,0.1
che,2007,0.1
che,2008,0.1
che,2009,0.1
che,2010,0.1
che,2011,0.1
che,2012,0.1
che,2013,0.1
che,2014,0.1
che,2015,0.1
che,2016,0.1
che,2017,0.1
che,2018,0.1
che,2019,0.1
che,2020,0.1
chl,1990,0.1
chl,1991,0.1
chl,1992,0.1
chl,1993,0.1
chl,1994,0.1
chl,1995,0.1
chl,1996,0.1
chl,1997,0.1
chl,1998,0.1
chl,1999,0.1
chl,2000,0.1
chl,2001,0.1
chl,2002,0.1
chl,2003,0.1
chl,2004,0.1
chl,2005,0.1
chl,2006,0.1
chl,2007,0.1
chl,2008,0.1
chl,2009,0.1
chl,2010,0.1
chl,2011,0.1
chl,2012,0.1
chl,2013,0.1
chl,2014,0.1
chl,2015,0.1
chl,2016,0.1
chl,2017,0.1
chl,2018,0.1
chl,2019,0.1
chl,2020,0.1
civ,1990,3.6
civ,1991,4.4
civ,1992,5
civ,1993,5.5
civ,1994,5.8
civ,1995,6
civ,1996,5.9
civ,1997,5.7
civ,1998,5.3
civ,1999,4.8
civ,2000,4.4
civ,2001,3.9
civ,2002,3.4
civ,2003,3
civ,2004,2.7
civ,2005,2.4
civ,2006,2.2
civ,2007,2.1
civ,2008,1.9
civ,2009,1.8
civ,2010,1.7
civ,2011,1.6
civ,2012,1.5
civ,2013,1.5
civ,2014,1.4
civ,2015,1.3
civ,2016,1.2
civ,2017,1.2
civ,2018,1.1
civ,2019,1
civ,2020,0.9
cmr,1990,1
cmr,1991,1.3
cmr,1992,1.6
cmr,1993,2.1
cmr,1994,2.5
cmr,1995,3
cmr,1996,3.5
cmr,1997,3.9
cmr,1998,4.3
cmr,1999,4.5
cmr,2000,4.6
cmr,2001,4.5
cmr,2002,4.4
cmr,2003,4.2
cmr,2004,3.9
cmr,2005,3.7
cmr,2006,3.4
cmr,2007,3.1
cmr,2008,2.9
cmr,2009,2.7
cmr,2010,2.5
cmr,2011,2.4
cmr,2012,2.3
cmr,2013,2.1
cmr,2014,2
cmr,2015,1.9
cmr,2016,1.8
cmr,2017,1.7
cmr,2018,1.6
cmr,2019,1.5
cmr,2020,1.4
cod,1990,1.5
cod,1991,1.6
cod,1992,1.7
cod,1993,1.7
cod,1994,1.7
cod,1995,1.7
cod,1996,1.6
cod,1997,1.6
cod,1998,1.5
cod,1999,1.4
cod,2000,1.3
cod,2001,1.2
cod,2002,1.1
cod,2003,1.1
cod,2004,1
cod,2005,0.9
cod,2006,0.9
cod,2007,0.9
cod,2008,0.8
cod,2009,0.8
cod,2010,0.7
cod,2011,0.7
cod,2012,0.7
cod,2013,0.7
cod,2014,0.6
