global,time,ip_tmk_resd
world,1982,464403
world,1983,470920
world,1984,494176
world,1985,566291
world,1986,706631
world,1987,767578
world,1988,747157
world,1989,794587
world,1990,843841
world,1991,822139
world,1992,896545
world,1993,948451
world,1994,1051351
world,1995,1128621
world,1996,1124700
world,1999,1334816
world,2000,1579136
world,2001,1472155
world,2002,1571013
world,2003,1702928
world,2004,1922457
world,2005,2094365
world,2006,2246457
world,2007,2290094
world,2008,2244726
world,2009,2365446
world,2010,2758958
world,2011,3139715
world,2012,3339681
world,2013,3671949
world,2014,3958768
world,2015,2116493
world,2016,2297214
world,2017,2512940
world,2018,2611733
world,2019,2761875
