geo,time,en_atm_pfcg_kt_ce
hkg,1990,0
hkg,2000,0
hkg,2005,0
hkg,2008,0
hkg,2010,0
hnd,1990,0
hnd,2000,0
hnd,2005,0
hnd,2008,0
hnd,2010,0
hrv,1990,890.4
hrv,2000,63
hrv,2005,10.9
hrv,2008,11
hrv,2010,11
hti,1990,0
hti,2000,0
hti,2005,0
hti,2008,0
hti,2010,0
hun,1990,683.3
hun,2000,308.5
hun,2005,283.7
hun,2008,2.7
hun,2010,3
idn,1990,657.9
idn,2000,170.6
idn,2005,134.4
idn,2008,129.6
idn,2010,135
ind,1990,2104
ind,2000,2008.8
ind,2005,1115.8
ind,2008,1551.8
ind,2010,1740
irl,1990,1.4
irl,2000,415.6
irl,2005,221.8
irl,2008,83.6
irl,2010,40
irn,1990,203.5
irn,2000,128.5
irn,2005,108.5
irn,2008,103.6
irn,2010,104
irq,1990,0
irq,2000,0
irq,2005,0
irq,2008,0
irq,2010,0
isl,1990,1033.4
isl,2000,104.6
isl,2005,101.6
isl,2008,292.7
isl,2010,123
isr,1990,43.8
isr,2000,90.5
isr,2005,108.7
isr,2008,122.3
isr,2010,123
ita,1990,871
ita,2000,384.3
ita,2005,394.3
ita,2008,408.8
ita,2010,457
jam,1990,0
jam,2000,0
jam,2005,0
jam,2008,0
jam,2010,0
jor,1990,0
jor,2000,0
jor,2005,0
jor,2008,0
jor,2010,0
jpn,1990,4700
jpn,2000,9029.8
jpn,2005,7623.6
jpn,2008,6496.1
jpn,2010,6710
kaz,1990,0
kaz,2000,0
kaz,2005,0
kaz,2008,0
kaz,2010,0
ken,1990,0
ken,2000,0
ken,2005,0
ken,2008,0
ken,2010,0
kgz,1990,0
kgz,2000,0
kgz,2005,0
kgz,2008,0
kgz,2010,0
khm,1990,0
khm,2000,0
khm,2005,0
khm,2008,0
khm,2010,0
kor,1990,782.6
kor,2000,2164.9
kor,2005,2453.7
kor,2008,2730.1
kor,2010,1848
kos,2010,0
kwt,1990,0
kwt,2000,0
kwt,2005,0
kwt,2008,0
kwt,2010,0
lbn,1990,0
lbn,2000,0
lbn,2005,0
lbn,2008,0
lbn,2010,0
lby,1990,0
lby,2000,0
lby,2005,0
lby,2008,0
lby,2010,0
lka,1990,0
lka,2000,0
lka,2005,0
lka,2008,0
lka,2010,0
ltu,1990,0.9
ltu,2000,8.4
ltu,2005,8.2
ltu,2008,8.2
ltu,2010,8
lux,1990,0.1
lux,2000,1
lux,2005,1.1
lux,2008,1.2
lux,2010,1
lva,1990,0.7
lva,2000,5.7
lva,2005,5.5
lva,2008,5.5
lva,2010,5
mar,1990,0
mar,2000,0
mar,2005,0
mar,2008,0
mar,2010,0
mda,1990,0
mda,2000,0
mda,2005,0
mda,2008,0
mda,2010,0
mex,1990,516
mex,2000,554.1
mex,2005,0
mex,2008,0
mex,2010,28
mkd,1990,0
mkd,2000,0
mkd,2005,0
mkd,2008,0
mkd,2010,0
mlt,1990,0
mlt,2000,0
mlt,2005,0
mlt,2008,0
mlt,2010,0
mmr,1990,0
mmr,2000,0
mmr,2005,0
mmr,2008,0
mmr,2010,0
mne,2010,0
mng,1990,0
mng,2000,0
mng,2005,0
mng,2008,0
mng,2010,0
moz,1990,0
moz,2000,24.9
moz,2005,205.9
moz,2008,198.9
moz,2010,207
mys,1990,0.6
mys,2000,90.1
mys,2005,340.9
mys,2008,511
mys,2010,357
nam,1990,0
nam,2000,0
nam,2005,0
nam,2008,0
nam,2010,0
nga,1990,0
nga,2000,0
nga,2005,0
nga,2008,7.4
nga,2010,15
nic,1990,0
nic,2000,0
nic,2005,0
nic,2008,0
nic,2010,0
nld,1990,3096.2
nld,2000,979.5
nld,2005,351.4
nld,2008,329.2
nld,2010,303
nor,1990,6315.7
nor,2000,4597.3
nor,2005,4568.1
nor,2008,4535.7
nor,2010,1201
npl,1990,0
npl,2000,0
npl,2005,0
npl,2008,0
npl,2010,0
nzl,1990,891.8
nzl,2000,352.6
nzl,2005,191.6
nzl,2008,166.4
nzl,2010,185
omn,1990,0
omn,2000,0
omn,2005,0
omn,2008,0
omn,2010,29
pak,1990,0
pak,2000,0
pak,2005,0
pak,2008,0
pak,2010,0
pan,1990,0
pan,2000,0
pan,2005,0
pan,2008,0
pan,2010,0
per,1990,0
per,2000,0
per,2005,0
per,2008,0
per,2010,0
phl,1990,0
phl,2000,0
phl,2005,0
phl,2008,0
phl,2010,0
pol,1990,427.8
pol,2000,519.3
pol,2005,592.7
pol,2008,620.1
pol,2010,273
prk,1990,0
prk,2000,0
prk,2005,0
prk,2008,0
prk,2010,0
prt,1990,2.6
prt,2000,24.6
prt,2005,25.4
prt,2008,25.9
prt,2010,35
pry,1990,0
pry,2000,0
pry,2005,0
pry,2008,0
pry,2010,0
qat,1990,0
qat,2000,0
qat,2005,0
qat,2008,0
qat,2010,0
rou,1990,2006.1
rou,2000,674.9
rou,2005,321.3
rou,2008,371.6
rou,2010,215
rus,1990,15866.2
rus,2000,24866.1
rus,2005,26591.3
rus,2008,28055.8
rus,2010,20578
sau,1990,0
sau,2000,0
sau,2005,0
sau,2008,0
sau,2010,0
sdn,1990,0
sdn,2000,0
sdn,2005,0
sdn,2008,0
sdn,2010,0
sen,1990,0
sen,2000,0
sen,2005,0
sen,2008,0
sen,2010,0
sgp,1990,124.2
sgp,2000,420.9
sgp,2005,765.5
sgp,2008,1004.5
sgp,2010,703
slv,1990,0
slv,2000,0
slv,2005,0
slv,2008,0
slv,2010,0
srb,1990,761.9
srb,2000,306.1
srb,2005,129
srb,2008,132.3
srb,2010,134
svk,1990,68.3
svk,2000,76.3
svk,2005,71.6
svk,2008,83.5
svk,2010,54
svn,1990,767.4
svn,2000,177.2
svn,2005,110.3
svn,2008,88.4
svn,2010,60
swe,1990,714.9
swe,2000,722.5
swe,2005,722.3
swe,2008,674.8
swe,2010,439
syr,1990,0
syr,2000,0
syr,2005,0
syr,2008,0
syr,2010,0
tgo,1990,0
tgo,2000,0
tgo,2005,0
tgo,2008,0
tgo,2010,0
tha,1990,0
tha,2000,0
tha,2005,0
tha,2008,0
tha,2010,0
tjk,1990,2806.1
tjk,2000,795.5
tjk,2005,371.1
tjk,2008,331.1
tjk,2010,340
tkm,1990,0
tkm,2000,0
tkm,2005,0
tkm,2008,0
tkm,2010,0
tto,1990,0
tto,2000,0
tto,2005,0
tto,2008,0
tto,2010,0
tun,1990,0
tun,2000,0
tun,2005,0
tun,2008,0
tun,2010,0
tur,1990,545.6
tur,2000,554.9
tur,2005,545.9
tur,2008,591.4
tur,2010,549
tza,1990,0
tza,2000,0
tza,2005,0
tza,2008,0
tza,2010,0
ukr,1990,224
ukr,2000,244.1
ukr,2005,180.5
ukr,2008,176.5
ukr,2010,116
ury,1990,0
ury,2000,0
ury,2005,0
ury,2008,0
ury,2010,0
usa,1990,20841.3
usa,2000,14739
usa,2005,9008.7
usa,2008,8264
usa,2010,6362
uzb,1990,0
uzb,2000,0
uzb,2005,0
uzb,2008,0
uzb,2010,0
ven,1990,1948.7
ven,2000,464.6
ven,2005,286.1
ven,2008,283.8
ven,2010,156
vnm,1990,0
vnm,2000,0
vnm,2005,0
vnm,2008,0
vnm,2010,0
yem,1990,0
