geo,time,sh_dth_nmrt
afg,1988,47313
afg,1989,47616
afg,1990,48386
afg,1991,49665
afg,1992,51251
afg,1993,53014
afg,1994,54781
afg,1995,56534
afg,1996,58157
afg,1997,59608
afg,1998,60800
afg,1999,61691
afg,2000,62285
afg,2001,62563
afg,2002,62635
afg,2003,62483
afg,2004,62215
afg,2005,61677
afg,2006,60907
afg,2007,59877
afg,2008,58666
afg,2009,57302
afg,2010,55811
afg,2011,54254
afg,2012,52710
afg,2013,51184
afg,2014,49707
afg,2015,48304
afg,2016,47047
afg,2017,45875
afg,2018,44867
afg,2019,43747
afg,2020,42758
ago,1990,31967
ago,1991,32908
ago,1992,33822
ago,1993,34731
ago,1994,35596
ago,1995,36469
ago,1996,37328
ago,1997,38085
ago,1998,38790
ago,1999,39321
ago,2000,39785
ago,2001,40187
ago,2002,40403
ago,2003,40491
ago,2004,40506
ago,2005,40299
ago,2006,40094
ago,2007,39832
ago,2008,39555
ago,2009,39241
ago,2010,38804
ago,2011,38327
ago,2012,37798
ago,2013,37253
ago,2014,36826
ago,2015,36550
ago,2016,36233
ago,2017,35991
ago,2018,35874
ago,2019,35788
ago,2020,35735
alb,1980,1557
alb,1981,1476
alb,1982,1394
alb,1983,1320
alb,1984,1258
alb,1985,1208
alb,1986,1171
alb,1987,1134
alb,1988,1094
alb,1989,1049
alb,1990,1003
alb,1991,964
alb,1992,936
alb,1993,907
alb,1994,866
alb,1995,830
alb,1996,794
alb,1997,755
alb,1998,713
alb,1999,669
alb,2000,621
alb,2001,571
alb,2002,523
alb,2003,483
alb,2004,450
alb,2005,416
alb,2006,377
alb,2007,337
alb,2008,297
alb,2009,262
alb,2010,236
alb,2011,221
alb,2012,214
alb,2013,210
alb,2014,209
alb,2015,212
alb,2016,220
alb,2017,231
alb,2018,243
alb,2019,251
alb,2020,256
and,1990,5
and,1991,5
and,1992,5
and,1993,4
and,1994,4
and,1995,4
and,1996,3
and,1997,3
and,1998,3
and,1999,3
and,2000,3
and,2001,3
and,2002,3
and,2003,2
and,2004,2
and,2005,2
and,2006,2
and,2007,2
and,2008,2
and,2009,2
and,2010,2
and,2011,2
and,2012,1
and,2013,1
and,2014,1
and,2015,1
and,2016,1
and,2017,1
and,2018,1
and,2019,1
and,2020,1
are,1979,463
are,1980,474
are,1981,470
are,1982,465
are,1983,459
are,1984,451
are,1985,443
are,1986,434
are,1987,424
are,1988,414
are,1989,404
are,1990,394
are,1991,382
are,1992,369
are,1993,356
are,1994,343
are,1995,332
are,1996,322
are,1997,314
are,1998,310
are,1999,308
are,2000,310
are,2001,316
are,2002,326
are,2003,339
are,2004,354
are,2005,371
are,2006,388
are,2007,405
are,2008,420
are,2009,430
are,2010,436
are,2011,437
are,2012,435
are,2013,431
are,2014,424
are,2015,415
are,2016,404
are,2017,392
are,2018,381
are,2019,370
are,2020,360
arg,1971,14028
arg,1972,14400
arg,1973,14846
arg,1974,15275
arg,1975,15508
arg,1976,15437
arg,1977,15078
arg,1978,14601
arg,1979,14043
arg,1980,13219
arg,1981,12080
arg,1982,11108
arg,1983,10654
arg,1984,11059
arg,1985,11673
arg,1986,11939
arg,1987,11848
arg,1988,11559
arg,1989,11202
arg,1990,10888
arg,1991,10721
arg,1992,10654
arg,1993,10566
arg,1994,10344
arg,1995,9873
arg,1996,9110
arg,1997,8319
arg,1998,7851
arg,1999,7820
arg,2000,7938
arg,2001,7942
arg,2002,7773
arg,2003,7460
arg,2004,7054
arg,2005,6661
arg,2006,6375
arg,2007,6167
arg,2008,5961
arg,2009,5751
arg,2010,5618
arg,2011,5629
arg,2012,5665
arg,2013,5538
arg,2014,5221
arg,2015,4931
arg,2016,4830
arg,2017,4770
arg,2018,4503
arg,2019,3986
arg,2020,3442
arm,1978,1893
arm,1979,1903
arm,1980,1919
arm,1981,1931
arm,1982,1942
arm,1983,1958
arm,1984,1972
arm,1985,1974
arm,1986,1961
arm,1987,1928
arm,1988,1927
arm,1989,1801
arm,1990,1706
arm,1991,1588
arm,1992,1459
arm,1993,1320
arm,1994,1182
arm,1995,1052
arm,1996,938
arm,1997,834
arm,1998,748
arm,1999,683
arm,2000,636
arm,2001,603
arm,2002,579
arm,2003,560
arm,2004,544
arm,2005,527
arm,2006,510
arm,2007,491
arm,2008,472
arm,2009,450
arm,2010,428
arm,2011,406
arm,2012,383
arm,2013,362
arm,2014,341
arm,2015,320
arm,2016,300
arm,2017,281
arm,2018,262
arm,2019,243
arm,2020,226
atg,1972,24
atg,1973,21
atg,1974,19
atg,1975,17
atg,1976,15
atg,1977,14
atg,1978,12
atg,1979,11
atg,1980,10
atg,1981,10
atg,1982,9
atg,1983,9
atg,1984,8
atg,1985,8
atg,1986,8
atg,1987,8
atg,1988,9
atg,1989,9
atg,1990,10
atg,1991,10
atg,1992,11
atg,1993,12
atg,1994,12
atg,1995,13
atg,1996,14
atg,1997,14
atg,1998,14
atg,1999,15
atg,2000,15
atg,2001,14
atg,2002,14
atg,2003,13
atg,2004,13
atg,2005,12
atg,2006,11
atg,2007,11
atg,2008,10
atg,2009,9
atg,2010,9
atg,2011,8
atg,2012,7
atg,2013,7
atg,2014,7
atg,2015,6
atg,2016,6
atg,2017,6
atg,2018,6
atg,2019,5
atg,2020,5
aus,1969,3163
aus,1970,3153
aus,1971,3108
aus,1972,3028
aus,1973,2900
aus,1974,2719
aus,1975,2495
aus,1976,2260
aus,1977,2042
aus,1978,1856
aus,1979,1710
aus,1980,1603
aus,1981,1529
aus,1982,1478
aus,1983,1440
aus,1984,1407
aus,1985,1374
aus,1986,1339
aus,1987,1300
aus,1988,1259
aus,1989,1218
aus,1990,1178
aus,1991,1134
aus,1992,1086
aus,1993,1037
aus,1994,993
aus,1995,955
aus,1996,925
aus,1997,903
aus,1998,887
aus,1999,877
aus,2000,869
aus,2001,865
aus,2002,863
aus,2003,864
aus,2004,867
aus,2005,871
aus,2006,873
aus,2007,871
aus,2008,862
aus,2009,845
aus,2010,823
aus,2011,799
aus,2012,776
aus,2013,758
aus,2014,745
aus,2015,739
aus,2016,738
aus,2017,741
aus,2018,746
aus,2019,751
aus,2020,753
aut,1960,3063
aut,1961,2994
aut,1962,2928
aut,1963,2854
aut,1964,2767
aut,1965,2686
aut,1966,2595
aut,1967,2486
aut,1968,2372
aut,1969,2277
aut,1970,2200
aut,1971,2112
aut,1972,1986
aut,1973,1819
aut,1974,1615
aut,1975,1399
aut,1976,1203
aut,1977,1044
aut,1978,922
aut,1979,836
aut,1980,778
aut,1981,736
aut,1982,697
aut,1983,657
aut,1984,616
aut,1985,574
aut,1986,532
aut,1987,490
aut,1988,454
aut,1989,427
aut,1990,410
aut,1991,395
aut,1992,378
aut,1993,357
aut,1994,334
aut,1995,312
aut,1996,291
aut,1997,274
aut,1998,262
aut,1999,253
aut,2000,248
aut,2001,244
aut,2002,240
aut,2003,234
aut,2004,227
aut,2005,219
aut,2006,212
aut,2007,207
aut,2008,203
aut,2009,199
aut,2010,197
aut,2011,194
aut,2012,192
aut,2013,191
aut,2014,189
aut,2015,189
aut,2016,190
aut,2017,192
aut,2018,196
aut,2019,201
aut,2020,206
aze,1984,5622
aze,1985,5682
aze,1986,5739
aze,1987,5808
aze,1988,5926
aze,1989,6089
aze,1990,6281
aze,1991,6452
aze,1992,6581
aze,1993,6621
aze,1994,6553
aze,1995,6388
aze,1996,6141
aze,1997,5841
aze,1998,5503
aze,1999,5163
aze,2000,4830
aze,2001,4529
aze,2002,4263
aze,2003,4041
aze,2004,3853
aze,2005,3699
aze,2006,3594
aze,2007,3512
aze,2008,3455
aze,2009,3399
aze,2010,3334
aze,2011,3196
aze,2012,3018
aze,2013,2828
aze,2014,2620
aze,2015,2407
aze,2016,2196
aze,2017,2000
aze,2018,1827
aze,2019,1679
aze,2020,1544
bdi,1965,7514
bdi,1966,7661
bdi,1967,7813
bdi,1968,7959
bdi,1969,8090
bdi,1970,8197
bdi,1971,8318
bdi,1972,8626
bdi,1973,8586
bdi,1974,8761
bdi,1975,8942
bdi,1976,9140
bdi,1977,9323
bdi,1978,9485
bdi,1979,9619
bdi,1980,9726
bdi,1981,9798
bdi,1982,9867
bdi,1983,9911
bdi,1984,9981
bdi,1985,10047
bdi,1986,10145
bdi,1987,10244
bdi,1988,10390
bdi,1989,10528
bdi,1990,10632
bdi,1991,10698
bdi,1992,10693
bdi,1993,10759
bdi,1994,10618
bdi,1995,10537
bdi,1996,10468
bdi,1997,10363
bdi,1998,10275
bdi,1999,10214
bdi,2000,10197
bdi,2001,10224
bdi,2002,10289
bdi,2003,10382
bdi,2004,10481
bdi,2005,10551
bdi,2006,10598
bdi,2007,10616
bdi,2008,10604
bdi,2009,10575
bdi,2010,10500
bdi,2011,10371
bdi,2012,10226
bdi,2013,10086
bdi,2014,9962
bdi,2015,9827
bdi,2016,9716
bdi,2017,9628
bdi,2018,9529
bdi,2019,9438
bdi,2020,9374
bel,1961,3010
bel,1962,2861
bel,1963,2738
bel,1964,2638
bel,1965,2559
bel,1966,2477
bel,1967,2369
bel,1968,2231
bel,1969,2086
bel,1970,1957
bel,1971,1847
bel,1972,1751
bel,1973,1660
bel,1974,1554
bel,1975,1427
bel,1976,1291
bel,1977,1167
bel,1978,1063
bel,1979,978
bel,1980,912
bel,1981,857
bel,1982,805
bel,1983,755
bel,1984,710
bel,1985,675
bel,1986,648
bel,1987,623
bel,1988,598
bel,1989,574
bel,1990,551
bel,1991,529
bel,1992,509
bel,1993,490
bel,1994,470
bel,1995,447
bel,1996,423
bel,1997,399
bel,1998,375
bel,1999,354
bel,2000,337
bel,2001,325
bel,2002,318
bel,2003,315
bel,2004,315
bel,2005,315
bel,2006,314
bel,2007,311
bel,2008,307
bel,2009,302
bel,2010,296
bel,2011,291
bel,2012,288
bel,2013,286
bel,2014,286
bel,2015,287
bel,2016,289
bel,2017,292
bel,2018,294
bel,2019,296
bel,2020,296
ben,1960,6917
ben,1961,7036
ben,1962,7160
ben,1963,7271
ben,1964,7376
ben,1965,7481
ben,1966,7576
ben,1967,7673
ben,1968,7767
ben,1969,7866
ben,1970,7965
ben,1971,8060
ben,1972,8169
ben,1973,8272
ben,1974,8379
ben,1975,8488
ben,1976,8607
ben,1977,8728
ben,1978,8848
ben,1979,8970
ben,1980,9087
ben,1981,9207
ben,1982,9327
ben,1983,9469
ben,1984,9608
ben,1985,9745
ben,1986,9888
ben,1987,10032
ben,1988,10163
ben,1989,10290
ben,1990,10406
ben,1991,10504
ben,1992,10604
ben,1993,10708
ben,1994,10823
ben,1995,10947
ben,1996,11069
ben,1997,11189
ben,1998,11278
ben,1999,11341
ben,2000,11381
ben,2001,11407
ben,2002,11429
ben,2003,11460
