geo,time,ag_prd_food_xd
afg,1961,41.44
afg,1962,41.77
afg,1963,41.58
afg,1964,45.09
afg,1965,47.2
afg,1966,48.94
afg,1967,53.62
afg,1968,56
afg,1969,56.7
afg,1970,51.91
afg,1971,48.67
afg,1972,51.93
afg,1973,55.82
afg,1974,57.5
afg,1975,59.14
afg,1976,63.82
afg,1977,57.29
afg,1978,61.61
afg,1979,60.87
afg,1980,61.22
afg,1981,61.07
afg,1982,60.5
afg,1983,58.93
afg,1984,56.52
afg,1985,52.72
afg,1986,48.27
afg,1987,50
afg,1988,49.42
afg,1989,49.19
afg,1990,52.97
afg,1991,60.8
afg,1992,58.93
afg,1993,62.19
afg,1994,65.76
afg,1995,68.68
afg,1996,72.29
afg,1997,77.39
afg,1998,81.62
afg,1999,80.69
afg,2000,68.63
afg,2001,62.36
afg,2002,75.67
afg,2003,77.75
afg,2004,75.7
afg,2005,84.6
afg,2006,78.35
afg,2007,85.78
afg,2008,80.65
afg,2009,93.48
afg,2010,92.91
afg,2011,88.57
afg,2012,97.12
afg,2013,94.2
afg,2014,101.61
afg,2015,95.99
afg,2016,102.4
afg,2017,99.17
afg,2018,95.91
afg,2019,110.66
ago,1961,14.65
ago,1962,15.17
ago,1963,15.52
ago,1964,16.23
ago,1965,16.77
ago,1966,17.02
ago,1967,17.49
ago,1968,17.53
ago,1969,18.48
ago,1970,19.39
ago,1971,19.49
ago,1972,19
ago,1973,19.93
ago,1974,19.32
ago,1975,19.14
ago,1976,18.87
ago,1977,18.43
ago,1978,18.49
ago,1979,17.94
ago,1980,18.19
ago,1981,17.82
ago,1982,18.1
ago,1983,18.4
ago,1984,18.66
ago,1985,18.97
ago,1986,19.67
ago,1987,19.92
ago,1988,19.83
ago,1989,19.83
ago,1990,19.92
ago,1991,20.81
ago,1992,22.26
ago,1993,22.09
ago,1994,24.88
ago,1995,24.03
ago,1996,25.83
ago,1997,25.76
ago,1998,29.93
ago,1999,28.76
ago,2000,33.59
ago,2001,38.64
ago,2002,43.78
ago,2003,47.21
ago,2004,50.98
ago,2005,55.58
ago,2006,56.55
ago,2007,64.13
ago,2008,68.27
ago,2009,85.34
ago,2010,90.28
ago,2011,98.6
ago,2012,81.11
ago,2013,110.7
ago,2014,97.38
ago,2015,100.3
ago,2016,102.31
ago,2017,103.42
ago,2018,107.38
ago,2019,110.16
alb,1961,21.35
alb,1962,21.94
alb,1963,20.72
alb,1964,23.37
alb,1965,22.24
alb,1966,25.47
alb,1967,27.29
alb,1968,28.02
alb,1969,28.35
alb,1970,29.1
alb,1971,30.17
alb,1972,30.69
alb,1973,32.87
alb,1974,33.83
alb,1975,34.43
alb,1976,38.1
alb,1977,39.8
alb,1978,41.54
alb,1979,42.28
alb,1980,41.44
alb,1981,43.09
alb,1982,44.48
alb,1983,48.45
alb,1984,44.96
alb,1985,44.33
alb,1986,44.06
alb,1987,45.58
alb,1988,44.32
alb,1989,49.41
alb,1990,48.67
alb,1991,41.34
alb,1992,45.59
alb,1993,51.52
alb,1994,57.27
alb,1995,61.59
alb,1996,62.08
alb,1997,58.8
alb,1998,61.37
alb,1999,60.76
alb,2000,64
alb,2001,65.88
alb,2002,66.38
alb,2003,69.57
alb,2004,72.88
alb,2005,71.64
alb,2006,74.41
alb,2007,75.44
alb,2008,77.73
alb,2009,80.51
alb,2010,85.65
alb,2011,89.9
alb,2012,95.06
alb,2013,95.64
alb,2014,96.84
alb,2015,100.04
alb,2016,103.12
alb,2017,103.98
alb,2018,105.77
alb,2019,102.66
are,1961,4.63
are,1962,4.7
are,1963,4.85
are,1964,5.04
are,1965,5.15
are,1966,5.3
are,1967,5.45
are,1968,5.68
are,1969,6.01
are,1970,6.43
are,1971,6.77
are,1972,6.59
are,1973,7.44
are,1974,8.52
are,1975,8.35
are,1976,7.68
are,1977,9.16
are,1978,11.9
are,1979,13.54
are,1980,15.96
are,1981,17.56
are,1982,22.17
are,1983,25.32
are,1984,23.93
are,1985,24.78
are,1986,25.87
are,1987,25.76
are,1988,31.93
are,1989,35.9
are,1990,37.44
are,1991,44.99
are,1992,55.96
are,1993,59.37
are,1994,63.57
are,1995,72.34
are,1996,78.65
are,1997,94.7
are,1998,96.56
are,1999,146.07001
are,2000,186.84
are,2001,123.17
are,2002,120.97
are,2003,112.28
are,2004,120.87
are,2005,122.81
are,2006,112.86
are,2007,112.45
are,2008,122.3
are,2009,121.23
are,2010,131.82001
are,2011,77.09
are,2012,77.32
are,2013,78.37
are,2014,93.31
are,2015,98.76
are,2016,107.93
are,2017,104.18
are,2018,110.18
are,2019,111.74
arg,1961,31.47
arg,1962,33.26
arg,1963,36.27
arg,1964,33.71
arg,1965,31.99
arg,1966,35.6
arg,1967,39.02
arg,1968,37
arg,1969,39.88
arg,1970,38.94
arg,1971,36.38
arg,1972,36.24
arg,1973,37.75
arg,1974,39.91
arg,1975,40.8
arg,1976,45.12
arg,1977,44.84
arg,1978,48.17
arg,1979,48.59
arg,1980,44.64
arg,1981,48.25
