geo,time,sh_sta_owgh_zs
afg,1997,6.5
afg,2004,4.6
afg,2013,5.3
afg,2018,4.1
ago,1996,1.7
ago,2015,3.4
alb,1997,9.5
alb,2000,30.1
alb,2005,24.8
alb,2009,23.2
alb,2017,16.4
arg,1994,11.1
arg,1996,13.5
arg,2005,9.9
arg,2019,13.6
arm,1998,10.8
arm,2000,15.7
arm,2005,11.4
arm,2010,16.5
arm,2016,13.7
aus,1995,7.9
aus,2007,7.7
aus,2014,17.9
aus,2017,22
aze,1996,6.1
aze,2000,6.2
aze,2001,4.4
aze,2006,13.9
aze,2011,10.4
aze,2013,14.1
bdi,1987,1.3
bdi,2000,1.5
bdi,2010,2.9
bdi,2016,1.4
bdi,2018,1.8
bdi,2019,2.8
bel,2014,3.9
ben,1996,2.4
ben,2001,3.1
ben,2008,1.5
ben,2014,1.7
ben,2018,1.9
bfa,1993,2.8
bfa,1999,1.9
bfa,2010,2.8
bfa,2011,0.7
bfa,2012,0.6
bfa,2013,0.8
bfa,2014,1.1
bfa,2015,0.9
bfa,2016,1.2
bfa,2017,1.7
bfa,2018,1
bfa,2019,1.6
bgd,1986,0.2
bgd,1990,0.6
bgd,1991,0.3
bgd,1992,0.2
bgd,1993,0.4
bgd,1994,0.2
bgd,1995,0.2
bgd,1996,0.3
bgd,1997,2.4
bgd,1998,0.2
bgd,1999,0.6
bgd,2000,0.9
bgd,2001,0.9
bgd,2002,1
bgd,2003,1
bgd,2004,0.9
bgd,2005,1
bgd,2006,0.8
bgd,2007,1.1
bgd,2011,1.9
bgd,2013,2.6
bgd,2014,1.6
bgd,2018,2.2
bgd,2019,2.4
bgr,2004,13.6
bgr,2007,6.9
bgr,2014,6.9
bhr,1989,7.5
bih,2000,16.3
bih,2006,25.7
bih,2012,17.4
blr,2005,9.7
blz,2006,13.6
blz,2011,7.9
blz,2015,7.3
bol,1989,7.4
bol,1994,6.7
bol,1998,10.7
bol,2003,9.2
bol,2008,8.7
bol,2012,7.4
bol,2016,10.1
bra,1989,7.4
bra,1996,6.1
bra,2007,6.4
brb,2012,12.2
brn,2009,8.3
btn,1987,3.5
btn,1999,3.9
btn,2008,5.4
btn,2010,7.6
bwa,2000,10.1
bwa,2007,10
caf,1994,3.7
caf,2000,10.8
caf,2006,8.6
caf,2010,1.8
caf,2012,2
caf,2014,2.1
caf,2018,1
caf,2019,1.5
can,2004,10.4
chl,1986,15.4
chl,1994,10.1
chl,1995,10.9
chl,1996,10.7
chl,1998,11.2
chl,1999,11.9
chl,2001,12.9
chl,2002,12
chl,2003,12.1
chl,2004,12.1
chl,2006,11.7
chl,2007,9.8
chl,2008,9.5
chl,2013,10.1
chl,2014,9.3
chn,1990,5.3
chn,1992,7.2
chn,1995,13.6
chn,1998,5.5
chn,2000,3.4
chn,2002,9.2
chn,2005,5.9
chn,2008,5.8
chn,2009,5.7
chn,2010,6.6
chn,2013,9.1
chn,2017,8.5
civ,1986,5.8
civ,1994,2.5
civ,1998,4.6
civ,2007,4.9
civ,2012,3.2
civ,2016,1.5
cmr,1991,4.7
cmr,1998,8.2
cmr,2004,8.7
cmr,2006,10.5
cmr,2011,6.5
cmr,2014,6.7
cmr,2018,11
cod,2001,6.7
cod,2007,7
cod,2010,4.9
cod,2013,4.4
cod,2017,3.8
cog,1987,1.6
cog,2005,8.5
cog,2011,3.5
cog,2014,5.9
col,1986,4.2
col,1995,4.5
col,2000,5.3
col,2005,4.2
col,2010,4.8
col,2016,5.7
com,1996,5.3
com,2000,21.5
com,2012,10.6
cri,1996,9.5
cri,2008,8.1
cri,2018,7.5
cub,2019,10.3
cze,1991,6.7
cze,2001,4.4
deu,2004,3.5
deu,2016,3.2
dji,2002,8.4
dji,2012,8.1
dom,1986,3.8
dom,1991,4.3
dom,1996,6.7
dom,2000,6.9
dom,2002,8.6
dom,2006,6.2
dom,2007,8.3
dom,2013,7.6
dza,1992,8.7
dza,1995,13.2
dza,2000,14.7
dza,2002,15.1
dza,2006,12.9
dza,2012,12.4
dza,2019,12.8
ecu,1999,2.6
ecu,2004,5.3
ecu,2006,5.2
ecu,2012,7.5
ecu,2014,8
ecu,2019,11.7
egy,1988,6.9
egy,1991,14.9
egy,1992,14.3
egy,1995,14.6
egy,2003,9.2
egy,2005,14.1
egy,2008,20.4
egy,2014,15.7
eri,1995,1.3
eri,2002,1.6
eri,2010,2.1
est,2014,5
eth,2000,2
eth,2005,5.1
eth,2011,1.8
eth,2014,2.9
eth,2016,2.9
eth,2019,2.1
fji,1993,2.2
fji,2004,5.1
gab,2000,5.5
gab,2012,7.7
geo,1999,17.9
geo,2005,20.8
geo,2009,19.8
geo,2018,6
gha,1988,0.8
gha,1993,2.5
gha,1997,2
gha,1998,2.7
gha,2003,4.5
gha,2006,2.6
gha,2008,5.7
gha,2011,2.6
gha,2014,2.6
gha,2017,1.4
gin,1999,4.4
gin,2005,5.2
gin,2007,6.4
gin,2012,3.8
gin,2016,4
gin,2018,5.6
gmb,2000,3
gmb,2006,2.7
gmb,2010,1.9
gmb,2012,1.1
gmb,2013,3.2
gmb,2018,2.5
gmb,2020,2.1
gnb,2000,5
gnb,2010,2.8
gnb,2012,1.9
gnb,2014,2.3
gnb,2019,2.2
gnq,1997,3.4
gnq,2000,14
gnq,2004,8.3
gnq,2011,9.7
grc,2003,13.6
gtm,1987,2.4
gtm,1995,6.2
gtm,1999,6.9
gtm,2000,7.3
gtm,2002,5.2
gtm,2009,4.9
gtm,2015,4.9
guy,1993,2.1
guy,1997,1.9
guy,2000,5.5
guy,2006,6.8
guy,2009,6.7
guy,2014,5.3
hnd,1987,2.7
hnd,1991,3
hnd,1996,2.8
hnd,2001,3
hnd,2006,5.8
hnd,2012,5.2
hti,1994,4.3
hti,2000,3.1
hti,2006,3.9
hti,2012,3.6
hti,2017,3.4
idn,1996,6.5
idn,2000,1.5
idn,2001,1.5
idn,2004,5.1
idn,2007,11.2
idn,2010,12.3
idn,2013,11.5
idn,2018,8
ind,1992,2.9
ind,1997,5.9
ind,1999,2.9
ind,2006,1.9
