geo,time,se_ter_cuat_ms_zs
lva,2016,11.60282
lva,2018,14.60202
lva,2019,17.03337
mda,2013,0.56878
mda,2014,0.68919
mda,2015,0.98497
mda,2018,1.11343
mda,2019,1.50034
mdg,2018,1.51721
mex,2010,1.31121
mex,2013,1.28283
mex,2014,1.24434
mex,2015,2.08774
mex,2016,1.39542
mex,2017,1.44282
mex,2018,1.5127
mex,2020,2.45361
mhl,2011,0.84366
mkd,2020,1.93279
mli,2020,1.01244
mlt,2013,4.23611
mlt,2014,4.21657
mlt,2015,4.42016
mlt,2016,4.52152
mlt,2018,6.64274
mlt,2020,9.47516
mmr,2019,0.26067
mng,2010,2.48403
mng,2020,3.13805
moz,2017,0.20817
mrt,2013,2.17324
mys,2016,1.58956
mys,2019,1.62221
ner,2012,0.55157
nga,2006,1.64274
nld,2013,10.06694
nld,2014,10.55713
nld,2015,10.7348
nld,2016,11.02006
nld,2018,11.72917
nld,2020,13.13615
nld_curacao,2020,13.94504
nor,2014,9.68177
nor,2015,10.12218
nor,2016,10.48951
nor,2017,10.86816
nor,2019,11.54902
npl,2011,1.39316
nzl,2014,4.36584
nzl,2015,3.94445
nzl,2016,4.87721
nzl,2020,6.23069
omn,2010,2.1957
omn,2015,1.81649
omn,2020,1.64216
pan,2010,2.37209
pan,2019,16.80098
per,2014,2.8356
per,2015,1.64221
per,2018,11.89413
phl,2010,0.47787
phl,2013,0.46271
phl,2017,0.39085
phl,2019,0.57925
pol,2013,17.91768
pol,2014,18.74454
pol,2016,19.26776
pol,2020,21.89411
pri,2012,6.0364
pri,2017,2.11557
prt,2014,13.51679
prt,2015,13.94134
prt,2016,14.29547
prt,2017,14.22251
prt,2018,13.64159
prt,2019,15.10509
prt,2020,16.1905
pry,2012,4.60772
pry,2013,7.0973
pry,2014,6.41116
pry,2015,6.65256
pry,2016,6.67169
pry,2018,6.95967
pry,2019,7.29219
pry,2020,6.6434
pse,2013,1.65216
pse,2014,1.56519
pse,2015,1.60414
pse,2016,1.55925
pse,2017,1.79826
pse,2018,1.70117
pse,2020,1.94667
qat,2016,1.43531
qat,2017,1.46228
rou,2014,9.26996
rwa,2012,0.24161
rwa,2014,0.20582
rwa,2018,0.30414
sau,2013,0.55492
sau,2017,2.51828
sau,2020,3.59057
sen,2011,1.15808
sen,2013,1.9358
sen,2017,1.53393
slv,2013,0.26379
smr,2018,11.08551
