geo,time,se_prm_tchr
abw,1999,473
abw,2000,486
abw,2001,498
abw,2002,516
abw,2003,537
abw,2004,552
abw,2005,567
abw,2006,572
abw,2007,594
abw,2008,579
abw,2009,582
abw,2010,586
abw,2011,604
abw,2012,601
afg,1970,13116
afg,1971,14651
afg,1972,14796
afg,1973,16293
afg,1974,17579
afg,1975,18558
afg,1976,20406
afg,1989,17089
afg,1990,15106
afg,1993,16160
afg,1994,20055
afg,1998,32593
afg,1999,26385
afg,2006,110313
afg,2007,110312
afg,2008,113763
afg,2009,115454
afg,2010,118858
afg,2011,121593
afg,2012,129093
afg,2013,130957
afg,2015,142880
afg,2016,140529
afg,2017,132347
afg,2018,134145
afg,2019,135751
ago,1971,9786
ago,1972,11343
ago,1973,12622
ago,1974,17831
ago,1982,40027
ago,1983,32004
ago,1984,33521
ago,1985,29191
ago,1986,31161
ago,1987,30310
ago,1988,31658
ago,1989,31953
ago,1991,31062
ago,1992,36402
ago,1998,32144
ago,2007,86769
ago,2010,93734
ago,2011,118158
ago,2015,112352
ago,2016,95827
alb,1997,13342
alb,2000,12551
alb,2001,12607
alb,2003,11762
alb,2008,10277
alb,2009,11701
alb,2010,11409
alb,2011,10854
alb,2012,10605
alb,2013,10402
alb,2014,10343
alb,2015,10119
alb,2016,9867
alb,2017,9743
alb,2018,9723
alb,2019,9778
alb,2020,9668
and,1975,142
and,1983,355
and,2002,324
and,2003,343
and,2004,337
and,2005,356
and,2006,413
and,2007,432
and,2008,448
and,2009,433
and,2010,453
and,2011,433
and,2012,431
and,2013,436
and,2014,427
and,2015,419
and,2016,422
and,2017,406
and,2018,412
and,2019,411
and,2020,411
are,1971,806
are,1972,1103
are,1973,1553
are,1974,2022
are,1975,2727
are,1976,3191
are,1977,3876
are,1978,4179
are,1979,4474
are,1980,4949
are,1981,5424
are,1982,4838
are,1983,5290
are,1984,5278
are,1985,5691
are,1986,6123
are,1987,6793
are,1988,7220
are,1989,10785
are,1990,11921
are,1991,12526
are,1992,13139
are,1993,13940
are,1994,14754
are,1995,15449
are,1996,15779
are,1997,16148
are,1998,16563
are,1999,16889
are,2000,16916
are,2001,17573
are,2002,18704
are,2003,16323
are,2004,16971
are,2005,17255
are,2006,17596
are,2007,16523
are,2009,19503
are,2010,19401
are,2011,19664
are,2012,20019
are,2013,23440
are,2014,21644
are,2015,19518
are,2016,19073
are,2019,29769
are,2020,24646
arg,1970,175929
arg,1971,181230
arg,1972,184508
arg,1973,183796
arg,1974,185566
arg,1975,195997
arg,1976,199256
arg,1977,199384
arg,1979,206275
arg,1980,193640
arg,1981,200388
arg,1982,206535
arg,1984,218520
arg,1985,229715
arg,1986,238818
arg,1987,252259
arg,1988,259579
arg,1994,295488
arg,1996,313764
arg,1997,309162
arg,1998,234143
arg,1999,221495
arg,2000,244412
arg,2001,274580
arg,2002,283403
arg,2004,274232
arg,2005,279349
arg,2006,286782
arg,2007,302654
arg,2008,288776
arm,1991,12556
arm,1994,12908
arm,1996,13283
arm,1997,16073
arm,1998,15999
arm,1999,15926
arm,2001,8666
arm,2002,7640
arm,2003,7635
arm,2004,6646
arm,2005,5904
arm,2006,5720
arm,2007,6606
arm,2018,9950
arm,2019,7215
arm,2020,8066
asm,1971,350
asm,1972,330
asm,1973,328
asm,1976,302
asm,1977,310
asm,1982,395
asm,1984,346
asm,1985,359
asm,1986,454
asm,1987,463
asm,1988,503
asm,1989,469
asm,1990,461
asm,1991,475
asm,1992,524
atg,1972,472
atg,1974,440
atg,1975,460
atg,1976,524
atg,1977,419
atg,1978,414
atg,1979,390
atg,2000,695
atg,2007,538
atg,2008,675
atg,2009,695
atg,2010,747
atg,2011,748
atg,2012,755
atg,2014,714
