geo,time,sl_fam_0714_fe_zs
afg,2011,74.31
ago,2001,81.2
alb,2005,96.3
alb,2010,98.23
arg,2004,60.41
arg,2012,73.27
arm,2010,95.72
aze,2005,96.3
bdi,2010,85.12
ben,2012,80.57
bfa,2006,95.2
bfa,2010,89.6
bgd,2006,73.2
bgd,2013,50.35
bih,2006,94.36
blr,2005,84.5
blr,2012,82.87
bol,2009,91.27
bol,2013,94.01
bol,2015,92.57
bra,2011,58.27
bra,2013,57.88
bra,2014,63.21844
bra,2015,61.51
caf,2006,71.63
caf,2010,85.01
civ,2006,89.52
civ,2012,85.89
cmr,2007,88.71
cmr,2011,71.29
cod,2010,80.9
cog,2005,86.34
cog,2012,83.59
col,2009,71.21
col,2012,73.06
col,2014,78.14
col,2015,72.79
cri,2011,85.1
cri,2016,54.59
dom,2009,41
dom,2012,43.66
dza,2013,87
ecu,2011,84.32
ecu,2015,96.84
egy,2005,91.74
egy,2009,27.91
eth,2011,90.37
gab,2012,82.96
geo,2006,78
gha,2006,76.87
gha,2012,97.1
gin,2010,91.65
gin,2012,86.84
gmb,2015,94.56
gnb,2006,88.45
gtm,2006,77.98
gtm,2012,79.28
gtm,2014,79.06
gtm,2015,65.98635
hnd,2007,72.36
hnd,2011,69.13
hnd,2013,74.88
hnd,2014,75.28
hti,2006,84.15
hti,2012,80.85
idn,2010,83.11
ind,2010,64.4
ind,2012,60.78
irq,2006,92.45
irq,2011,88.56
jam,2005,81
jam,2011,80.41
jor,2007,76.69
jor,2016,97.3
kaz,2006,72.5
kgz,2007,98.09
kgz,2014,96.01398
khm,2009,85.04
khm,2012,75.67
lao,2006,91.25
lao,2010,78.29
lbr,2010,81.32
lka,2009,95.86
lso,2000,84.58
mda,2009,99.14
mdg,2007,91.04
mex,2011,62.41
mex,2013,59.72
mkd,2006,86.1
mkd,2011,71.78
mli,2007,77.83
mli,2013,82.6
mng,2007,94.51
mng,2012,98.34
moz,2008,91.53
mrt,2007,91.29
mrt,2011,87.02
mwi,2006,75.31
mwi,2015,86.13
nam,1999,96.5
ner,2009,93.18
ner,2012,72.08
nga,2007,83.09
nga,2011,86.43
nic,2005,89.78
nic,2010,85.38
nic,2012,86.66
npl,1999,92.9
npl,2008,92.51
pak,2011,78.39
pan,2008,78.6
pan,2010,85.63
pan,2012,80.32
pan,2014,88.31
per,2007,90.25
phl,2001,75.9
phl,2011,78.35
pry,2005,53.17
pry,2014,60.96
rou,2000,95.22
rwa,2008,72.78
rwa,2010,82.78
rwa,2011,61.43
sdn,2008,66.38
sen,2011,85.51
sle,2008,71.37
sle,2010,64.66
sle,2013,63.07
slv,2011,86.13
slv,2012,87.55
slv,2013,85.6
som,2006,93.13
srb,2005,94.12
ssd,2008,73.67
swz,2010,78.35
syr,2006,80.37
tcd,2004,76.25
tcd,2010,63.83
tgo,2010,88.64
tha,2005,78.76
tha,2006,78.76
tjk,2005,70.49
tto,2006,23.54
tun,2012,82.37
tur,2006,63.73
tza,2006,40.05
tza,2011,93.54
tza,2014,96.16
uga,2006,96.95
uga,2012,86.47
ukr,2005,78.99
ukr,2012,91.79
ury,2009,45.34
uzb,2005,80.19
uzb,2006,80.19
ven,2006,48.54
ven,2013,68.39
vnm,2011,85.52
vnm,2012,86.71
yem,2006,90.49
yem,2010,97.67
zaf,1999,84.39
zmb,2008,93.55
zwe,1999,67.5
