global,time,ip_tmk_rsct
world,2004,3066100
world,2005,3379800
world,2006,3620900
world,2007,3789100
world,2008,3742300
world,2009,3775600
world,2010,4267000
world,2011,4634800
world,2012,4933500
world,2013,5292700
world,2014,5862400
world,2015,6792100
world,2016,7798100
world,2017,10268000
world,2018,11982100
world,2019,12769600
world,2020,14809400
