geo,time,hd_hci_ovrl_lb_fe
guy,2017,0.503
guy,2018,0.49705
guy,2020,0.49754
hkg,2010,0.78996
hkg,2017,0.82
hkg,2018,0.83584
hkg,2020,0.83643
hnd,2017,0.485
hnd,2018,0.47842
hnd,2020,0.47894
hrv,2010,0.72486
hrv,2017,0.735
hrv,2018,0.74312
hrv,2020,0.72822
hti,2017,0.441
hti,2018,0.4386
hti,2020,0.43974
hun,2010,0.71505
hun,2017,0.715
hun,2018,0.71814
hun,2020,0.69596
idn,2010,0.4999
idn,2017,0.542
idn,2018,0.53957
idn,2020,0.54549
ind,2017,0.442
ind,2018,0.48688
ind,2020,0.4955
irl,2010,0.77986
irl,2018,0.81104
irl,2020,0.79401
irn,2010,0.56699
irn,2017,0.583
irn,2018,0.59813
irn,2020,0.59891
irq,2017,0.399
irq,2018,0.40575
irq,2020,0.41597
isl,2010,0.7659
isl,2017,0.749
isl,2018,0.75556
isl,2020,0.75943
isr,2010,0.73152
isr,2018,0.76793
isr,2020,0.75179
ita,2010,0.76151
ita,2017,0.764
ita,2018,0.74992
ita,2020,0.72929
jam,2017,0.538
jam,2018,0.54969
jam,2020,0.54342
jor,2010,0.57424
jor,2017,0.568
jor,2018,0.5617
jor,2020,0.56768
kaz,2010,0.61893
kaz,2017,0.76
kaz,2018,0.79247
kaz,2020,0.64416
kgz,2017,0.592
kgz,2018,0.605
kgz,2020,0.60689
kir,2018,0.47825
kir,2020,0.50227
kna,2018,0.57488
kna,2020,0.58558
kor,2010,0.83728
kor,2017,0.833
kor,2018,0.84166
kor,2020,0.80216
kos,2017,0.566
kos,2018,0.58088
kos,2020,0.57718
kwt,2010,0.59325
kwt,2017,0.578
kwt,2018,0.58125
kwt,2020,0.58506
lao,2017,0.443
lao,2018,0.44939
lao,2020,0.44935
lbn,2017,0.525
lbr,2017,0.305
lbr,2018,0.30672
lbr,2020,0.30751
lca,2018,0.60119
lca,2020,0.61102
lso,2010,0.34256
ltu,2010,0.74402
ltu,2017,0.748
ltu,2018,0.76616
ltu,2020,0.74664
lux,2010,0.71335
lux,2017,0.699
lux,2018,0.69511
lux,2020,0.69344
lva,2010,0.71858
lva,2017,0.759
lva,2018,0.77626
lva,2020,0.73767
mac,2010,0.66667
mac,2017,0.781
mac,2018,0.78239
mac,2020,0.81038
mar,2010,0.46545
mar,2017,0.501
mar,2018,0.49376
mar,2020,0.50464
mda,2010,0.57093
mda,2017,0.59
mda,2018,0.59491
mda,2020,0.59568
mdg,2010,0.38093
mdg,2017,0.365
mdg,2018,0.37796
mdg,2020,0.38463
mex,2010,0.59798
mex,2017,0.611
mex,2018,0.61764
mex,2020,0.61627
mhl,2018,0.40024
mhl,2020,0.42074
mkd,2010,0.538
mkd,2017,0.541
mkd,2018,0.54281
mkd,2020,0.5659
mli,2017,0.286
mli,2018,0.30887
mli,2020,0.30544
