global,time,se_sec_uner_lo_ma_zs
world,1998,23.11112
world,1999,23.21296
world,2000,22.51905
world,2001,22.26879
world,2002,21.34231
world,2003,19.8976
world,2004,19.28219
world,2005,18.49747
world,2006,18.27216
world,2007,17.52038
world,2008,17.48392
world,2009,17.29958
world,2010,16.79679
world,2011,16.70002
world,2012,16.3569
world,2013,16.51265
world,2014,16.70139
world,2015,15.84634
world,2016,15.65846
world,2017,15.68528
world,2018,15.26134
world,2019,15.62344
world,2020,15.69143
