global,time,dc_dac_korl_cd
world,1960,0
world,1961,0
world,1962,0
world,1963,0
world,1964,0
world,1965,0
world,1966,0
world,1967,0
world,1968,0
world,1969,0
world,1970,0
world,1971,0
world,1972,0
world,1973,0
world,1974,0
world,1975,0
world,1976,0
world,1977,0
world,1978,0
world,1979,0
world,1980,0
world,1981,0
world,1982,0
world,1983,0
world,1984,0
world,1985,0
world,1986,0
world,1987,1399999.97616
world,1988,2059999.94278
world,1989,5090000.15259
world,1990,12340000.15259
world,1991,32740001.67847
world,1992,46529998.7793
world,1993,103489997.86377
world,1994,88709999.08447
world,1995,118379997.25342
world,1996,144729995.72754
world,1997,135259994.50684
world,1998,109650001.52588
world,1999,153479995.72754
world,2000,141639999.38965
world,2001,181270004.27246
world,2002,230550003.05176
world,2003,247649993.89648
world,2004,330239990.23438
world,2005,463470001.2207
world,2006,376209991.45508
world,2007,492320007.32422
world,2008,538880004.88281
world,2009,580760009.76562
world,2010,899940002.44141
world,2011,989070007.32422
world,2012,1182540039.0625
world,2013,1308660034.17969
world,2014,1394969970.70313
world,2015,1468199951.17188
world,2016,1547699951.17188
world,2017,1614069946.28906
world,2018,1799020019.53125
world,2019,1909280029.29688
