geo,time,sl_emp_vuln_ma_zs
afg,1991,89.08
afg,1992,89.27
afg,1993,89.88
afg,1994,90.54
afg,1995,90.27
afg,1996,90.58
afg,1997,90.87
afg,1998,91.13
afg,1999,91.44
afg,2000,91.88
afg,2001,92.4
afg,2002,91.46
afg,2003,91.04
afg,2004,90.96
afg,2005,90.51
afg,2006,90.25
afg,2007,89.58
afg,2008,89.26
afg,2009,87.76
afg,2010,86.16
afg,2011,85.23
afg,2012,83.61
afg,2013,82.22
afg,2014,81.02
afg,2015,79.93
afg,2016,78.76
afg,2017,77.19
afg,2018,76.95
afg,2019,76.7
ago,1991,50.25
ago,1992,49.97
ago,1993,50.62
ago,1994,49.86
ago,1995,49.66
ago,1996,48.96
ago,1997,48.9
ago,1998,48.79
ago,1999,47
ago,2000,46.58
ago,2001,46.67
ago,2002,46.07
ago,2003,45.99
ago,2004,44.79
ago,2005,44.66
ago,2006,45.57
ago,2007,45.85
ago,2008,46.74
ago,2009,51.43
ago,2010,53
ago,2011,54.57
ago,2012,54.65
ago,2013,55.77
ago,2014,57.17
ago,2015,58.62
ago,2016,59.65
ago,2017,60.71
ago,2018,61.88
ago,2019,62.71
alb,1991,61.87
alb,1992,62.99
alb,1993,63.23
alb,1994,63.42
alb,1995,63.28
alb,1996,62.99
alb,1997,63.38
alb,1998,62.82
alb,1999,61.84
alb,2000,60.89
alb,2001,59.67
alb,2002,58.79
alb,2003,57.82
alb,2004,56.77
alb,2005,55.73
alb,2006,54.35
alb,2007,53.26
alb,2008,52.43
alb,2009,50.72
alb,2010,49.83
alb,2011,55.58
alb,2012,57.33
alb,2013,54.77
alb,2014,54.39
alb,2015,56.53
alb,2016,56.22
alb,2017,54.46
alb,2018,52.54
alb,2019,51.3
are,1991,1.79
are,1992,1.8
are,1993,1.82
are,1994,1.83
are,1995,1.82
are,1996,1.82
are,1997,1.81
are,1998,1.84
are,1999,1.85
are,2000,1.8
are,2001,1.83
are,2002,1.84
are,2003,1.8
are,2004,1.74
are,2005,1.71
are,2006,1.52
are,2007,1.39
are,2008,1.26
are,2009,1.13
are,2010,1
are,2011,0.85
are,2012,0.73
are,2013,0.61
are,2014,0.51
are,2015,0.43
are,2016,0.36
are,2017,0.65
are,2018,0.68
are,2019,0.88
arg,1991,23.64
arg,1992,23.88
arg,1993,25.29
arg,1994,24.69
arg,1995,25.03
arg,1996,25.41
arg,1997,24.42
arg,1998,24.13
arg,1999,24.09
arg,2000,24.37
arg,2001,25.46
arg,2002,27.85
arg,2003,24.94
arg,2004,23.65
arg,2005,23.34
arg,2006,22.22
arg,2007,21.01
arg,2008,20.98
arg,2009,21.48
arg,2010,20.82
arg,2011,20.37
arg,2012,21.06
arg,2013,21.76
arg,2014,22.21
