global,time,sl_emp_vuln_zs
world,1991,53.22372
world,1992,53.11559
world,1993,53.0225
world,1994,52.82995
world,1995,52.64892
world,1996,52.44814
world,1997,52.32401
world,1998,52.43935
world,1999,52.48927
world,2000,52.26959
world,2001,51.9572
world,2002,51.76718
world,2003,51.57225
world,2004,51.04875
world,2005,50.49604
world,2006,49.76456
world,2007,49.07814
world,2008,48.55981
world,2009,48.42215
world,2010,47.92666
world,2011,47.24325
world,2012,46.48171
world,2013,46.0622
world,2014,45.61335
world,2015,45.16706
world,2016,44.80355
world,2017,44.43127
world,2018,43.97602
world,2019,43.638
