geo,time,sl_ind_empl_ma_zs
afg,1991,12.05
afg,1992,11.83
afg,1993,11.16
afg,1994,11.04
afg,1995,11.11
afg,1996,10.69
afg,1997,10.31
afg,1998,9.97
afg,1999,9.6
afg,2000,9.16
afg,2001,8.71
afg,2002,9.75
afg,2003,10.15
afg,2004,10.52
afg,2005,11.29
afg,2006,11.79
afg,2007,12.11
afg,2008,12.4
afg,2009,13.43
afg,2010,14.34
afg,2011,14.29
afg,2012,15.18
afg,2013,15.59
afg,2014,15.88
afg,2015,16.13
afg,2016,15.99
afg,2017,16.44
afg,2018,16.89
afg,2019,16.85
ago,1991,15.45
ago,1992,15.27
ago,1993,15.09
ago,1994,14.99
ago,1995,14.91
ago,1996,14.89
ago,1997,14.92
ago,1998,14.98
ago,1999,15.09
ago,2000,15.25
ago,2001,15.41
ago,2002,15.69
ago,2003,15.98
ago,2004,16.32
ago,2005,15.97
ago,2006,15.59
ago,2007,15.2
ago,2008,14.7
ago,2009,14.3
ago,2010,14.28
ago,2011,14.72
ago,2012,14.71
ago,2013,14.59
ago,2014,14.37
ago,2015,14.09
ago,2016,13.76
ago,2017,13.4
ago,2018,13.04
ago,2019,12.7
alb,1991,15.26
alb,1992,15.05
alb,1993,15.35
alb,1994,15.61
alb,1995,15.97
alb,1996,15.62
alb,1997,15.66
alb,1998,15.62
alb,1999,16.24
alb,2000,17.19
alb,2001,18.5
alb,2002,19.69
alb,2003,20.13
alb,2004,20.76
alb,2005,21.51
alb,2006,22.48
alb,2007,23.17
alb,2008,24.28
alb,2009,26.56
alb,2010,27.67
alb,2011,24.31
alb,2012,22.41
alb,2013,21.78
alb,2014,22.06
alb,2015,21.97
alb,2016,22.66
alb,2017,22.43
alb,2018,22.67
alb,2019,22.88
are,1991,35.67
are,1992,35.76
are,1993,35.97
are,1994,36.03
are,1995,36.23
are,1996,36.29
are,1997,36.4
are,1998,36.33
are,1999,36.11
are,2000,36.06
are,2001,36.29
are,2002,36.43
are,2003,37.01
are,2004,37.45
are,2005,37.8
are,2006,38.53
are,2007,39.07
are,2008,39.3
are,2009,39.26
are,2010,39.01
are,2011,38.85
are,2012,39.01
are,2013,39.21
are,2014,39.74
are,2015,40.35
are,2016,40.52
are,2017,40.35
are,2018,40.45
are,2019,40.06
arg,1991,41.41
arg,1992,41.25
arg,1993,38.55
arg,1994,37.98
arg,1995,34.91
arg,1996,33.46
arg,1997,35.03
arg,1998,34.92
arg,1999,32.81
arg,2000,31.58
arg,2001,30.41
arg,2002,28
arg,2003,29.06
arg,2004,30.95
arg,2005,31.96
arg,2006,32.7
arg,2007,33.21
arg,2008,33.46
arg,2009,32.68
arg,2010,32.89
arg,2011,33.61
arg,2012,33.43
arg,2013,34.27
arg,2014,35
arg,2015,34.14
arg,2016,32.8
arg,2017,31.98
arg,2018,31.31
arg,2019,31.2
arm,1991,21.68
arm,1992,20.98
arm,1993,20.51
arm,1994,20.44
arm,1995,20.33
arm,1996,20.18
arm,1997,20.14
arm,1998,20.51
arm,1999,20.71
arm,2000,21.22
arm,2001,21.9
arm,2002,22.9
arm,2003,24.02
arm,2004,25.08
arm,2005,26.42
arm,2006,27.75
arm,2007,28.62
arm,2008,28.21
arm,2009,26.97
arm,2010,26.71
arm,2011,25.61
arm,2012,26.58
arm,2013,26
arm,2014,24.11
arm,2015,23.14
arm,2016,22.59
arm,2017,23.54
arm,2018,32.67
arm,2019,35.85
aus,1991,31.71
aus,1992,31.71
aus,1993,31.67
aus,1994,31.72
aus,1995,31.22
aus,1996,30.61
aus,1997,30.32
aus,1998,30.13
aus,1999,29.76
aus,2000,30.47
aus,2001,29.59
aus,2002,29.92
aus,2003,29.95
aus,2004,30.68
aus,2005,30.65
aus,2006,31.18
aus,2007,31.15
aus,2008,31.66
aus,2009,31.27
aus,2010,31.1
aus,2011,30.97
aus,2012,30.96
aus,2013,30.63
aus,2014,30.53
aus,2015,29.34
aus,2016,29.17
aus,2017,29.6
aus,2018,30.09
aus,2019,29.17
aut,1991,44.71
aut,1992,44.45
aut,1993,43.91
aut,1994,43.89
aut,1995,43.13
aut,1996,41.51
aut,1997,41.12
aut,1998,41.37
aut,1999,41.88
aut,2000,42.27
aut,2001,41.45
aut,2002,41.57
aut,2003,41.67
aut,2004,37.77
aut,2005,39.65
aut,2006,40.36
aut,2007,39.2
aut,2008,37.95
aut,2009,36.59
aut,2010,36.46
aut,2011,37.74
aut,2012,37.77
aut,2013,37.17
aut,2014,37.25
aut,2015,37.79
aut,2016,37.58
aut,2017,36.84
aut,2018,37.25
aut,2019,37.16
aze,1991,16.45
aze,1992,15.92
aze,1993,15.21
aze,1994,14.52
aze,1995,14.07
aze,1996,13.88
aze,1997,13.83
