geo,time,sh_sta_stnt_fe_zs
afg,2004,58.5
afg,2013,39.5
afg,2018,38.1
ago,1996,59.3
ago,2007,26.1
ago,2015,34.1
alb,2000,38.2
alb,2005,23.8
alb,2009,23.6
alb,2017,11
arg,2005,8.1
arg,2019,7.1
arm,1998,15.9
arm,2000,16.9
arm,2005,17.4
arm,2010,20
arm,2016,7.8
aze,2000,23.8
aze,2006,24.6
aze,2011,15.5
aze,2013,17.5
bdi,2000,61.3
bdi,2010,53.2
bdi,2016,52.4
bdi,2018,53.1
bdi,2019,50.7
bel,2014,3.1
ben,2001,34.3
ben,2008,33.7
ben,2014,32.4
ben,2018,29.1
bfa,1993,36.4
bfa,1999,38.8
bfa,2009,32
bfa,2010,32.5
bfa,2011,30.8
bfa,2012,28.7
bfa,2013,28.7
bfa,2014,26.1
bfa,2015,26.5
bfa,2016,23
bfa,2017,19.4
bfa,2018,22
bfa,2019,21.3
bgd,1997,59
bgd,2000,50.9
bgd,2004,49.7
bgd,2007,42.7
bgd,2011,42
bgd,2013,37.8
bgd,2014,35.5
bgd,2018,30.9
bgd,2019,27.9
bgr,2007,9.2
bgr,2014,4.1
bih,2000,11
bih,2006,10.7
bih,2012,8.9
blr,2005,4.2
blz,2006,20.2
blz,2011,20
blz,2015,13.7
bol,1998,32
bol,2003,31.4
bol,2008,26.2
bol,2012,16.3
bol,2016,16.1
bra,1989,18.5
bra,1996,11.1
bra,2007,5.8
brb,2012,6.4
brn,2009,16.7
btn,1999,43.4
btn,2008,31.7
btn,2010,33.6
bwa,2000,26.7
bwa,2007,26.3
caf,2000,42.3
caf,2006,40.5
caf,2010,37.9
caf,2012,37.6
caf,2014,34.5
caf,2018,33.5
caf,2019,37.4
chl,2008,1.8
chl,2013,1.6
chl,2014,1.6
chn,1990,33.3
chn,1992,37.1
chn,1995,30.3
chn,1998,19.3
chn,2000,17.1
chn,2002,20.8
chn,2005,10.7
chn,2010,8.9
chn,2013,7.2
civ,1986,16.5
civ,1998,30.7
civ,2007,37.8
civ,2012,27.2
civ,2016,19.9
cmr,1991,29.1
cmr,2004,34.3
cmr,2006,34.5
cmr,2011,30.2
cmr,2014,29.8
cmr,2018,26.6
cod,2001,41.3
cod,2007,43.3
cod,2010,39.5
cod,2013,40.3
cod,2017,38.2
cog,2005,29.1
cog,2011,23.8
cog,2014,20
col,1995,17.2
col,2000,17.2
col,2005,14.4
col,2010,11.4
col,2016,11
com,2000,47.4
com,2012,29.2
cri,2008,6.6
cri,2018,7.7
cub,2019,6.5
cze,2001,2.2
deu,2004,1.2
deu,2016,2.2
dji,2002,26.2
dji,2012,33.3
dom,1991,18.1
dom,1996,11.2
dom,2000,6.3
dom,2002,10.1
dom,2006,6.8
dom,2007,9.1
dom,2013,6.1
dza,1992,22.7
dza,1995,22
dza,2000,22.2
dza,2002,22.2
dza,2006,14.2
dza,2012,10.7
dza,2019,7.9
ecu,1999,26.7
ecu,2004,27.3
ecu,2006,24
ecu,2012,24.6
ecu,2014,21.8
ecu,2019,21.2
egy,1991,34.1
egy,1992,30.8
egy,1995,33.2
egy,2000,22.3
egy,2003,17.9
egy,2005,22.2
egy,2008,28.4
egy,2014,20.8
eri,2002,41.3
eri,2010,51.6
est,2014,1.8
eth,2000,55.8
eth,2005,48.7
eth,2011,42.6
eth,2014,39.7
eth,2016,35.2
eth,2019,33.4
fji,2004,6.9
gab,2000,23.3
gab,2012,14.7
geo,2005,13.5
geo,2009,10.3
geo,2018,6.4
gha,1997,32.2
gha,1998,27.7
gha,2003,32.6
gha,2006,26
gha,2008,26.6
gha,2011,20.3
gha,2014,17
gha,2017,15.6
gin,1999,28.8
gin,2005,36.5
gin,2007,32
gin,2012,29.9
gin,2016,30.3
gin,2018,26.8
gmb,2000,22.1
gmb,2006,26.7
gmb,2010,21.3
gmb,2012,18.6
gmb,2013,23.1
gmb,2018,12.6
gmb,2020,16.4
gnb,2000,31.6
gnb,2010,29.5
gnb,2012,23.5
gnb,2014,26.1
gnb,2019,24.8
gnq,1997,34.3
gnq,2000,39.3
gnq,2004,33.8
gnq,2011,22.2
grc,2003,1.9
gtm,1995,54
gtm,1999,51.5
gtm,2000,51
gtm,2002,54.2
gtm,2009,51.6
gtm,2015,46.1
guy,1993,14.6
guy,2000,12.7
guy,2006,17.3
guy,2009,18.4
guy,2014,9.9
hnd,1991,42
hnd,2001,33.4
hnd,2006,28.2
hnd,2012,20.8
hti,1994,36.4
hti,2000,26.2
hti,2006,26.3
hti,2012,20.5
hti,2017,19.9
idn,2000,41
idn,2001,40
idn,2004,27.4
idn,2007,38.8
idn,2010,37.6
idn,2013,35.5
idn,2018,29.7
ind,2006,47.8
ind,2014,37.9
ind,2015,37.5
ind,2017,34
irn,2010,6.6
irq,2000,27.4
irq,2006,26.2
irq,2011,21.3
irq,2018,13
jam,1989,7.9
jam,1991,6.5
jam,1992,12.7
jam,1994,10.3
jam,1995,7.7
jam,1996,8.6
jam,1997,6.7
jam,1998,6.2
jam,1999,4.1
jam,2000,3.6
jam,2001,2.8
jam,2002,7.1
jam,2004,3.7
jam,2006,8.8
jam,2007,5.2
jam,2008,4.5
jam,2010,5
jam,2012,6.5
jam,2014,4.9
jam,2016,9
jor,1990,18.6
jor,1997,10.3
jor,2002,11.8
jor,2009,8.5
jor,2012,6.2
jpn,2010,6.5
kaz,1999,12.8
kaz,2006,16.9
kaz,2010,13
kaz,2015,8.3
ken,1993,36.5
ken,1994,38.9
ken,2000,37.2
ken,2003,32.1
ken,2005,36.2
ken,2008,33.4
ken,2011,26
ken,2014,22.4
kgz,2006,17.5
kgz,2009,22.1
kgz,2012,15.4
kgz,2014,12
kgz,2018,10.9
khm,1996,56.1
khm,2000,48.5
khm,2005,40.1
khm,2008,37.4
khm,2010,38.1
khm,2014,31.9
kir,2018,14
kor,2003,2.5
kwt,2001,3.4
kwt,2002,2.7
kwt,2003,3.2
kwt,2004,4.2
kwt,2005,3.8
kwt,2006,4.9
kwt,2007,4.3
kwt,2008,5
kwt,2009,3.4
kwt,2010,3.6
kwt,2011,3.7
kwt,2012,4.4
kwt,2013,4.6
kwt,2014,4.5
lao,2000,46.2
lao,2006,47
lao,2011,42.6
lao,2015,33.5
lao,2017,32.1
lbn,1996,17.1
lbn,2004,17
lbr,2000,41.5
lbr,2007,36.8
lbr,2010,35.9
lbr,2013,29
lbr,2016,28
lbr,2019,27.9
lby,1995,19.3
lby,2007,19.6
lby,2014,36.9
lca,2012,1
lka,1993,29.4
lka,2000,19.4
lka,2007,17.3
lka,2009,18.7
lka,2012,14.5
lka,2016,16.6
lso,2004,41.9
lso,2009,35.2
lso,2014,28.1
lso,2018,32.7
mar,1987,29.8
mar,1992,29.1
mar,1997,26.9
mar,2003,21.8
mar,2011,13.9
mar,2017,12.6
mda,2005,10.8
mda,2012,7
mdg,1992,57.2
mdg,2004,51.1
mdg,2009,47.2
mdg,2012,46.3
mdg,2018,38.5
