geo,time,is_shp_good_tu
abw,2007,135000
abw,2008,140000
abw,2009,125000
abw,2010,49558
abw,2011,169719
abw,2012,167948
abw,2013,191838
abw,2014,29628
abw,2015,30000
abw,2016,62645
abw,2017,46322.5
abw,2018,54483.75
abw,2019,50403.13
ago,2010,583300
ago,2011,631250
ago,2012,830000
ago,2013,913000
ago,2014,1000000
ago,2015,956500
ago,2016,978250
ago,2017,570200
ago,2018,774225
ago,2019,672212.5
alb,2007,33127
alb,2008,46798
alb,2009,68780
alb,2010,26626.84
alb,2011,36566.72
alb,2012,36005.96
alb,2013,36491.7
alb,2014,32003.45
alb,2015,39699.53
alb,2016,30279.78
alb,2017,53273.59
alb,2018,13648
alb,2019,18479.35
are,2000,5055801
are,2001,5081964
are,2002,5872240
are,2003,6955202
are,2004,8661636
are,2005,9851709
are,2006,10967048
are,2007,13182412
are,2008,14756127
are,2009,14425039
are,2010,15177436
are,2011,16866912
are,2012,18120112
are,2013,18693112
are,2014,20223612
are,2015,21233200
are,2016,20413200
are,2017,19128300
are,2018,19054000
are,2019,19171000
are,2020,19297684
arg,2000,1144834
arg,2001,663811
arg,2002,554800
arg,2003,1025055
arg,2004,1251895
arg,2005,1490372
arg,2006,1757990
arg,2007,1874259
arg,2008,1997146
arg,2009,1626835.3556
arg,2010,1992900
arg,2011,2168077
arg,2012,1945310
arg,2013,2129277
arg,2014,1703267
arg,2015,1700265
arg,2016,1654692
arg,2017,1765973
arg,2018,2172990
arg,2019,1771628
arg,2020,1990008
asm,2010,59167.67
asm,2011,66334.73
asm,2012,59461.01
asm,2013,56599.88
asm,2014,57025
asm,2015,70288.38
asm,2016,65969.06
asm,2017,92270.7
asm,2018,90245.84
asm,2019,76214.74
atg,2007,34081
atg,2008,32562
atg,2009,29150
atg,2010,26366
atg,2011,21824
atg,2012,24449
atg,2013,24842
atg,2014,26475
atg,2015,26500
atg,2016,31165
atg,2017,26487.5
atg,2018,28826.25
atg,2019,27656.88
aus,2000,3542802
aus,2001,3774845
aus,2002,4355020
aus,2003,4758428
aus,2004,5057346
aus,2005,5191013
aus,2006,5741962
aus,2007,6290090
aus,2008,6102342.1952
aus,2009,6200325.48531
aus,2010,6371630
aus,2011,5946383
aus,2012,7173783
aus,2013,7249915
aus,2014,7401051
aus,2015,7621017
aus,2016,7629490
aus,2017,7995040
aus,2018,8569337
aus,2019,8798571
aus,2020,8656995
aut,2007,365918
aut,2008,379740.7072
aut,2009,330995.87293
aut,2010,285900
aut,2011,285900
aut,2012,285900
aut,2013,285900
aut,2014,285900
aut,2015,285900
aut,2016,285900
aut,2017,285900
