global,time,se_prm_nenr_ma
world,1970,78.82304
world,1971,78.99449
world,1972,79.6934
world,1973,81.13666
world,1974,81.68143
world,1975,82.35213
world,1976,83.03229
world,1977,83.33856
world,1978,82.97531
world,1979,83.43466
world,1980,84.29195
world,1981,84.81621
world,1982,85.18651
world,1983,85.27529
world,1984,85.30314
world,1985,85.5005
world,1986,85.80347
world,1987,85.91865
world,1988,86.43582
world,1989,86.83847
world,1990,86.48271
world,1991,86.58001
world,1992,86.23389
world,1993,86.00394
world,1994,85.74019
world,1995,85.27828
world,1996,84.79908
world,1997,84.64616
world,1998,85.04458
world,1999,85.43324
world,2000,85.9007
world,2001,86.05532
world,2002,86.11807
world,2003,86.62903
world,2004,87.51837
world,2005,88.05403
world,2006,88.33337
world,2007,89.63845
world,2008,89.62576
world,2009,89.35312
world,2010,89.33354
world,2011,89.20291
world,2012,89.76498
world,2013,89.74011
world,2014,90.0623
world,2015,90.10014
world,2016,90.42638
world,2017,90.28247
world,2018,90.53157
