geo,time,sl_tlf_part_zs
afg,2008,48.13
afg,2012,33.48
afg,2014,43.68
afg,2020,35.11
alb,2007,18.94
alb,2008,23.28
alb,2009,21.82
alb,2010,23.95
alb,2011,49.36
alb,2012,28.96
alb,2013,25.9
alb,2014,31.44
alb,2015,30.18
alb,2016,25.83
alb,2017,23.74
alb,2018,21.24
alb,2019,19.38
are,2017,1.2
are,2018,2.34
are,2019,2.64
arg,2004,37.2
arg,2005,35.37
arg,2006,34.48
arg,2008,32.37
arg,2009,33.79
arg,2010,32.79
arg,2011,32.1
arg,2012,33.28
arg,2013,33.17
arg,2014,34.17
arg,2017,37.33
arg,2018,37.79
arg,2019,39.5
arg,2020,48.47
arm,2008,26.52
arm,2009,42.24
arm,2010,41.1
arm,2011,40.87
arm,2012,35.73
arm,2013,35.68
arm,2014,32
arm,2015,36.89
arm,2016,35.67
arm,2017,32.96
arm,2018,24.42
arm,2019,20.41
arm,2020,25.1
aus,1991,38.65
aus,1992,37.59
aus,1993,39.83
aus,1994,38.7
aus,1995,39.2
aus,1996,41.31
aus,1997,39.48
aus,1998,39.4
aus,1999,39.35
aus,2000,39.49
aus,2001,42.78
aus,2002,42.23
aus,2003,41.39
aus,2004,42.77
aus,2005,41.44
aus,2006,43.35
aus,2007,45.41
aus,2008,41.72
aus,2009,43.93
aus,2010,43.68
aus,2011,42.87
aus,2012,46.46
aus,2013,45.9
aus,2014,43.5
aus,2015,45.47
aus,2016,43.73
aus,2017,45.85
aus,2018,46.51
aus,2019,44.07
aus,2020,46.57
aut,1995,20.52
aut,1996,20.14
aut,1997,18.27
aut,1998,23.8
aut,1999,23.81
aut,2000,24.1
aut,2001,23.76
aut,2002,25.13
aut,2003,24.55
aut,2004,32.62
aut,2005,36.48
aut,2006,36.59
aut,2007,37.19
aut,2008,36.81
aut,2009,41.46
aut,2010,41.38
aut,2011,40.8
aut,2012,42.1
aut,2013,42.64
aut,2014,43.39
aut,2015,44.69
aut,2016,44.54
aut,2017,45.4
aut,2018,44.83
aut,2019,43.94
aut,2020,50.6
aze,2000,25.59
aze,2001,26.06
aze,2002,25.46
aze,2003,24.97
aze,2004,25.17
aze,2005,25.38
aze,2006,25.18
aze,2007,25.43
aze,2008,25.69
aze,2009,23.05
aze,2010,23.75
aze,2011,17.14
aze,2012,18.58
aze,2013,18.42
aze,2015,18.63
aze,2016,18.71
aze,2017,18.9
aze,2018,19.15
aze,2019,19.41
aze,2020,19.61
bdi,2014,24.91
bel,1983,18.65
bel,1984,17.39
bel,1985,17.05
bel,1986,17.62
bel,1987,17.48
bel,1988,17.53
bel,1989,17.64
bel,1990,18.24
bel,1991,19.55
bel,1992,20.51
bel,1993,22.63
bel,1994,28.57
bel,1995,24.73
bel,1996,23.42
bel,1997,22.93
bel,1998,25.13
bel,1999,38
bel,2000,39.6
bel,2001,40.22
bel,2002,39.11
bel,2003,39.16
bel,2004,39.74
bel,2005,39.38
bel,2006,38.88
bel,2007,38.55
bel,2008,38.14
bel,2009,39.17
bel,2010,39.06
bel,2011,39.49
bel,2012,39.94
bel,2013,40.68
bel,2014,40.03
bel,2015,40.27
bel,2016,39.08
bel,2017,36.75
bel,2018,36.65
bel,2019,37.44
bel,2020,42.39
ben,2010,25.31
ben,2011,26.13
bgd,2006,23.56
bgd,2010,17.34
bgd,2013,17.86
bgd,2016,18.69
bgd,2017,19.45
bgr,2000,6.65
bgr,2001,6.56
bgr,2002,5.9
bgr,2003,12.03
bgr,2004,14.14
bgr,2005,9.42
bgr,2006,9.73
bgr,2007,8.95
bgr,2008,8.53
bgr,2009,12.09
bgr,2010,12.11
bgr,2011,10.79
bgr,2012,10.22
bgr,2013,10.42
bgr,2014,10.83
bgr,2015,10.92
bgr,2016,9.97
bgr,2017,11.3
bgr,2018,11.37
bgr,2019,10.98
bgr,2020,13.87
bih,2006,16.29
bih,2007,14.48
bih,2008,13.98
bih,2009,14.36
bih,2010,13.89
bih,2011,13.73
bih,2012,13.8
bih,2013,12.4
bih,2014,11.96
bih,2015,14.56
bih,2016,10.19
bih,2017,13.05
bih,2018,12.36
bih,2019,11.55
bih,2020,11.59
blr,2017,16.83
blr,2018,15.83
blz,2013,26.01
blz,2014,23.8
blz,2015,22.08
blz,2016,20.7
blz,2017,25.08
blz,2019,25.39
bmu,2009,11.69
bmu,2010,12.26
bol,1999,27.12
bol,2000,24.17
bol,2001,33.83
bol,2002,29.28
bol,2004,28.71
bol,2009,31.48
bra,2012,25.94
bra,2013,24.79
bra,2014,24.37
bra,2015,24.75
bra,2016,23.42
bra,2017,25.53
bra,2018,26.86
bra,2019,26.71
bra,2020,32.09
brb,2015,10.87
brb,2016,11.41
brb,2017,11.36
brb,2018,11.86
brb,2019,10.6
brn,2014,13.76
brn,2017,9.52
brn,2018,11.39
brn,2019,10.64
brn,2020,14.7
btn,2015,7.9
bwa,1996,10.15
bwa,2006,14.71
