geo,time,gc_tax_ypkg_rv_zs
afg,2006,4.219
afg,2007,3.63243
afg,2008,1.90069
afg,2009,3.52027
afg,2010,2.99897
afg,2011,2.69737
afg,2012,3.72382
afg,2013,3.61702
afg,2014,4.87605
afg,2015,5.99867
afg,2016,3.96948
afg,2017,4.53062
ago,1999,30.75542
ago,2000,48.60993
ago,2001,43.36585
ago,2002,43.71913
ago,2003,42.67835
ago,2004,49.91302
ago,2005,55.98264
ago,2006,43.18839
ago,2007,39.10553
ago,2008,48.74125
ago,2009,54.76116
ago,2010,34.14945
ago,2011,27.61067
ago,2012,31.91887
ago,2013,29.73857
ago,2014,30.66161
ago,2015,40.2472
ago,2016,42.41088
ago,2017,39.41385
ago,2018,32.77781
ago,2019,34.75582
alb,1995,8.31969
alb,1996,10.02855
alb,1997,6.48438
alb,1998,6.52351
alb,2002,13.88132
alb,2003,13.48067
alb,2004,14.83458
alb,2011,14.73724
alb,2012,14.20526
alb,2013,14.33115
alb,2014,13.81368
alb,2015,14.919
alb,2016,11.48172
alb,2017,15.53039
alb,2018,16.68116
alb,2019,18.37448
are,1997,0
are,1998,0
are,1999,0
are,2011,0
are,2012,0
are,2013,0
are,2014,0
are,2015,0
are,2016,0
are,2017,0
are,2018,0
are,2019,0
arg,1990,2.3913
arg,1991,2.23802
arg,1992,3.02128
arg,1993,8.11846
arg,1994,10.62471
arg,1995,10.30772
arg,1996,13.2142
arg,1997,13.62526
arg,1998,15.85388
arg,1999,16.19769
arg,2000,17.04055
arg,2001,17.97746
arg,2002,13.04192
arg,2003,16.03155
arg,2004,18.88978
arg,2005,19.82989
arg,2006,18.66199
arg,2007,14.23548
arg,2008,13.08275
arg,2009,11.35745
arg,2010,11.56119
arg,2011,13.02074
arg,2012,13.12515
arg,2013,13.46744
arg,2014,13.84931
arg,2015,15.15797
arg,2016,12.37987
arg,2017,12.92991
arg,2018,10.44
arg,2019,8.41931
arm,2004,14.52465
arm,2005,16.32753
arm,2006,18.63068
arm,2007,17.51449
arm,2008,16.8371
arm,2009,19.65839
arm,2010,18.61892
arm,2011,19.41241
arm,2012,21.31434
arm,2013,36.27594
arm,2014,33.86419
arm,2015,35.66756
arm,2016,39.84869
arm,2017,36.94685
arm,2018,40.13859
arm,2019,37.39232
aus,1972,58.32508
aus,1973,59.0032
aus,1974,61.3564
aus,1975,64.57274
aus,1976,62.87066
aus,1977,63.21912
aus,1978,63.34201
aus,1979,60.4511
aus,1980,60.82461
aus,1981,62.1849
aus,1982,63.26867
aus,1983,61.20291
aus,1984,58.86125
aus,1985,59.79186
aus,1986,59.42049
aus,1987,60.64445
aus,1988,61.76545
aus,1989,64.31341
aus,1990,65.05724
aus,1991,66.31388
aus,1992,65.6171
aus,1993,65.7113
aus,1994,64.04241
aus,1995,64.6874
aus,1996,66.04259
aus,1997,67.19919
aus,1998,67.14143
aus,1999,65.50501
aus,2000,66.71541
aus,2001,65.02727
aus,2002,62.37871
aus,2003,62.72655
aus,2004,63.29596
aus,2005,65.00655
aus,2006,65.23156
aus,2007,65.69018
aus,2008,66.28276
aus,2009,64.95108
aus,2010,61.28528
aus,2011,63.34553
aus,2012,65.51731
aus,2013,64.20096
aus,2014,63.6584
aus,2015,64.88239
aus,2016,64.21749
aus,2017,64.09575
aus,2018,65.1718
aus,2019,65.87703
aut,1972,20.45757
aut,1973,19.87179
aut,1974,21.55559
aut,1975,20.51681
aut,1976,19.7221
aut,1977,19.94963
aut,1978,21.43719
aut,1979,20.96236
aut,1980,20.88017
aut,1981,20.78126
aut,1982,20.27316
aut,1983,20.01006
aut,1984,20.17857
aut,1985,19.30396
aut,1986,19.41301
aut,1987,18.26087
aut,1988,19.42844
aut,1989,17.83113
aut,1990,18.82928
aut,1991,19.48327
aut,1992,19.95196
aut,1993,20.50917
aut,1994,19.16427
aut,1995,25.5217
aut,1996,27.21771
aut,1997,28.44736
aut,1998,28.74741
aut,1999,27.79069
aut,2000,27.71271
aut,2001,30.11906
aut,2002,28.32198
aut,2003,28.21684
aut,2004,27.88288
aut,2005,26.89575
aut,2006,27.14668
aut,2007,28.14337
aut,2008,29.03026
aut,2009,26.00599
aut,2010,26.44456
aut,2011,26.66064
aut,2012,26.99329
aut,2013,27.36376
aut,2014,27.92406
aut,2015,28.7078
aut,2016,26.42558
aut,2017,27.02095
aut,2018,27.50158
aut,2019,27.64073
aze,1994,17.50434
aze,1995,30.78112
aze,1996,19.50519
aze,1997,19.97909
aze,1998,20.53656
aze,1999,21.46089
aze,2008,17.67904
aze,2009,13.1926
aze,2010,10.18905
aze,2011,12.07717
aze,2012,13.59231
aze,2013,13.81264
aze,2014,13.98373
aze,2015,17.29333
aze,2016,14.82863
aze,2017,13.48149
aze,2018,11.07237
aze,2019,9.65105
bdi,1973,10.46832
bdi,1974,10.18028
bdi,1975,11.7298
bdi,1976,10.36159
bdi,1977,11.30231
bdi,1978,14.08387
bdi,1979,14.62593
bdi,1980,15.09383
bdi,1981,16.31461
bdi,1991,14.42797
bdi,1992,13.9036
bdi,1993,14.90707
bdi,1994,13.05798
bdi,1995,14.02591
bdi,1996,18.50151
bdi,1997,18.29623
bdi,1998,17.1208
bdi,1999,18.15499
bel,1995,35.72857
bel,1996,35.21865
bel,1997,35.75301
bel,1998,36.84416
bel,1999,35.80434
bel,2000,36.83042
bel,2001,36.83343
bel,2002,37.21594
bel,2003,36.64783
bel,2004,36.8776
bel,2005,37.15124
bel,2006,36.90736
bel,2007,36.5602
bel,2008,36.908
bel,2009,34.0946
bel,2010,34.71104
bel,2011,35.27628
bel,2012,35.36615
bel,2013,36.10667
bel,2014,36.44755
bel,2015,34.68078
bel,2016,32.3571
bel,2017,33.73036
bel,2018,34.00517
bel,2019,32.45065
ben,1977,10.51717
ben,1978,14.54987
ben,1979,9.56602
bfa,2002,17.70636
bfa,2003,15.4494
bfa,2004,15.55859
bfa,2005,15.99566
bfa,2006,15.10524
bfa,2007,14.943
bfa,2008,16.40431
bfa,2009,13.82808
bfa,2010,15.17588
bfa,2011,19.19468
bfa,2012,20.0601
bfa,2013,19.22789
bfa,2014,19.87785
bfa,2015,18.34864
bfa,2016,20.26232
bfa,2017,20.45345
bfa,2018,21.77373
bfa,2019,23.53506
bgd,2001,11.46907
bgd,2002,11.76952
bgd,2003,11.30577
bgd,2004,12.32611
bgd,2005,12.34163
bgd,2006,14.58765
bgd,2007,17.2372
bgd,2008,18.74421
bgd,2009,19.26241
bgd,2010,20.05832
bgd,2011,22.34229
bgd,2012,23.23426
bgd,2013,24.45418
bgd,2014,24.90608
bgd,2015,26.85536
bgd,2016,25.17087
bgr,1990,29.0476
bgr,1991,37.86614
bgr,1992,21.03745
bgr,1993,12.64918
bgr,1994,14.44752
bgr,2005,12.85783
bgr,2006,13.71591
bgr,2007,19.60067
bgr,2008,15.80417
bgr,2009,15.86977
bgr,2010,15.55711
bgr,2011,15.34325
bgr,2012,14.49643
bgr,2013,14.95472
bgr,2014,15.61635
bgr,2015,15.27192
bgr,2016,16.64101
bgr,2017,16.86186
bgr,2018,16.10539
bgr,2019,14.7186
bhr,1974,40.68085
bhr,1975,37.44186
bhr,1976,15.26513
bhr,1977,11.60329
bhr,1978,10.51479
bhr,1979,10.08873
bhr,1980,1.79493
bhr,1981,2.53448
bhr,1982,2.18333
bhr,1983,2.81346
bhr,1984,3.55641
bhr,1985,3.73107
bhr,1986,4.15398
bhr,1987,4.61353
bhr,1988,3.84421
