global,time,sl_tlf_acti_1524_zs
world,1990,58.02791
world,1991,57.51615
world,1992,56.97798
world,1993,56.18409
world,1994,55.69665
world,1995,54.93973
world,1996,54.12076
world,1997,53.35029
world,1998,52.69789
world,1999,52.3299
world,2000,51.69818
world,2001,51.29016
world,2002,50.96938
world,2003,50.54252
world,2004,50.36529
world,2005,50.02019
world,2006,49.33279
world,2007,48.61022
world,2008,47.88267
world,2009,47.00689
world,2010,46.0482
world,2011,45.28244
world,2012,44.49837
world,2013,43.78509
world,2014,43.11787
world,2015,42.63682
world,2016,42.16914
world,2017,41.76679
world,2018,41.35672
world,2019,41.22573
world,2020,38.58934
