global,time,ic_crd_prvt_zs
world,2004,16.15
world,2005,15.70552
world,2006,16.74072
world,2007,18.93
world,2008,19.77427
world,2009,21.27209
world,2010,22.69709
world,2011,25.00402
world,2012,25.09607
world,2013,27.43069
world,2014,28.23915
world,2015,29.37842
world,2016,30.07
world,2017,30.71053
world,2018,31.98115
world,2019,33.3199
