global,time,sp_pop_brth_mf
world,1962,1.05569
world,1967,1.05568
world,1972,1.05573
world,1977,1.0564
world,1982,1.06
world,1987,1.06359
world,1990,1.06936
world,1992,1.07267
world,1997,1.07676
world,2002,1.07761
world,2007,1.07502
world,2008,1.0744
world,2009,1.07345
world,2010,1.07286
world,2011,1.07319
world,2012,1.07352
world,2013,1.07174
world,2014,1.07163
world,2015,1.06973
world,2016,1.07017
world,2017,1.06904
world,2018,1.06756
world,2019,1.06675
world,2020,1.06537
