global,time,ne_con_prvt_pp_cd
world,1990,15015003167949.5
world,1991,15802567626304.59961
world,1992,16760480819263.90039
world,1993,17544813551192.5
world,1994,18488639684722.69531
world,1995,19539803672898.19922
world,1996,20772666389351.39844
world,1997,21927963956823.69531
world,1998,22755898263447.19922
world,1999,24128334483252.89453
world,2000,26073637258625.39844
world,2001,27590545962399
world,2002,28906054769183.10156
world,2003,30382014232255.60156
world,2004,32509611247748.80078
world,2005,34974980956610.39844
world,2006,37698595542497.50781
world,2007,40827222588490.79688
world,2008,43442894523867.50781
world,2009,43691129103007.29688
world,2010,46403967127729.50781
world,2011,49923787150472.89844
world,2012,53277216839083.50781
world,2013,55389727031053.50781
world,2014,57688725893055.79688
world,2015,59603981000187.89844
world,2016,62356307970884.20312
world,2017,65570927418556.49219
world,2018,69858389615776.29688
world,2019,72693951336631.90625
world,2020,70071412064017.79688
