global,time,ag_lnd_totl_k2
world,1961,129856789.698
world,1962,129856769.698
world,1963,129856779.698
world,1964,129856779.698
world,1965,129856769.698
world,1966,129856759.698
world,1967,129856749.698
world,1968,129856739.698
world,1969,129856739.698
world,1970,129856729.698
world,1971,129856719.698
world,1972,129856619.698
world,1973,129856549.698
world,1974,129856079.698
world,1975,129855559.698
world,1976,129855349.698
world,1977,129855209.698
world,1978,129855209.698
world,1979,129855179.698
world,1980,129854909.698
world,1981,129854989.698
world,1982,129854759.698
world,1983,129854719.698
world,1984,129853230.698
world,1985,129853130.698
world,1986,129853230.698
world,1987,129853140.698
world,1988,129853130.698
world,1989,129852140.698
world,1990,129852140.698
world,1991,129854050.698
world,1992,129854110.698
world,1993,129749400.698
world,1994,129737657.698
world,1995,129734777.698
world,1996,129734336.698
world,1997,129803675.698
world,1998,129777669.698
world,1999,129784451.698
world,2000,129765381.698
world,2001,129764265.898
world,2002,129762074.898
world,2003,129761969.398
world,2004,129889503.526
world,2005,129889492.275
world,2006,129885400.642
world,2007,129885204.194
world,2008,129869133.154
world,2009,129867501.481
world,2010,129869706.677
world,2011,129870230.186
world,2012,129864695.497
world,2013,129863403.119
world,2014,129862977.905
world,2015,129880684.495
world,2016,129956634.129
world,2017,129956069.099
world,2018,129949282.714
world,2019,129949282.714
world,2020,129949282.714
world,2021,129949282.714
