global,time,se_enr_tert_fm_zs
world,1970,0.72655
world,1971,0.72845
world,1972,0.73552
world,1973,0.75149
world,1974,0.76367
world,1975,0.77455
world,1976,0.77581
world,1977,0.80083
world,1978,0.812
world,1979,0.82007
world,1980,0.82677
world,1981,0.82868
world,1982,0.84118
world,1983,0.84103
world,1984,0.84339
world,1985,0.84794
world,1986,0.84191
world,1987,0.84527
world,1988,0.86229
world,1989,0.87266
world,1990,0.89017
world,1991,0.90028
world,1992,0.91929
world,1993,0.93175
world,1994,0.93597
world,1995,0.94882
world,1996,0.95135
world,1997,0.96429
world,1998,0.97418
world,1999,0.98844
world,2000,0.99471
world,2001,1.0012
world,2002,1.02387
world,2003,1.02669
world,2004,1.0365
world,2005,1.04726
world,2006,1.0613
world,2007,1.06514
world,2008,1.06973
world,2009,1.071
world,2010,1.06992
world,2011,1.06864
world,2012,1.08511
world,2013,1.09636
world,2014,1.10308
world,2015,1.10354
world,2016,1.11078
world,2017,1.11603
world,2018,1.12437
world,2019,1.13543
world,2020,1.13364
